Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
0,5119.20,2856.50,20.00,0,27,0.19,NLOS,111.31,-1.35,-89.75,-1.51,40.31,0,26,-100.94,33,-102.14,21,-105.67,20,-108.60,34,-111.69
1,5130.40,2856.50,20.00,0,27,0.18,NLOS,111.44,-1.35,-89.87,-1.64,40.31,0,26,-101.04,33,-101.84,21,-105.79,20,-108.81,34,-111.59
2,5141.59,2856.50,20.00,0,27,0.18,NLOS,111.58,-1.35,-90.01,-1.77,40.31,0,26,-101.16,33,-101.53,21,-105.90,20,-109.03,34,-111.48
3,5152.79,2856.50,20.00,0,27,0.18,NLOS,111.73,-1.22,-90.29,-1.75,40.31,0,26,-93.56,34,-102.07,33,-103.61,28,-104.15,20,-105.99
4,5163.99,2856.50,20.00,0,27,0.18,NLOS,111.88,-1.22,-90.45,-1.87,40.31,0,26,-93.69,34,-101.97,33,-103.29,28,-104.16,20,-106.20
5,5175.19,2856.50,20.00,0,27,0.18,NLOS,112.04,-1.22,-90.61,-1.99,40.31,0,26,-93.83,34,-101.86,33,-102.96,28,-104.18,20,-106.40
6,5186.39,2856.50,20.00,0,26,0.16,NLOS,113.64,-12.25,-81.17,8.87,40.31,1,27,-94.55,33,-99.18,20,-111.83,34,-112.80,21,-114.17
7,5197.59,2856.50,20.00,0,26,0.16,NLOS,113.79,-12.25,-81.32,8.74,40.31,0,27,-94.72,33,-98.84,20,-112.03,34,-112.70,21,-114.28
8,5208.78,2856.50,20.00,0,26,0.15,NLOS,113.95,-12.25,-81.48,8.60,40.31,0,27,-94.91,33,-98.49,20,-112.23,34,-112.60,21,-114.40
9,5219.98,2856.50,20.00,0,26,0.15,NLOS,114.11,-5.51,-88.38,-1.04,40.31,0,20,-90.89,33,-98.35,27,-98.82,28,-104.04,34,-107.75
10,5231.18,2856.50,20.00,0,26,0.15,NLOS,114.27,-5.51,-88.54,-1.14,40.31,0,20,-91.09,33,-97.99,27,-99.01,28,-104.07,34,-107.64
