Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
0,4223.07,6530.00,2.00,2,39,0.10,NLOS,111.82,0.02,-91.63,9.33,35.75,0,48,-107.77,47,-109.39,31,-110.05,40,-112.06,38,-112.66
1,4213.14,6530.00,2.00,2,39,0.10,NLOS,111.92,0.02,-91.73,9.25,35.75,0,48,-107.97,47,-109.52,31,-109.84,40,-112.07,38,-112.67
2,4203.21,6530.00,2.00,2,39,0.10,NLOS,112.05,0.02,-91.85,9.14,35.75,0,48,-108.17,31,-109.62,47,-109.64,40,-112.09,38,-112.67
3,4193.28,6530.00,2.00,2,39,0.10,NLOS,112.20,-4.56,-87.43,15.19,35.75,0,30,-109.89,48,-112.46,31,-115.90,40,-119.08,38,-119.66
4,4183.35,6530.00,2.00,2,39,0.10,NLOS,112.38,-4.56,-87.61,14.96,35.75,0,30,-109.76,48,-112.66,31,-115.68,40,-119.11,38,-119.67
5,4173.42,6530.00,2.00,2,39,0.09,NLOS,112.59,-4.56,-87.81,14.69,35.75,0,30,-109.64,48,-112.85,31,-115.45,40,-119.14,38,-119.68
6,4163.49,6530.00,2.00,2,39,0.09,NLOS,112.82,5.48,-98.08,1.80,35.75,0,40,-100.78,48,-116.40,31,-118.02,47,-121.45,38,-122.28
7,4153.56,6530.00,2.00,2,39,0.09,NLOS,113.06,5.48,-98.33,1.59,35.75,0,40,-100.81,48,-116.59,31,-117.78,47,-121.57,38,-122.29
8,4143.63,6530.00,2.00,2,39,0.09,NLOS,113.33,5.48,-98.59,1.35,35.75,0,40,-100.85,48,-116.78,31,-117.54,47,-121.69,38,-122.31
9,4133.70,6530.00,2.00,2,39,0.08,NLOS,113.61,-4.89,-88.50,10.74,35.75,0,31,-104.60,40,-105.51,48,-106.47,30,-107.99,38,-112.80
10,4123.77,6530.00,2.00,2,39,0.08,NLOS,113.91,-4.89,-88.80,10.40,35.75,0,31,-104.36,40,-105.56,48,-106.65,30,-107.87,38,-112.82
11,4113.84,6530.00,2.00,2,39,0.08,NLOS,114.22,-4.89,-89.11,10.04,35.75,0,31,-104.11,40,-105.61,48,-106.83,30,-107.74,38,-112.83
12,4103.91,6530.00,2.00,2,39,0.08,NLOS,114.54,-4.05,-90.28,15.38,35.75,0,30,-113.16,47,-113.53,40,-113.74,48,-117.12,31,-118.02
13,4093.98,6530.00,2.00,2,39,0.08,NLOS,114.88,-4.05,-90.61,15.05,35.75,0,30,-113.04,47,-113.65,40,-113.80,48,-117.29,31,-117.76
14,4084.05,6530.00,2.00,2,39,0.07,NLOS,115.22,-4.05,-90.95,14.70,35.75,0,30,-112.91,47,-113.77,40,-113.86,48,-117.47,31,-117.51
15,4074.12,6530.00,2.00,2,39,0.07,NLOS,115.56,-5.08,-90.27,9.60,35.75,0,40,-104.30,30,-105.53,31,-111.56,38,-115.00,48,-115.15
16,4064.19,6530.00,2.00,2,39,0.07,NLOS,115.91,-5.08,-90.62,9.22,35.75,0,40,-104.37,30,-105.41,31,-111.29,38,-115.02,48,-115.32
17,4054.26,6530.00,2.00,2,39,0.07,NLOS,116.27,-5.08,-90.97,8.83,35.75,0,40,-104.44,30,-105.28,31,-111.03,38,-115.05,48,-115.49
18,4044.33,6530.00,2.00,2,48,0.02,NLOS,136.11,-11.61,-104.28,-4.45,35.75,1,31,-105.05,40,-106.81,39,-108.00,38,-116.11,30,-118.54
19,4034.40,6530.00,2.00,2,48,0.02,NLOS,136.27,-11.61,-104.45,-4.63,35.75,0,31,-104.77,40,-106.89,39,-108.36,38,-116.14,30,-118.42
20,4033.00,6538.53,2.00,1,48,0.02,NLOS,136.27,-11.61,-104.44,-4.66,35.75,0,31,-104.65,40,-106.69,39,-108.74,38,-116.27,30,-118.53
21,4033.00,6548.46,2.00,1,39,0.06,NLOS,117.76,-1.16,-96.37,8.98,35.75,1,31,-110.37,40,-112.75,30,-115.56,48,-119.20,38,-122.33
22,4033.00,6558.39,2.00,1,39,0.06,NLOS,118.14,-1.16,-96.75,8.54,35.75,0,31,-110.28,40,-112.51,30,-115.71,48,-119.17,38,-122.48
23,4033.00,6568.32,2.00,1,39,0.06,NLOS,118.52,-1.16,-97.13,8.10,35.75,0,31,-110.19,40,-112.26,30,-115.86,48,-119.14,38,-122.62
24,4033.00,6578.25,2.00,1,39,0.05,NLOS,118.89,4.34,-103.01,-3.92,35.75,0,32,-103.75,31,-104.02,40,-107.66,30,-111.62,38,-113.97
25,4033.00,6588.18,2.00,1,39,0.05,NLOS,119.27,4.34,-103.38,-4.38,35.75,0,32,-103.62,31,-103.94,40,-107.41,30,-111.77,38,-114.11
26,4033.00,6598.11,2.00,1,39,0.05,NLOS,119.64,4.34,-103.75,-4.85,35.75,0,32,-103.49,31,-103.86,40,-107.15,30,-111.92,38,-114.25
27,4033.00,6608.04,2.00,1,39,0.05,NLOS,120.00,-5.43,-94.35,5.90,35.75,0,40,-101.41,31,-109.18,30,-117.12,48,-118.69,38,-121.58
28,4033.00,6617.97,2.00,1,39,0.05,NLOS,120.36,-5.43,-94.72,5.33,35.75,0,40,-101.15,31,-109.11,30,-117.27,48,-118.67,38,-121.72
29,4033.00,6627.90,2.00,1,39,0.05,NLOS,120.72,-5.43,-95.07,4.76,35.75,0,40,-100.88,31,-109.05,30,-117.42,48,-118.65,38,-121.86
30,4033.00,6637.83,2.00,1,39,0.05,NLOS,121.08,2.00,-102.86,-1.46,35.75,0,31,-103.90,40,-109.16,30,-118.12,32,-118.89,38,-127.45
31,4033.00,6647.76,2.00,1,39,0.05,NLOS,121.42,2.00,-103.21,-1.89,35.75,0,31,-103.85,40,-108.89,30,-118.27,32,-118.76,38,-127.59
32,4033.00,6657.69,2.00,1,39,0.04,NLOS,121.77,2.00,-103.55,-2.31,35.75,0,31,-103.81,40,-108.61,30,-118.42,32,-118.62,38,-127.72
33,4033.00,6667.62,2.00,1,39,0.04,NLOS,122.11,-2.63,-99.26,3.55,35.75,0,40,-105.81,31,-109.84,48,-114.33,32,-124.86,38,-125.72
34,4033.00,6677.55,2.00,1,39,0.04,NLOS,122.45,-2.63,-99.60,3.06,35.75,0,40,-105.52,31,-109.80,48,-114.32,47,-121.11,32,-124.73
35,4033.00,6687.48,2.00,1,39,0.04,NLOS,122.78,-2.63,-99.93,2.57,35.75,0,40,-105.23,31,-109.77,48,-114.31,47,-121.19,32,-124.59
36,4033.00,6697.41,2.00,1,31,0.03,NLOS,125.87,-8.37,-97.28,3.42,35.75,1,40,-104.37,39,-105.00,32,-115.86,48,-120.63,30,-121.79
37,4033.00,6707.34,2.00,1,31,0.03,NLOS,125.86,-8.37,-97.27,3.42,35.75,0,40,-104.08,39,-105.32,32,-115.72,48,-120.63,30,-121.94
38,4033.00,6717.27,2.00,1,31,0.03,NLOS,125.84,-8.37,-97.25,3.39,35.75,0,40,-103.77,39,-105.64,32,-115.58,48,-120.62,30,-122.08
39,4033.00,6727.20,2.00,1,40,0.04,NLOS,124.37,-6.44,-97.71,0.93,35.75,1,31,-100.80,48,-105.57,39,-109.33,47,-125.29,32,-126.90
40,4025.87,6730.00,2.00,2,40,0.04,NLOS,124.39,-6.44,-97.73,0.80,35.75,0,31,-100.57,48,-105.70,39,-109.53,47,-125.38,32,-126.80
41,4015.94,6730.00,2.00,2,40,0.04,NLOS,124.55,-6.44,-97.89,0.48,35.75,0,31,-100.25,48,-105.87,39,-109.69,47,-125.48,32,-126.71
42,4006.01,6730.00,2.00,2,40,0.04,NLOS,124.71,-4.34,-100.15,1.14,35.75,0,39,-104.19,32,-109.79,31,-109.92,30,-114.60,47,-124.01
43,3996.08,6730.00,2.00,2,40,0.04,NLOS,124.88,-4.34,-100.32,1.00,35.75,0,39,-104.36,31,-109.59,32,-109.71,30,-114.51,22,-120.39
44,3986.15,6730.00,2.00,2,40,0.04,NLOS,125.05,-4.34,-100.49,0.84,35.75,0,39,-104.54,31,-109.25,32,-109.62,30,-114.43,22,-120.27
45,3976.21,6730.00,2.00,2,31,0.04,NLOS,123.93,1.96,-105.67,-4.32,35.75,1,39,-107.32,30,-108.97,40,-109.17,32,-114.32,48,-116.46
46,3966.28,6730.00,2.00,2,31,0.04,NLOS,123.57,1.96,-105.32,-3.89,35.75,0,39,-107.50,30,-108.89,40,-109.35,32,-114.24,48,-116.63
47,3956.35,6730.00,2.00,2,31,0.04,NLOS,123.21,1.96,-104.95,-3.46,35.75,0,39,-107.68,30,-108.80,40,-109.53,32,-114.16,48,-116.79
48,3946.42,6730.00,2.00,2,31,0.04,NLOS,122.84,-3.48,-99.14,0.76,35.75,0,40,-102.97,39,-108.13,32,-108.58,22,-119.02,30,-120.67
49,3936.49,6730.00,2.00,2,31,0.04,NLOS,122.45,-3.48,-98.76,1.24,35.75,0,40,-103.16,39,-108.32,32,-108.50,22,-118.89,30,-120.60
50,3926.56,6730.00,2.00,2,31,0.04,NLOS,122.07,-3.48,-98.37,1.73,35.75,0,40,-103.34,32,-108.43,39,-108.50,22,-118.77,30,-120.52
51,3916.63,6730.00,2.00,2,31,0.04,NLOS,121.67,-9.70,-91.75,2.50,35.75,0,40,-94.63,32,-112.61,48,-112.84,39,-118.37,30,-119.05
52,3906.70,6730.00,2.00,2,31,0.05,NLOS,121.26,-9.70,-91.34,3.08,35.75,0,40,-94.81,32,-112.54,48,-113.00,39,-118.56,30,-118.97
53,3896.77,6730.00,2.00,2,31,0.05,NLOS,120.84,-9.70,-90.92,3.67,35.75,0,40,-95.00,32,-112.46,48,-113.15,39,-118.75,30,-118.90
54,3886.84,6730.00,2.00,2,31,0.05,NLOS,120.41,2.67,-102.87,-4.00,35.75,0,39,-100.23,40,-109.76,48,-114.27,30,-114.82,32,-121.63
55,3876.91,6730.00,2.00,2,31,0.05,NLOS,119.97,2.67,-102.43,-3.40,35.75,0,39,-100.42,40,-109.95,48,-114.42,30,-114.75,32,-121.56
56,3866.98,6730.00,2.00,2,31,0.05,NLOS,119.52,2.67,-101.97,-2.79,35.75,0,39,-100.61,40,-110.14,48,-114.57,30,-114.68,32,-121.49
57,3857.05,6730.00,2.00,2,31,0.05,NLOS,119.06,1.11,-99.95,-0.64,35.75,0,32,-103.31,39,-105.84,40,-108.14,30,-110.33,48,-121.70
58,3847.12,6730.00,2.00,2,31,0.06,NLOS,118.58,1.11,-99.47,-0.12,35.75,0,32,-103.24,39,-106.04,40,-108.33,30,-110.26,48,-121.85
59,3837.19,6730.00,2.00,2,31,0.06,NLOS,118.09,1.11,-98.98,0.41,35.75,0,32,-103.17,39,-106.23,40,-108.53,30,-110.19,48,-121.99
60,3833.00,6730.00,2.00,3,31,0.06,NLOS,117.88,1.11,-98.77,0.63,0.00,0,32,-103.15,39,-106.31,40,-108.61,30,-110.16,48,-122.05
61,3833.00,6730.00,2.00,3,31,0.06,NLOS,117.88,1.11,-98.77,0.63,0.00,0,32,-103.15,39,-106.31,40,-108.61,30,-110.16,48,-122.05
62,3833.00,6730.00,2.00,3,31,0.06,NLOS,117.88,1.11,-98.77,0.63,0.00,0,32,-103.15,39,-106.31,40,-108.61,30,-110.16,48,-122.05
63,3833.00,6730.00,2.00,3,31,0.06,NLOS,117.88,1.11,-98.77,0.63,0.00,0,32,-103.15,39,-106.31,40,-108.61,30,-110.16,48,-122.05
64,3833.00,6730.00,2.00,3,31,0.06,NLOS,117.88,1.11,-98.77,0.63,0.00,0,32,-103.15,39,-106.31,40,-108.61,30,-110.16,48,-122.05
