Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
34,7351.50,3959.73,22.25,1,47,0.36,LOS,87.79,-2.40,-65.17,9.84,55.36,0,54,-75.22,53,-100.26,46,-102.35,40,-103.03,41,-110.57
35,7351.50,3975.11,22.25,1,47,0.35,LOS,88.27,-2.40,-65.65,9.31,55.36,0,54,-75.16,53,-100.46,46,-102.58,40,-103.18,41,-110.51
36,7351.50,3990.49,22.25,1,47,0.34,LOS,88.73,2.01,-70.52,1.57,55.36,0,54,-73.60,48,-77.70,41,-100.64,40,-102.55,46,-106.11
37,7351.50,4005.86,22.25,1,47,0.33,LOS,89.17,2.01,-70.97,0.97,55.36,0,54,-73.55,48,-77.26,41,-100.59,40,-102.70,46,-106.33
38,7351.50,4021.24,22.25,1,47,0.32,LOS,89.60,-2.19,-67.19,4.58,55.36,0,54,-72.07,53,-95.47,48,-101.83,40,-101.84,55,-105.93
39,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
40,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
41,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
42,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
43,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
44,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
45,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
46,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
47,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
48,7351.50,4021.50,22.25,2,47,0.32,LOS,89.61,-2.19,-67.20,4.57,0.00,0,54,-72.07,53,-95.47,48,-101.82,40,-101.84,55,-105.93
49,7343.81,4021.50,22.25,2,47,0.32,LOS,89.54,-2.19,-67.13,4.73,27.68,0,54,-72.18,53,-95.56,40,-101.75,48,-101.78,55,-105.99
50,7328.43,4021.50,22.25,2,47,0.32,LOS,89.43,-2.19,-67.02,5.04,55.36,0,54,-72.39,53,-95.73,40,-101.58,48,-101.70,55,-106.11
51,7313.06,4021.50,22.25,2,47,0.33,LOS,89.33,2.04,-71.15,1.09,55.36,0,54,-72.88,40,-97.47,48,-98.19,46,-107.32,53,-112.46
52,7297.68,4021.50,22.25,2,47,0.33,LOS,89.25,2.04,-71.07,1.33,55.36,0,54,-73.09,40,-97.30,48,-98.15,46,-107.31,53,-112.63
53,7282.30,4021.50,22.25,2,47,0.33,LOS,89.20,0.13,-69.11,3.96,55.36,0,54,-73.32,48,-94.91,41,-95.07,40,-100.13,53,-107.71
54,7266.92,4021.50,22.25,2,47,0.33,LOS,89.16,0.13,-69.07,4.18,55.36,0,54,-73.52,41,-94.74,48,-94.89,40,-99.96,53,-107.88
55,7251.54,4021.50,22.25,2,47,0.33,LOS,89.15,-2.08,-66.85,11.50,55.36,0,54,-79.99,48,-94.33,41,-102.79,40,-102.90,46,-108.60
56,7236.17,4021.50,22.25,2,47,0.33,LOS,89.16,-2.08,-66.86,11.59,55.36,0,54,-80.18,48,-94.34,41,-102.45,40,-102.73,46,-108.60
57,7220.79,4021.50,22.25,2,47,0.33,LOS,89.19,3.58,-72.55,2.53,55.36,0,54,-75.49,48,-96.86,53,-101.04,40,-102.09,46,-102.15
58,7205.41,4021.50,22.25,2,47,0.33,LOS,89.24,3.58,-72.60,2.63,55.36,0,54,-75.67,48,-96.89,53,-101.22,40,-101.91,46,-102.16
59,7190.03,4021.50,22.25,2,47,0.33,LOS,89.31,-1.43,-67.67,5.24,55.36,0,54,-73.42,48,-89.02,41,-94.89,40,-107.99,53,-108.89
60,7174.65,4021.50,22.25,2,47,0.32,LOS,89.41,-1.43,-67.76,5.29,55.36,0,54,-73.59,48,-89.08,41,-94.52,42,-98.81,40,-107.81
61,7159.28,4021.50,22.25,2,47,0.32,LOS,89.52,-3.64,-65.66,15.13,55.36,0,54,-83.97,48,-91.95,41,-93.64,42,-104.98,53,-105.11
62,7143.90,4021.50,22.25,2,47,0.32,LOS,89.65,-3.64,-65.79,15.04,55.36,0,54,-84.14,48,-92.03,41,-93.25,42,-104.85,53,-105.28
63,7128.52,4021.50,22.25,2,47,0.31,LOS,89.79,-0.44,-69.13,7.93,55.36,0,54,-81.78,41,-86.47,40,-97.59,48,-97.65,42,-100.51
64,7113.14,4021.50,22.25,2,47,0.31,LOS,89.95,-0.44,-69.29,7.73,55.36,0,54,-81.95,41,-86.06,40,-97.42,48,-97.76,42,-100.38
65,7097.76,4021.50,22.25,2,47,0.31,LOS,90.12,1.85,-71.75,3.57,55.36,0,54,-75.84,41,-100.86,48,-101.38,53,-102.72,42,-104.91
66,7082.39,4021.50,22.25,2,47,0.30,LOS,90.30,1.85,-71.93,3.52,55.36,0,54,-76.00,41,-100.43,48,-101.51,53,-102.89,42,-104.80
67,7067.01,4021.50,22.25,2,47,0.30,LOS,90.50,-2.05,-68.23,7.26,55.36,0,54,-77.62,42,-88.89,48,-92.43,41,-95.31,40,-104.48
68,7051.63,4021.50,22.25,2,47,0.29,LOS,90.70,-2.05,-68.43,7.12,55.36,0,54,-77.77,42,-88.78,48,-92.58,41,-94.86,46,-98.87
69,7036.25,4021.50,22.25,2,47,0.29,LOS,90.91,2.57,-73.26,5.41,55.36,0,54,-80.99,48,-94.88,41,-99.90,46,-106.49,40,-106.83
70,7020.87,4021.50,22.25,2,47,0.28,LOS,91.12,2.57,-73.47,5.24,55.36,0,54,-81.14,48,-95.04,41,-99.43,46,-106.53,40,-106.67
71,7005.50,4021.50,22.25,2,47,0.28,LOS,91.34,3.02,-74.14,5.83,55.36,0,54,-86.56,48,-93.52,41,-94.51,40,-100.11,42,-103.99
72,6990.12,4021.50,22.25,2,47,0.27,LOS,91.56,3.02,-74.37,5.55,55.36,0,54,-86.70,48,-93.70,41,-94.01,40,-99.95,42,-103.88
73,6974.74,4021.50,22.25,2,47,0.26,LOS,91.79,1.37,-72.94,3.81,55.36,0,54,-80.05,48,-96.38,41,-97.33,40,-99.01,42,-102.25
74,6959.36,4021.50,22.25,2,47,0.26,LOS,92.02,1.37,-73.17,3.60,55.36,0,54,-80.19,48,-96.58,41,-96.80,40,-98.85,42,-102.15
75,6943.98,4021.50,22.25,2,47,0.25,LOS,92.25,1.06,-73.09,0.93,55.36,0,54,-77.44,41,-91.79,46,-103.86,42,-107.08,40,-107.33
