Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
0,2853.00,8139.80,67.00,1,24,1.00,LOS,82.24,-1.57,-60.45,9.85,49.68,0,16,-75.37,33,-79.86,23,-80.01,32,-81.87,41,-85.62
1,2853.00,8153.60,67.00,1,24,1.00,LOS,82.83,-1.57,-61.04,9.26,49.68,0,16,-75.31,33,-79.78,23,-80.14,32,-81.97,41,-85.63
2,2853.00,8167.40,67.00,1,24,0.99,LOS,83.42,-2.41,-60.79,6.73,49.68,0,33,-73.61,16,-75.06,23,-75.33,32,-83.26,41,-83.82
3,2853.00,8181.20,67.00,1,24,0.99,LOS,83.99,-2.41,-61.37,6.17,49.68,0,33,-73.53,16,-75.01,23,-75.46,32,-83.36,41,-83.83
4,2853.00,8195.00,67.00,1,24,0.99,LOS,84.55,2.25,-66.59,1.13,49.68,0,16,-72.09,41,-76.41,32,-77.14,23,-77.99,33,-79.71
5,2853.00,8208.80,67.00,1,24,0.98,LOS,85.09,2.25,-67.13,0.60,49.68,0,16,-72.05,41,-76.42,32,-77.24,23,-78.12,33,-79.64
6,2853.00,8222.60,67.00,1,24,0.98,LOS,85.62,1.32,-66.72,2.57,49.68,0,16,-74.59,33,-76.37,32,-79.28,41,-80.87,23,-81.82
7,2853.00,8236.40,67.00,1,24,0.98,LOS,86.12,1.32,-67.22,2.07,49.68,0,16,-74.55,33,-76.30,32,-79.38,41,-80.88,23,-81.94
8,2853.00,8250.20,67.00,1,24,0.98,LOS,86.61,-2.82,-63.57,3.78,49.68,0,33,-70.92,32,-75.38,16,-76.92,23,-79.53,41,-82.38
9,2853.00,8264.00,67.00,1,24,0.97,LOS,87.08,-2.82,-64.04,3.31,49.68,0,33,-70.86,32,-75.48,16,-76.89,23,-79.65,41,-82.40
10,2849.20,8274.00,67.00,2,24,0.97,LOS,87.36,-2.82,-64.32,3.06,49.68,0,33,-70.87,32,-75.58,16,-76.82,23,-79.74,41,-82.44
11,2835.40,8274.00,67.00,2,24,0.97,LOS,87.18,-1.05,-65.91,1.73,49.68,0,33,-70.45,16,-77.21,41,-80.87,23,-82.45,32,-83.83
12,2821.60,8274.00,67.00,2,24,0.97,LOS,87.03,-1.05,-65.76,1.97,49.68,0,33,-70.63,16,-77.06,41,-80.96,23,-82.44,32,-83.92
13,2807.80,8274.00,67.00,2,24,0.97,LOS,86.90,0.71,-67.39,2.44,49.68,0,33,-75.33,16,-76.08,32,-79.53,23,-79.57,41,-81.87
14,2794.00,8274.00,67.00,2,24,0.97,LOS,86.79,0.71,-67.28,2.58,49.68,0,33,-75.51,16,-75.92,23,-79.56,32,-79.62,41,-81.96
15,2780.20,8274.00,67.00,2,24,0.97,LOS,86.71,0.48,-66.97,3.46,49.68,0,33,-75.33,32,-77.86,23,-79.41,41,-81.59,16,-82.18
16,2766.40,8274.00,67.00,2,24,0.98,LOS,86.66,0.48,-66.92,3.58,49.68,0,33,-75.50,32,-77.96,23,-79.41,41,-81.68,16,-82.02
17,2752.60,8274.00,67.00,2,24,0.98,LOS,86.64,-0.73,-65.69,4.08,49.68,0,16,-76.90,32,-76.95,33,-77.01,23,-81.07,41,-83.19
18,2738.80,8274.00,67.00,2,24,0.98,LOS,86.65,-0.73,-65.70,4.09,49.68,0,16,-76.74,32,-77.05,33,-77.18,7,-79.48,23,-81.07
19,2725.00,8274.00,67.00,2,24,0.98,LOS,86.69,-0.65,-65.82,3.91,49.68,0,16,-74.80,33,-77.82,32,-78.29,7,-84.26,23,-84.70
20,2711.20,8274.00,67.00,2,24,0.97,LOS,86.76,-0.65,-65.89,3.84,49.68,0,16,-74.63,33,-77.98,32,-78.38,7,-84.18,23,-84.71
21,2697.40,8274.00,67.00,2,24,0.97,LOS,86.85,7.44,-74.08,-5.88,49.68,0,23,-75.01,33,-75.79,16,-76.21,32,-78.20,7,-82.87
22,2683.60,8274.00,67.00,2,24,0.97,LOS,86.98,7.44,-74.20,-5.98,49.68,0,23,-75.02,33,-75.94,16,-76.03,32,-78.30,7,-82.78
23,2669.80,8274.00,67.00,2,24,0.97,LOS,87.12,-2.05,-64.85,7.64,49.68,0,23,-79.77,16,-81.88,33,-82.07,32,-83.00,7,-85.81
