Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
29,6508.49,5500.00,1.50,2,48,0.04,NLOS,125.06,-0.57,-104.27,-76.49,-2.79,34.98,0,49,-102.64,50,-103.03,62,-106.84,37,-107.08,35,-111.64,55,-111.77
30,6498.77,5500.00,1.50,2,49,0.05,NLOS,119.78,2.08,-101.64,-73.85,5.80,34.98,1,47,-105.27,48,-109.13,5,-114.85,51,-116.39,42,-117.35,33,-117.67
31,6489.05,5500.00,1.50,2,49,0.05,NLOS,119.79,2.08,-101.64,-73.86,5.80,34.98,0,47,-105.27,48,-109.14,5,-114.82,51,-116.39,42,-117.13,33,-117.63
32,6479.34,5500.00,1.50,2,49,0.05,NLOS,119.80,2.08,-101.66,-73.88,5.78,34.98,0,47,-105.27,48,-109.15,5,-114.79,51,-116.39,42,-116.90,33,-117.60
33,6469.62,5500.00,1.50,2,48,0.04,NLOS,125.09,-15.16,-89.71,-61.93,14.87,34.98,1,42,-105.37,43,-109.50,49,-115.09,35,-117.67,36,-118.32,5,-118.61
34,6459.90,5500.00,1.50,2,48,0.04,NLOS,125.11,-15.16,-89.73,-61.95,14.67,34.98,0,42,-105.14,43,-109.39,49,-115.13,35,-117.57,36,-118.21,5,-118.58
35,6450.18,5500.00,1.50,2,48,0.04,NLOS,125.14,-15.16,-89.76,-61.98,14.45,34.98,0,42,-104.91,43,-109.29,49,-115.19,35,-117.47,36,-118.11,5,-118.56
36,6440.47,5500.00,1.50,2,49,0.05,NLOS,120.00,-21.99,-77.79,-50.01,12.32,34.98,1,48,-90.48,41,-103.88,42,-104.80,56,-105.97,55,-107.42,62,-109.33
37,6430.75,5500.00,1.50,2,49,0.05,NLOS,120.07,-21.99,-77.87,-50.09,12.28,34.98,0,48,-90.52,41,-103.80,42,-104.56,56,-106.07,55,-107.62,62,-109.43
38,6421.03,5500.00,1.50,2,49,0.05,NLOS,120.16,-21.99,-77.96,-50.17,12.23,34.98,0,48,-90.57,41,-103.71,42,-104.32,56,-106.17,55,-107.82,62,-109.53
