Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
29,6159.40,4429.50,10.50,0,11,0.04,NLOS,117.16,-5.13,-91.82,-64.03,1.19,26.93,0,15,-94.56,14,-100.76,10,-103.72,8,-108.07,7,-111.70,0,-117.31
30,6166.88,4429.50,10.50,0,11,0.04,NLOS,117.44,-5.13,-92.09,-64.31,0.82,26.93,0,15,-94.46,14,-100.55,10,-103.80,8,-108.16,7,-111.80,0,-117.35
31,6174.36,4429.50,10.50,0,11,0.04,NLOS,117.71,-5.13,-92.36,-64.58,0.45,26.93,0,15,-94.36,14,-100.34,10,-103.87,8,-108.25,7,-111.90,0,-117.40
32,6181.84,4429.50,10.50,0,11,0.04,NLOS,117.98,-6.60,-91.15,-63.37,2.89,26.93,0,15,-94.51,14,-106.23,10,-109.03,16,-111.96,12,-116.24,13,-117.19
33,6189.32,4429.50,10.50,0,11,0.04,NLOS,118.24,-6.60,-91.42,-63.64,2.53,26.93,0,15,-94.42,14,-106.02,10,-109.11,16,-111.94,12,-116.28,13,-117.21
34,6196.80,4429.50,10.50,0,11,0.04,NLOS,118.50,-6.60,-91.68,-63.90,2.17,26.93,0,15,-94.32,14,-105.81,10,-109.19,16,-111.93,12,-116.33,13,-117.22
35,6204.28,4429.50,10.50,0,11,0.04,NLOS,118.76,-6.60,-91.94,-64.16,1.82,26.93,0,15,-94.23,14,-105.59,10,-109.27,16,-111.91,12,-116.38,13,-117.24
36,6211.76,4429.50,10.50,0,14,0.04,NLOS,116.39,-2.94,-93.24,-65.45,2.70,26.93,1,15,-98.23,11,-100.66,3,-109.12,12,-109.74,16,-110.37,4,-114.37
37,6219.24,4429.50,10.50,0,14,0.05,NLOS,116.18,-2.94,-93.02,-65.24,2.94,26.93,0,15,-98.14,11,-100.91,3,-109.17,12,-109.79,16,-110.35,4,-114.43
38,6226.72,4429.50,10.50,0,14,0.05,NLOS,115.97,-2.94,-92.81,-65.03,3.19,26.93,0,15,-98.06,11,-101.16,3,-109.23,12,-109.83,16,-110.34,4,-114.50
