Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,6000.00,6899.49,1.50,3,44,0.05,NLOS,119.72,-18.80,-80.70,-52.92,18.08,183.05,0,50,-101.39,42,-101.87,49,-102.76,37,-106.59,43,-106.60,38,-109.54
1,6000.00,6898.98,1.50,3,44,0.05,NLOS,119.73,-18.80,-80.71,-52.93,18.06,183.05,0,50,-101.38,42,-101.87,49,-102.75,43,-106.59,37,-106.59,38,-109.54
2,6000.00,6898.47,1.50,3,44,0.05,NLOS,119.75,-18.80,-80.73,-52.95,18.04,183.05,0,50,-101.38,42,-101.86,49,-102.75,43,-106.57,37,-106.59,38,-109.55
3,6000.00,6897.97,1.50,3,44,0.05,NLOS,119.77,-18.80,-80.75,-52.97,18.01,183.05,0,50,-101.37,42,-101.86,49,-102.74,43,-106.56,37,-106.58,38,-109.55
4,6000.00,6897.46,1.50,3,44,0.05,NLOS,119.79,-18.80,-80.77,-52.98,17.99,183.05,0,50,-101.37,42,-101.85,49,-102.73,43,-106.55,37,-106.58,38,-109.55
5,6000.00,6896.95,1.50,3,44,0.05,NLOS,119.80,-18.80,-80.78,-53.00,17.97,183.05,0,50,-101.36,42,-101.85,49,-102.73,43,-106.54,37,-106.58,38,-109.56
6,6000.00,6896.44,1.50,3,44,0.05,NLOS,119.82,-18.80,-80.80,-53.02,17.95,183.05,0,50,-101.36,42,-101.84,49,-102.72,43,-106.52,37,-106.58,38,-109.56
7,6000.00,6895.93,1.50,3,44,0.05,NLOS,119.84,-18.80,-80.82,-53.04,17.93,183.05,0,50,-101.35,42,-101.83,49,-102.71,43,-106.51,37,-106.58,38,-109.57
8,6000.00,6895.42,1.50,3,44,0.05,NLOS,119.85,-18.80,-80.83,-53.05,17.91,183.05,0,50,-101.35,42,-101.83,49,-102.71,43,-106.50,37,-106.58,38,-109.57
9,6000.00,6894.92,1.50,3,44,0.05,NLOS,119.87,-18.80,-80.85,-53.07,17.88,183.05,0,50,-101.34,42,-101.82,49,-102.70,43,-106.49,37,-106.58,38,-109.57
10,6000.00,6894.41,1.50,3,44,0.05,NLOS,119.89,-18.80,-80.87,-53.09,17.86,183.05,0,50,-101.34,42,-101.82,49,-102.69,43,-106.48,37,-106.57,38,-109.58
11,6000.00,6893.90,1.50,3,44,0.05,NLOS,119.91,-18.80,-80.89,-53.10,17.84,183.05,0,50,-101.33,42,-101.81,49,-102.69,43,-106.46,37,-106.57,38,-109.58
12,6000.00,6893.39,1.50,3,44,0.05,NLOS,119.92,-18.80,-80.90,-53.12,17.82,183.05,0,50,-101.33,42,-101.81,49,-102.68,43,-106.45,37,-106.57,38,-109.59
13,6000.00,6892.88,1.50,3,44,0.05,NLOS,119.94,-18.80,-80.92,-53.14,17.80,183.05,0,50,-101.32,42,-101.80,49,-102.67,43,-106.44,37,-106.57,38,-109.59
14,6000.00,6892.37,1.50,3,44,0.05,NLOS,119.96,-18.80,-80.94,-53.16,17.78,183.05,0,50,-101.32,42,-101.79,49,-102.67,43,-106.43,37,-106.57,38,-109.59
15,6000.00,6891.86,1.50,3,44,0.05,NLOS,119.97,-18.80,-80.95,-53.17,17.75,183.05,0,50,-101.31,42,-101.79,49,-102.66,43,-106.41,37,-106.57,38,-109.60
16,6000.00,6891.36,1.50,3,44,0.05,NLOS,119.99,-18.80,-80.97,-53.19,17.73,183.05,0,50,-101.31,42,-101.78,49,-102.65,43,-106.40,37,-106.57,38,-109.60
17,6000.00,6890.85,1.50,3,44,0.05,NLOS,120.01,-18.80,-80.99,-53.21,17.71,183.05,0,50,-101.30,42,-101.78,49,-102.65,43,-106.39,37,-106.57,38,-109.61
18,6000.00,6890.34,1.50,3,44,0.05,NLOS,120.03,-18.80,-81.01,-53.22,17.69,183.05,0,50,-101.30,42,-101.77,49,-102.64,43,-106.38,37,-106.56,38,-109.61
19,6000.00,6889.83,1.50,3,44,0.05,NLOS,120.04,-18.80,-81.02,-53.24,17.67,183.05,0,50,-101.29,42,-101.77,49,-102.63,43,-106.36,37,-106.56,38,-109.61
20,6000.00,6889.32,1.50,3,44,0.05,NLOS,120.06,-18.80,-81.04,-53.26,17.65,183.05,0,50,-101.29,42,-101.76,49,-102.62,43,-106.35,37,-106.56,38,-109.62
21,6000.00,6888.81,1.50,3,44,0.05,NLOS,120.08,-18.80,-81.06,-53.28,17.62,183.05,0,50,-101.28,42,-101.75,49,-102.62,43,-106.34,37,-106.56,38,-109.62
22,6000.00,6888.30,1.50,3,44,0.05,NLOS,120.09,-18.80,-81.07,-53.29,17.60,183.05,0,50,-101.28,42,-101.75,49,-102.61,43,-106.33,37,-106.56,38,-109.63
23,6000.00,6887.80,1.50,3,44,0.05,NLOS,120.11,-18.80,-81.09,-53.31,17.58,183.05,0,50,-101.27,42,-101.74,49,-102.60,43,-106.31,37,-106.56,38,-109.63
24,6000.00,6887.29,1.50,3,44,0.05,NLOS,120.13,-18.80,-81.11,-53.33,17.56,183.05,0,50,-101.27,42,-101.74,49,-102.60,43,-106.30,37,-106.56,38,-109.64
25,6000.00,6886.78,1.50,3,44,0.05,NLOS,120.15,-18.80,-81.13,-53.34,17.54,183.05,0,50,-101.26,42,-101.73,49,-102.59,43,-106.29,37,-106.55,38,-109.64
26,6000.00,6886.27,1.50,3,44,0.05,NLOS,120.16,-18.80,-81.14,-53.36,17.52,183.05,0,50,-101.26,42,-101.72,49,-102.58,43,-106.28,37,-106.55,38,-109.64
27,6000.00,6885.76,1.50,3,44,0.05,NLOS,120.18,-18.80,-81.16,-53.38,17.50,183.05,0,50,-101.25,42,-101.72,49,-102.58,43,-106.27,37,-106.55,38,-109.65
28,6000.00,6885.25,1.50,3,44,0.05,NLOS,120.20,-18.80,-81.18,-53.39,17.47,183.05,0,50,-101.25,42,-101.71,49,-102.57,43,-106.25,37,-106.55,38,-109.65
29,6000.00,6884.75,1.50,3,44,0.05,NLOS,120.21,-18.80,-81.19,-53.41,17.45,183.05,0,50,-101.24,42,-101.71,49,-102.56,43,-106.24,37,-106.55,38,-109.66
30,6000.00,6884.24,1.50,3,44,0.05,NLOS,120.23,-18.80,-81.21,-53.43,17.43,183.05,0,50,-101.24,42,-101.70,49,-102.56,43,-106.23,37,-106.55,38,-109.66
31,6000.00,6883.73,1.50,3,44,0.05,NLOS,120.25,-18.80,-81.23,-53.45,17.41,183.05,0,50,-101.23,42,-101.70,49,-102.55,43,-106.22,37,-106.55,38,-109.66
32,6000.00,6883.22,1.50,3,44,0.05,NLOS,120.27,-18.80,-81.24,-53.46,17.39,183.05,0,50,-101.23,42,-101.69,49,-102.54,43,-106.20,37,-106.55,38,-109.67
33,6000.00,6882.71,1.50,3,44,0.05,NLOS,120.28,-18.80,-81.26,-53.48,17.37,183.05,0,50,-101.22,42,-101.68,49,-102.54,43,-106.19,37,-106.54,38,-109.67
34,6000.00,6882.20,1.50,3,44,0.05,NLOS,120.30,-18.80,-81.28,-53.50,17.34,183.05,0,50,-101.22,42,-101.68,49,-102.53,43,-106.18,37,-106.54,38,-109.68
35,6000.00,6881.69,1.50,3,44,0.05,NLOS,120.32,-18.80,-81.30,-53.51,17.32,183.05,0,50,-101.21,42,-101.67,49,-102.52,43,-106.17,37,-106.54,38,-109.68
36,6000.00,6881.19,1.50,3,44,0.05,NLOS,120.33,-18.80,-81.31,-53.53,17.30,183.05,0,50,-101.21,42,-101.67,49,-102.52,43,-106.15,37,-106.54,38,-109.68
37,6000.00,6880.68,1.50,3,44,0.05,NLOS,120.35,-18.80,-81.33,-53.55,17.28,183.05,0,50,-101.20,42,-101.66,49,-102.51,43,-106.14,37,-106.54,38,-109.69
38,6000.00,6880.17,1.50,3,44,0.05,NLOS,120.37,-18.80,-81.35,-53.57,17.26,183.05,0,50,-101.20,42,-101.66,49,-102.50,43,-106.13,37,-106.54,38,-109.69
39,6000.00,6879.66,1.50,3,44,0.05,NLOS,120.38,-18.80,-81.36,-53.58,17.24,183.05,0,50,-101.19,42,-101.65,49,-102.50,43,-106.12,37,-106.54,38,-109.70
40,6000.00,6879.15,1.50,3,44,0.05,NLOS,120.40,-18.80,-81.38,-53.60,17.22,183.05,0,50,-101.19,42,-101.64,49,-102.49,43,-106.10,37,-106.54,38,-109.70
41,6000.00,6878.64,1.50,3,44,0.05,NLOS,120.42,-18.80,-81.40,-53.62,17.19,183.05,0,50,-101.19,42,-101.64,49,-102.48,43,-106.09,37,-106.53,38,-109.70
42,6000.00,6878.14,1.50,3,44,0.05,NLOS,120.44,-18.80,-81.42,-53.63,17.17,183.05,0,50,-101.18,42,-101.63,49,-102.47,43,-106.08,37,-106.53,38,-109.71
43,6000.00,6877.63,1.50,3,44,0.05,NLOS,120.45,-18.80,-81.43,-53.65,17.15,183.05,0,50,-101.18,42,-101.63,49,-102.47,43,-106.07,37,-106.53,38,-109.71
44,6000.00,6877.12,1.50,3,44,0.05,NLOS,120.47,-18.80,-81.45,-53.67,17.13,183.05,0,50,-101.17,42,-101.62,49,-102.46,43,-106.05,37,-106.53,38,-109.72
