Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,8035.41,6200.00,0,72,-101.41,-1.41,42.49,0,73,-118.23,65,-123.41,80,-131.12,64,-134.55,79,-143.53
1,8070.82,6200.00,0,72,-113.88,-13.88,42.49,0,65,-114.46,73,-122.63,64,-126.62,79,-130.07,80,-132.94
2,8106.22,6200.00,0,72,-118.32,-18.32,42.49,0,65,-116.69,64,-118.21,73,-119.28,80,-128.98,79,-129.12
3,8141.63,6200.00,0,65,-99.66,-0.17,42.49,1,80,-109.05,73,-123.65,79,-124.14,72,-126.58,81,-134.05
4,8177.04,6200.00,0,65,-109.56,-10.18,42.49,0,80,-108.13,79,-112.81,73,-113.67,72,-125.93,81,-134.02
5,8187.55,6200.00,2,80,-124.24,-24.24,42.49,1,73,-111.76,79,-117.04,81,-122.19,72,-129.07,65,-137.31
6,8152.14,6200.00,2,72,-115.99,-15.99,42.49,1,80,-121.22,73,-123.98,65,-124.54,81,-127.95,79,-140.44
7,8116.73,6200.00,2,72,-99.11,0.89,42.49,0,80,-114.99,81,-124.37,73,-125.41,79,-137.90,65,-140.44
8,8081.33,6200.00,2,72,-105.99,-5.99,42.49,0,80,-124.97,65,-126.99,73,-128.83,64,-136.24,79,-136.91
9,8045.92,6200.00,2,72,-107.83,-7.83,42.49,0,65,-118.90,79,-131.67,80,-134.15,64,-135.26,73,-139.59
10,8010.51,6200.00,2,72,-113.18,-13.18,42.49,0,73,-116.91,79,-119.39,65,-126.36,64,-132.36,80,-135.07
11,8024.90,6200.00,0,72,-93.47,4.78,42.49,0,73,-106.22,64,-118.57,79,-132.53,80,-132.92,65,-136.85
12,8060.31,6200.00,0,72,-95.94,4.06,42.49,0,65,-111.37,80,-112.70,73,-117.75,64,-129.25,79,-129.92
13,8095.72,6200.00,0,72,-105.00,-5.00,42.49,0,80,-118.20,73,-118.99,65,-121.32,79,-123.99,64,-131.28
14,8131.12,6200.00,0,80,-109.05,-9.05,42.49,1,79,-117.65,72,-117.93,73,-127.28,65,-134.11,81,-137.86
