Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_sinr_interference,ue0_sinr_noise,ue0_sinr_denominator,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue0_interf_bs1_idx,ue0_interf_bs1_prx,ue0_interf_bs2_idx,ue0_interf_bs2_prx,ue0_interf_bs3_idx,ue0_interf_bs3_prx,ue0_interf_bs4_idx,ue0_interf_bs4_prx,ue0_interf_bs5_idx,ue0_interf_bs5_prx,ue0_interf_bs6_idx,ue0_interf_bs6_prx
17,3582.73,2452.00,3.00,2,23,0.36,NLOS,96.68,-3.35,-73.11,-45.33,4.82,-50.15,-95.00,-50.15,34.45,0,31,-77.94,30,-106.30,15,-109.38,16,-117.44,24,-119.23,38,-120.40,15,-81.60,16,-89.66,30,-78.52,31,-50.16,24,-91.44,17,-93.93
18,3573.16,2452.00,3.00,2,23,0.40,NLOS,95.28,1.67,-76.73,-48.95,1.55,-50.50,-95.00,-50.50,34.45,0,31,-78.29,15,-106.53,17,-108.85,30,-109.82,24,-113.62,25,-118.03,15,-78.75,16,-92.56,30,-82.04,31,-50.51,24,-85.84,17,-81.06
19,3563.59,2452.00,3.00,2,23,0.44,NLOS,93.84,1.67,-75.28,-47.50,3.10,-50.60,-95.00,-50.60,34.45,0,31,-78.40,15,-106.38,17,-108.79,30,-109.98,24,-113.60,25,-118.03,15,-78.60,16,-92.40,30,-82.20,31,-50.62,24,-85.82,17,-81.00
20,3554.01,2452.00,3.00,2,23,0.48,NLOS,92.36,1.67,-73.81,-46.02,4.68,-50.70,-95.00,-50.70,34.45,0,31,-78.50,15,-106.23,17,-108.73,30,-110.14,24,-113.59,25,-118.03,15,-78.45,16,-92.24,30,-82.36,31,-50.72,24,-85.81,17,-80.95
21,3544.44,2452.00,3.00,2,23,0.52,NLOS,90.88,-0.68,-69.99,-42.21,3.31,-45.52,-95.00,-45.52,34.45,0,31,-73.30,30,-108.60,16,-113.94,24,-115.72,39,-119.48,32,-120.18,15,-93.08,16,-86.15,30,-80.82,31,-45.52,24,-87.93,17,-99.27
22,3534.87,2452.00,3.00,2,23,0.56,NLOS,89.47,-0.68,-68.58,-40.80,4.82,-45.62,-95.00,-45.62,34.45,0,31,-73.40,30,-108.75,16,-113.77,24,-115.71,39,-119.56,32,-120.23,15,-92.93,16,-85.99,30,-80.97,31,-45.62,24,-87.92,17,-99.21
23,3525.30,2452.00,3.00,2,23,0.60,NLOS,88.23,-0.68,-67.33,-39.55,6.17,-45.72,-95.00,-45.72,34.45,0,31,-73.50,30,-108.91,16,-113.60,24,-115.70,39,-119.65,32,-120.29,15,-92.78,16,-85.82,30,-81.13,31,-45.72,24,-87.92,17,-99.15
24,3515.73,2452.00,3.00,2,23,0.63,NLOS,87.25,3.20,-70.24,-42.46,5.20,-47.65,-95.00,-47.65,34.45,0,31,-75.44,32,-110.14,16,-110.44,15,-115.54,24,-115.98,17,-116.23,15,-87.76,16,-82.66,30,-89.02,31,-47.66,24,-88.20,17,-88.44
25,3506.16,2452.00,3.00,2,23,0.65,NLOS,86.69,3.20,-69.67,-41.89,5.86,-47.75,-95.00,-47.75,34.45,0,31,-75.54,32,-110.19,16,-110.27,15,-115.39,24,-115.97,17,-116.17,15,-87.60,16,-82.49,30,-89.17,31,-47.75,24,-88.19,17,-88.39
26,3496.59,2452.00,3.00,2,23,0.65,NLOS,86.61,3.20,-69.60,-41.82,6.03,-47.85,-95.00,-47.85,34.45,0,31,-75.63,16,-110.10,32,-110.25,15,-115.23,24,-115.97,17,-116.11,15,-87.45,16,-82.32,30,-89.32,31,-47.85,24,-88.19,17,-88.33
27,3487.02,2452.00,3.00,2,23,0.63,NLOS,87.04,-6.82,-60.01,-32.23,22.79,-55.02,-95.00,-55.02,34.45,0,31,-82.83,15,-108.58,24,-109.30,30,-111.12,17,-114.59,16,-115.93,15,-80.80,16,-88.14,30,-83.34,31,-55.05,24,-81.52,17,-86.81
28,3477.45,2452.00,3.00,2,23,0.61,NLOS,87.91,-6.82,-60.88,-33.09,22.02,-55.11,-95.00,-55.11,34.45,0,31,-82.93,15,-108.42,24,-109.31,30,-111.27,17,-114.53,16,-115.75,15,-80.64,16,-87.97,30,-83.49,31,-55.15,24,-81.53,17,-86.75
29,3467.88,2452.00,3.00,2,23,0.57,NLOS,89.09,-6.82,-62.06,-34.28,20.93,-55.21,-95.00,-55.21,34.45,0,31,-83.02,15,-108.27,24,-109.31,30,-111.43,17,-114.48,16,-115.58,15,-80.49,16,-87.79,30,-83.64,31,-55.24,24,-81.53,17,-86.69
30,3458.31,2452.00,3.00,2,23,0.53,NLOS,90.47,-2.93,-67.32,-39.54,11.39,-50.93,-95.00,-50.93,34.45,0,31,-78.75,30,-99.41,15,-110.67,24,-111.06,16,-113.45,8,-115.60,15,-82.89,16,-85.67,30,-71.63,31,-50.97,24,-83.27,17,-93.15
31,3448.74,2452.00,3.00,2,23,0.49,NLOS,91.93,-2.93,-68.78,-41.00,10.02,-51.02,-95.00,-51.02,34.45,0,31,-78.85,30,-99.56,15,-110.51,24,-111.07,16,-113.27,8,-115.49,15,-82.73,16,-85.49,30,-71.78,31,-51.07,24,-83.29,17,-93.10
