Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_sinr_interference,ue0_sinr_noise,ue0_sinr_denominator,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue0_interf_bs1_idx,ue0_interf_bs1_prx,ue0_interf_bs2_idx,ue0_interf_bs2_prx,ue0_interf_bs3_idx,ue0_interf_bs3_prx,ue0_interf_bs4_idx,ue0_interf_bs4_prx,ue0_interf_bs5_idx,ue0_interf_bs5_prx,ue0_interf_bs6_idx,ue0_interf_bs6_prx
67,3355.00,2302.81,3.00,1,31,0.02,LOS,100.41,-1.08,-79.11,-51.32,15.32,-66.65,-95.00,-66.65,34.45,0,23,-94.56,15,-105.78,24,-112.59,30,-114.22,16,-114.62,9,-117.38,32,-102.57,23,-66.78,24,-84.81,38,-98.20,39,-93.41,30,-86.43
68,3355.00,2312.38,3.00,1,31,0.02,LOS,100.36,-1.08,-79.06,-51.28,14.88,-66.16,-95.00,-66.16,34.45,0,23,-94.06,15,-105.90,24,-112.42,30,-114.28,16,-114.49,9,-117.33,32,-102.49,23,-66.28,24,-84.64,38,-98.19,39,-93.37,30,-86.49
69,3355.00,2321.95,3.00,1,31,0.02,LOS,100.32,-1.08,-79.02,-51.24,14.45,-65.69,-95.00,-65.69,34.45,0,23,-93.58,15,-106.01,24,-112.26,30,-114.34,16,-114.36,9,-117.27,32,-102.40,23,-65.80,24,-84.47,38,-98.18,39,-93.33,30,-86.56
70,3355.00,2331.52,3.00,1,31,0.02,LOS,100.28,-4.79,-75.27,-47.49,6.29,-53.78,-95.00,-53.78,34.45,0,23,-81.56,16,-110.90,15,-111.79,8,-114.19,30,-117.91,24,-119.64,32,-101.10,23,-53.78,24,-91.86,38,-93.48,39,-99.87,30,-90.13
71,3355.00,2341.09,3.00,1,31,0.02,LOS,100.23,-4.79,-75.23,-47.45,5.92,-53.36,-95.00,-53.36,34.45,0,23,-81.15,16,-110.77,15,-111.91,8,-114.18,30,-117.97,24,-119.47,32,-101.02,23,-53.37,24,-91.69,38,-93.48,39,-99.83,30,-90.19
72,3355.00,2350.66,3.00,1,31,0.02,LOS,100.19,-4.79,-75.18,-47.40,5.59,-53.00,-95.00,-52.99,34.45,0,23,-80.78,16,-110.64,15,-112.03,8,-114.18,30,-118.04,24,-119.30,32,-100.94,23,-53.00,24,-91.52,38,-93.48,39,-99.79,30,-90.26
73,3355.00,2360.23,3.00,1,31,0.02,LOS,100.15,-8.70,-71.22,-43.44,14.29,-57.73,-95.00,-57.73,34.45,0,23,-85.53,15,-94.03,16,-102.95,30,-113.21,24,-118.32,32,-118.82,32,-91.04,23,-57.75,24,-90.54,38,-102.00,39,-100.35,30,-85.43
74,3355.00,2369.80,3.00,1,31,0.02,LOS,100.11,-8.70,-71.18,-43.40,14.07,-57.47,-95.00,-57.47,34.45,0,23,-85.27,15,-94.15,16,-102.82,30,-113.28,24,-118.14,32,-118.74,32,-90.96,23,-57.48,24,-90.36,38,-102.00,39,-100.31,30,-85.50
75,3355.00,2379.37,3.00,1,31,0.02,LOS,100.06,-8.70,-71.14,-43.36,13.91,-57.27,-95.00,-57.27,34.45,0,23,-85.07,15,-94.27,16,-102.69,30,-113.35,24,-117.97,32,-118.66,32,-90.88,23,-57.28,24,-90.18,38,-102.00,39,-100.27,30,-85.57
76,3355.00,2388.95,3.00,1,31,0.02,LOS,100.02,-0.35,-79.45,-51.67,8.67,-60.34,-95.00,-60.34,34.45,0,23,-88.13,16,-110.70,18,-111.53,46,-113.09,15,-115.81,30,-120.28,32,-100.83,23,-60.34,24,-94.20,38,-97.32,39,-100.25,30,-92.50
77,3355.00,2398.52,3.00,1,31,0.02,LOS,99.98,-0.35,-79.41,-51.63,8.65,-60.28,-95.00,-60.28,34.45,0,23,-88.06,16,-110.57,18,-111.46,46,-113.08,15,-115.94,30,-120.35,32,-100.74,23,-60.28,24,-94.02,38,-97.32,39,-100.21,30,-92.57
78,3355.00,2408.09,3.00,1,31,0.02,LOS,99.94,-0.35,-79.37,-51.59,8.70,-60.29,-95.00,-60.29,34.45,0,23,-88.07,16,-110.44,18,-111.39,46,-113.07,15,-116.07,30,-120.42,32,-100.66,23,-60.29,24,-93.83,38,-97.32,39,-100.17,30,-92.64
79,3355.00,2417.66,3.00,1,31,0.02,LOS,99.90,4.78,-84.46,-56.68,-2.26,-54.42,-95.00,-54.42,34.45,0,23,-82.21,15,-102.29,30,-109.75,16,-111.34,17,-112.14,39,-117.27,32,-94.50,23,-54.43,24,-99.98,38,-98.08,39,-89.49,30,-81.97
80,3355.00,2427.23,3.00,1,31,0.02,LOS,99.86,4.78,-84.42,-56.64,-2.07,-54.57,-95.00,-54.57,34.45,0,23,-82.36,15,-102.42,30,-109.82,16,-111.22,17,-112.03,39,-117.23,32,-94.42,23,-54.58,24,-99.80,38,-98.08,39,-89.45,30,-82.04
81,3355.00,2436.80,3.00,1,31,0.02,LOS,99.83,4.78,-84.38,-56.60,-1.81,-54.79,-95.00,-54.79,34.45,0,23,-82.58,15,-102.55,30,-109.89,16,-111.10,17,-111.93,39,-117.19,32,-94.33,23,-54.80,24,-99.61,38,-98.08,39,-89.41,30,-82.11
82,3355.00,2446.37,3.00,1,31,0.02,LOS,99.79,-3.21,-76.36,-48.58,13.74,-62.32,-95.00,-62.32,34.45,0,23,-90.24,24,-106.34,30,-112.10,16,-115.12,15,-115.24,26,-120.69,32,-96.33,23,-62.46,24,-78.56,38,-103.87,39,-93.07,30,-84.32
83,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
84,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
85,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
86,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
87,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
88,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
89,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
90,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
91,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
92,3355.00,2452.00,3.00,0,31,0.02,LOS,99.77,-3.21,-76.34,-48.56,13.94,-62.51,-95.00,-62.50,0.00,0,23,-90.43,24,-106.22,30,-112.14,16,-115.05,15,-115.31,26,-120.66,32,-96.28,23,-62.65,24,-78.44,38,-103.87,39,-93.04,30,-84.36
93,3359.79,2452.00,3.00,0,31,0.02,LOS,99.72,-3.21,-76.30,-48.52,13.51,-62.02,-95.00,-62.02,17.23,0,23,-89.94,24,-106.21,30,-112.07,16,-115.14,15,-115.40,26,-120.65,32,-96.25,23,-62.16,24,-78.43,38,-103.82,39,-93.00,30,-84.29
94,3369.36,2452.00,3.00,0,31,0.02,LOS,99.64,-3.21,-76.21,-48.43,12.59,-61.02,-95.00,-61.02,34.45,0,23,-88.91,24,-106.18,30,-111.93,16,-115.33,15,-115.56,26,-120.65,32,-96.19,23,-61.13,24,-78.39,38,-103.72,39,-92.92,30,-84.15
95,3378.93,2452.00,3.00,0,31,0.02,LOS,99.55,-4.84,-74.49,-46.71,0.43,-47.14,-95.00,-47.14,34.45,0,23,-74.92,15,-103.98,16,-104.65,30,-112.69,40,-114.23,17,-115.51,32,-87.87,23,-47.14,24,-94.54,38,-96.29,39,-98.71,30,-84.91
96,3388.50,2452.00,3.00,0,31,0.02,LOS,99.46,-4.84,-74.40,-46.62,-0.62,-46.00,-95.00,-46.00,34.45,0,23,-73.78,15,-104.15,16,-104.84,30,-112.55,40,-114.18,17,-115.56,32,-87.81,23,-46.00,24,-94.51,38,-96.19,39,-98.63,30,-84.77
97,3398.07,2452.00,3.00,0,31,0.02,LOS,99.37,-4.84,-74.31,-46.53,-1.74,-44.79,-95.00,-44.79,34.45,0,23,-72.57,15,-104.31,16,-105.02,30,-112.41,40,-114.13,32,-115.53,32,-87.75,23,-44.79,24,-94.48,38,-96.09,39,-98.55,30,-84.63
98,3407.64,2452.00,3.00,0,31,0.02,LOS,99.28,-4.88,-74.19,-46.41,1.74,-48.15,-95.00,-48.15,34.45,0,23,-75.93,16,-106.44,30,-110.03,24,-112.66,9,-113.16,32,-119.88,32,-92.10,23,-48.15,24,-84.88,38,-98.19,39,-104.54,30,-82.25
99,3417.21,2452.00,3.00,0,31,0.02,LOS,99.19,-4.88,-74.10,-46.32,0.50,-46.81,-95.00,-46.81,34.45,0,23,-74.60,16,-106.62,30,-109.89,24,-112.64,9,-113.24,32,-119.82,32,-92.04,23,-46.82,24,-84.86,38,-98.09,39,-104.46,30,-82.11
100,3426.78,2452.00,3.00,0,31,0.02,LOS,99.10,-4.88,-74.01,-46.23,-0.81,-45.42,-95.00,-45.42,34.45,0,23,-73.20,16,-106.80,30,-109.74,24,-112.62,9,-113.33,32,-119.76,32,-91.98,23,-45.42,24,-84.84,38,-97.99,39,-104.38,30,-81.96
101,3436.35,2452.00,3.00,0,23,0.44,NLOS,93.85,0.19,-73.81,-46.03,12.93,-58.96,-95.00,-58.96,34.45,1,31,-86.79,15,-109.15,16,-112.88,33,-115.84,24,-116.30,38,-116.45,15,-81.37,16,-85.10,30,-95.40,31,-59.01,24,-88.52,17,-89.38
102,3445.92,2452.00,3.00,0,23,0.48,NLOS,92.37,0.19,-72.33,-44.55,14.32,-58.87,-95.00,-58.87,34.45,0,31,-86.69,15,-109.30,16,-113.06,33,-115.82,24,-116.29,38,-116.35,15,-81.52,16,-85.28,30,-95.25,31,-58.91,24,-88.50,17,-89.43
103,3455.49,2452.00,3.00,0,23,0.52,NLOS,90.89,0.19,-70.86,-43.08,15.70,-58.78,-95.00,-58.78,34.45,0,31,-86.60,15,-109.46,16,-113.23,33,-115.79,38,-116.24,24,-116.27,15,-81.68,16,-85.45,30,-95.10,31,-58.82,24,-88.49,17,-89.49
104,3465.06,2452.00,3.00,0,23,0.56,NLOS,89.48,-7.70,-61.56,-33.78,21.55,-55.33,-95.00,-55.33,34.45,0,31,-83.12,15,-110.94,25,-113.13,24,-115.53,18,-116.78,30,-117.07,15,-83.16,16,-90.75,30,-89.29,31,-55.34,24,-87.75,17,-94.96
105,3474.63,2452.00,3.00,0,23,0.60,NLOS,88.23,-7.70,-60.31,-32.53,22.70,-55.24,-95.00,-55.24,34.45,0,31,-83.03,15,-111.10,25,-113.13,24,-115.52,18,-116.80,30,-116.92,15,-83.32,16,-90.93,30,-89.14,31,-55.25,24,-87.74,17,-95.02
106,3484.20,2452.00,3.00,0,23,0.63,NLOS,87.26,-7.70,-59.34,-31.56,23.58,-55.14,-95.00,-55.14,34.45,0,31,-82.93,15,-111.25,25,-113.13,24,-115.52,30,-116.77,18,-116.83,15,-83.47,16,-91.10,30,-88.99,31,-55.15,24,-87.73,17,-95.07
107,3493.78,2452.00,3.00,0,23,0.65,NLOS,86.69,-1.50,-64.97,-37.19,17.75,-54.94,-95.00,-54.94,34.45,0,31,-82.74,30,-107.53,38,-111.91,25,-112.53,24,-113.51,15,-117.29,15,-89.51,16,-94.17,30,-79.75,31,-54.96,24,-85.72,17,-93.84
108,3503.35,2452.00,3.00,0,23,0.65,NLOS,86.61,-1.50,-64.89,-37.11,17.73,-54.84,-95.00,-54.84,34.45,0,31,-82.64,30,-107.38,38,-111.81,25,-112.53,24,-113.51,15,-117.44,15,-89.66,16,-94.35,30,-79.60,31,-54.86,24,-85.72,17,-93.90
109,3512.92,2452.00,3.00,0,23,0.63,NLOS,87.04,-1.50,-65.32,-37.54,17.20,-54.74,-95.00,-54.74,34.45,0,31,-82.55,30,-107.23,38,-111.70,25,-112.53,24,-113.51,15,-117.60,15,-89.81,16,-94.52,30,-79.44,31,-54.76,24,-85.73,17,-93.95
110,3522.49,2452.00,3.00,0,23,0.61,NLOS,87.91,8.84,-76.53,-48.74,4.24,-52.99,-95.00,-52.99,34.45,0,31,-80.79,16,-106.82,24,-111.23,30,-113.98,8,-114.39,2,-115.85,15,-88.80,16,-79.04,30,-86.20,31,-53.00,24,-83.45,17,-94.44
111,3532.06,2452.00,3.00,0,23,0.57,NLOS,89.09,8.84,-77.71,-49.92,2.96,-52.89,-95.00,-52.89,34.45,0,31,-80.69,16,-106.99,24,-111.24,30,-113.83,8,-114.50,2,-115.91,15,-88.95,16,-79.21,30,-86.05,31,-52.91,24,-83.46,17,-94.50
112,3541.63,2452.00,3.00,0,23,0.53,NLOS,90.46,8.84,-79.08,-51.30,1.49,-52.79,-95.00,-52.79,34.45,0,31,-80.59,16,-107.15,24,-111.25,30,-113.67,8,-114.61,2,-115.96,15,-89.10,16,-79.37,30,-85.89,31,-52.81,24,-83.46,17,-94.56
113,3551.20,2452.00,3.00,0,31,0.02,LOS,97.85,-5.52,-72.12,-44.34,9.14,-53.48,-95.00,-53.48,34.45,1,23,-81.28,15,-105.44,30,-108.77,24,-110.51,16,-115.02,18,-120.37,32,-100.35,23,-53.49,24,-82.73,38,-93.51,39,-100.83,30,-80.99
114,3555.00,2457.77,3.00,1,31,0.02,LOS,97.78,-5.52,-72.05,-44.26,10.62,-54.89,-95.00,-54.89,34.45,0,23,-82.69,15,-105.55,30,-108.78,24,-110.40,16,-115.04,18,-120.34,32,-100.27,23,-54.91,24,-82.61,38,-93.47,39,-100.77,30,-80.99
115,3555.00,2467.34,3.00,1,31,0.02,LOS,97.73,-5.52,-71.99,-44.21,12.04,-56.25,-95.00,-56.25,34.45,0,23,-84.06,15,-105.64,30,-108.89,24,-110.19,16,-114.97,18,-120.27,32,-100.17,23,-56.27,24,-82.41,38,-93.47,39,-100.72,30,-81.10
116,3555.00,2476.91,3.00,1,31,0.02,LOS,97.67,-5.61,-71.85,-44.07,-0.20,-43.87,-95.00,-43.87,34.45,0,23,-71.65,30,-105.66,16,-106.74,32,-109.62,40,-113.45,15,-117.62,32,-81.84,23,-43.87,24,-90.13,38,-92.45,39,-102.12,30,-77.87
117,3555.00,2486.48,3.00,1,31,0.02,LOS,97.62,-5.61,-71.79,-44.01,1.17,-45.18,-95.00,-45.18,34.45,0,23,-72.96,30,-105.77,16,-106.67,32,-109.52,40,-113.39,24,-117.70,32,-81.74,23,-45.18,24,-89.92,38,-92.46,39,-102.07,30,-77.99
118,3555.00,2496.05,3.00,1,31,0.02,LOS,97.57,-5.61,-71.74,-43.96,2.48,-46.44,-95.00,-46.44,34.45,0,23,-74.23,30,-105.88,16,-106.60,32,-109.42,40,-113.34,24,-117.49,32,-81.64,23,-46.44,24,-89.71,38,-92.46,39,-102.02,30,-78.10
119,3555.00,2505.62,3.00,1,31,0.02,LOS,97.52,-6.37,-70.93,-43.15,16.47,-59.62,-95.00,-59.62,34.45,0,23,-87.48,30,-106.42,38,-112.78,25,-112.79,17,-114.15,24,-114.93,32,-93.63,23,-59.70,24,-87.15,38,-85.00,39,-110.17,30,-78.64
120,3555.00,2515.19,3.00,1,31,0.02,LOS,97.47,-6.37,-70.88,-43.10,17.66,-60.76,-95.00,-60.75,34.45,0,23,-88.64,30,-106.54,25,-112.69,38,-112.79,17,-114.06,24,-114.72,32,-93.53,23,-60.85,24,-86.94,38,-85.01,39,-110.12,30,-78.76
121,3555.00,2524.77,3.00,1,31,0.02,LOS,97.42,-6.37,-70.83,-43.05,18.78,-61.83,-95.00,-61.83,34.45,0,23,-89.73,30,-106.65,25,-112.59,38,-112.80,17,-113.97,24,-114.50,32,-93.43,23,-61.95,24,-86.72,38,-85.02,39,-110.07,30,-78.87
122,3555.00,2534.34,3.00,1,31,0.02,LOS,97.37,-4.92,-72.23,-44.45,6.31,-50.75,-95.00,-50.75,34.45,0,23,-78.54,30,-112.43,39,-113.91,9,-115.06,24,-117.94,15,-118.60,32,-97.50,23,-50.76,24,-90.16,38,-100.39,39,-86.13,30,-84.65
123,3555.00,2543.91,3.00,1,31,0.02,LOS,97.32,-4.92,-72.18,-44.40,7.35,-51.75,-95.00,-51.75,34.45,0,23,-79.54,30,-112.55,39,-113.87,9,-115.02,24,-117.72,15,-118.69,32,-97.40,23,-51.75,24,-89.94,38,-100.40,39,-86.09,30,-84.76
124,3555.00,2553.48,3.00,1,31,0.02,LOS,97.27,-4.92,-72.13,-44.35,8.35,-52.70,-95.00,-52.70,34.45,0,23,-80.49,30,-112.66,39,-113.82,9,-114.98,24,-117.50,15,-118.79,32,-97.30,23,-52.71,24,-89.72,38,-100.41,39,-86.04,30,-84.88
125,3555.00,2563.05,3.00,1,31,0.02,LOS,97.23,0.29,-77.30,-49.52,9.01,-58.53,-95.00,-58.53,34.45,0,23,-86.45,24,-101.78,30,-113.37,34,-116.06,16,-116.29,15,-116.60,32,-94.42,23,-58.67,24,-73.99,38,-94.30,39,-95.31,30,-85.59
126,3555.00,2572.62,3.00,1,31,0.02,LOS,97.18,0.29,-77.25,-49.47,9.89,-59.36,-95.00,-59.36,34.45,0,23,-87.32,24,-101.55,30,-113.49,34,-116.01,16,-116.22,15,-116.70,32,-94.32,23,-59.54,24,-73.76,38,-94.32,39,-95.26,30,-85.71
127,3555.00,2582.19,3.00,1,31,0.02,LOS,97.14,0.29,-77.21,-49.43,10.71,-60.15,-95.00,-60.14,34.45,0,23,-88.15,24,-101.31,30,-113.60,34,-115.95,16,-116.17,15,-116.80,32,-94.22,23,-60.37,24,-73.53,38,-94.33,39,-95.22,30,-85.82
128,3555.00,2591.76,3.00,1,31,0.02,LOS,97.10,6.27,-83.15,-55.37,0.09,-55.46,-95.00,-55.46,34.45,0,23,-83.26,30,-108.41,32,-116.45,24,-116.81,16,-116.92,10,-118.81,32,-88.67,23,-55.48,24,-89.03,38,-93.46,39,-105.58,30,-80.62
129,3555.00,2601.33,3.00,1,31,0.02,LOS,97.06,6.27,-83.11,-55.33,0.89,-56.23,-95.00,-56.22,34.45,0,23,-84.03,30,-108.52,32,-116.35,24,-116.57,16,-116.86,10,-118.76,32,-88.56,23,-56.25,24,-88.79,38,-93.48,39,-105.54,30,-80.74
130,3555.00,2610.90,3.00,1,31,0.02,LOS,97.02,6.27,-83.07,-55.29,1.66,-56.96,-95.00,-56.95,34.45,0,23,-84.76,30,-108.64,32,-116.24,24,-116.33,16,-116.81,10,-118.70,32,-88.46,23,-56.98,24,-88.54,38,-93.49,39,-105.50,30,-80.86
131,3555.00,2620.47,3.00,1,31,0.02,LOS,96.98,-2.01,-74.76,-46.98,16.61,-63.59,-95.00,-63.59,34.45,0,23,-91.50,16,-105.38,24,-108.93,32,-113.83,15,-115.27,8,-117.75,32,-86.05,23,-63.71,24,-81.15,38,-90.08,39,-95.39,30,-90.78
132,3555.00,2630.04,3.00,1,31,0.02,LOS,96.95,-2.01,-74.72,-46.94,17.30,-64.24,-95.00,-64.24,34.45,0,23,-92.17,16,-105.33,24,-108.68,32,-113.72,15,-115.37,8,-117.77,32,-85.94,23,-64.39,24,-80.90,38,-90.09,39,-95.35,30,-90.89
133,3555.00,2639.61,3.00,1,31,0.02,LOS,96.91,-2.01,-74.69,-46.91,17.96,-64.87,-95.00,-64.86,34.45,0,23,-92.83,16,-105.28,24,-108.43,32,-113.62,15,-115.46,8,-117.78,32,-85.84,23,-65.05,24,-80.65,38,-90.11,39,-95.30,30,-91.01
134,3555.00,2649.18,3.00,1,31,0.03,LOS,96.88,-1.34,-75.32,-47.53,20.07,-67.61,-95.00,-67.60,34.45,0,23,-95.70,25,-107.83,24,-107.89,8,-109.58,32,-115.81,16,-116.06,32,-88.03,23,-67.91,24,-80.11,38,-97.81,39,-102.27,30,-96.42
135,3555.00,2658.76,3.00,1,31,0.03,LOS,96.85,-1.34,-75.28,-47.50,20.65,-68.16,-95.00,-68.15,34.45,0,23,-96.31,24,-107.63,25,-107.72,8,-109.60,32,-115.70,16,-116.02,32,-87.92,23,-68.52,24,-79.84,38,-97.82,39,-102.23,30,-96.54
136,3555.00,2668.33,3.00,1,31,0.03,LOS,96.82,-1.34,-75.25,-47.47,21.19,-68.67,-95.00,-68.66,34.45,0,23,-96.90,24,-107.36,25,-107.61,8,-109.61,32,-115.59,16,-115.98,32,-87.81,23,-69.12,24,-79.58,38,-97.84,39,-102.19,30,-96.65
137,3555.00,2677.90,3.00,1,31,0.03,LOS,96.79,-5.56,-71.01,-43.23,23.28,-66.52,-95.00,-66.51,34.45,0,23,-94.84,24,-106.99,30,-108.99,8,-109.93,39,-110.01,16,-111.19,32,-101.27,23,-67.06,24,-79.21,38,-92.38,39,-82.23,30,-81.21
138,3555.00,2687.47,3.00,1,31,0.03,LOS,96.76,-5.56,-70.98,-43.20,23.78,-66.99,-95.00,-66.98,34.45,0,23,-95.40,24,-106.71,30,-109.11,8,-109.95,39,-109.97,16,-111.15,32,-101.16,23,-67.61,24,-78.93,38,-92.40,39,-82.19,30,-81.33
139,3555.00,2697.04,3.00,1,31,0.03,LOS,96.73,-5.56,-70.96,-43.18,24.25,-67.43,-95.00,-67.42,34.45,0,23,-95.93,24,-106.43,30,-109.23,39,-109.93,8,-109.97,16,-111.11,32,-101.05,23,-68.15,24,-78.65,38,-92.42,39,-82.15,30,-81.45
140,3555.00,2706.61,3.00,1,31,0.03,LOS,96.71,-2.96,-73.53,-45.75,24.43,-70.20,-95.00,-70.19,34.45,0,23,-98.45,24,-109.47,15,-112.27,25,-114.57,30,-116.00,8,-118.23,32,-92.02,23,-70.66,24,-81.68,38,-93.02,39,-95.96,30,-88.22
141,3555.00,2716.18,3.00,1,31,0.03,LOS,96.69,-2.96,-73.51,-45.73,24.89,-70.63,-95.00,-70.61,34.45,0,23,-98.95,24,-109.18,15,-112.37,25,-114.45,30,-116.12,8,-118.25,32,-91.91,23,-71.17,24,-81.40,38,-93.04,39,-95.93,30,-88.34
142,3555.00,2725.75,3.00,1,31,0.03,LOS,96.67,-2.96,-73.49,-45.71,25.31,-71.04,-95.00,-71.02,34.45,0,23,-99.44,24,-108.88,15,-112.47,25,-114.34,30,-116.24,8,-118.27,32,-91.80,23,-71.66,24,-81.10,38,-93.06,39,-95.89,30,-88.46
143,3555.00,2735.32,3.00,1,31,0.03,LOS,96.65,-7.05,-69.38,-41.60,25.73,-67.34,-95.00,-67.33,34.45,0,23,-95.53,16,-103.51,24,-106.36,30,-115.76,8,-119.06,33,-120.48,32,-93.75,23,-67.75,24,-78.58,38,-97.79,39,-92.96,30,-87.98
144,3555.00,2744.89,3.00,1,31,0.03,LOS,96.63,-7.05,-69.36,-41.58,26.15,-67.74,-95.00,-67.73,34.45,0,23,-95.99,16,-103.49,24,-106.05,30,-115.87,8,-119.08,33,-120.40,32,-93.64,23,-68.21,24,-78.27,38,-97.82,39,-92.92,30,-88.09
145,3555.00,2754.46,3.00,1,31,0.03,LOS,96.61,-7.05,-69.35,-41.57,26.54,-68.11,-95.00,-68.10,34.45,0,23,-96.45,16,-103.47,24,-105.74,30,-115.99,8,-119.10,33,-120.32,32,-93.53,23,-68.67,24,-77.96,38,-97.84,39,-92.89,30,-88.21
146,3555.00,2764.03,3.00,1,31,0.03,LOS,96.60,0.33,-76.71,-48.93,18.93,-67.87,-95.00,-67.86,34.45,0,23,-96.14,32,-107.46,15,-108.43,16,-108.58,24,-111.65,38,-117.35,32,-79.68,23,-68.36,24,-83.87,38,-89.57,39,-92.70,30,-90.66
147,3555.00,2773.60,3.00,1,31,0.03,LOS,96.59,0.33,-76.70,-48.92,19.31,-68.23,-95.00,-68.23,34.45,0,23,-96.57,32,-107.35,15,-108.53,16,-108.56,24,-111.33,38,-117.38,32,-79.57,23,-68.79,24,-83.55,38,-89.59,39,-92.67,30,-90.78
148,3555.00,2783.17,3.00,1,31,0.03,LOS,96.58,0.33,-76.69,-48.91,19.67,-68.58,-95.00,-68.57,34.45,0,23,-96.99,32,-107.24,16,-108.55,15,-108.63,24,-111.00,38,-117.40,32,-79.46,23,-69.21,24,-83.22,38,-89.62,39,-92.63,30,-90.89
149,3555.00,2792.75,3.00,1,31,0.03,LOS,96.57,3.83,-80.18,-52.40,15.49,-67.90,-95.00,-67.89,34.45,0,23,-97.79,24,-100.75,32,-108.58,25,-110.42,30,-112.54,15,-114.98,32,-80.80,23,-70.01,24,-72.97,38,-97.04,39,-97.35,30,-84.76
150,3555.00,2802.32,3.00,1,31,0.03,LOS,96.56,3.83,-80.17,-52.39,15.62,-68.02,-95.00,-68.01,34.45,0,23,-98.19,24,-100.41,32,-108.47,25,-110.29,30,-112.65,15,-115.08,32,-80.69,23,-70.41,24,-72.63,38,-97.07,39,-97.32,30,-84.87
151,3555.00,2811.89,3.00,1,31,0.03,LOS,96.55,3.83,-80.17,-52.38,15.72,-68.11,-95.00,-68.10,34.45,0,23,-98.58,24,-100.06,32,-108.36,25,-110.17,30,-112.77,15,-115.18,32,-80.57,23,-70.80,24,-72.28,38,-97.10,39,-97.28,30,-84.99
152,3555.00,2821.46,3.00,1,31,0.03,LOS,96.55,3.28,-79.61,-51.83,19.05,-70.90,-95.00,-70.88,34.45,0,23,-99.48,24,-107.53,16,-109.47,17,-112.61,15,-114.01,25,-114.53,32,-91.90,23,-71.70,24,-79.74,38,-94.03,39,-87.59,30,-95.20
