Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,6807.00,3609.45,22.50,3,45,0.25,NLOS,110.74,-4.32,-56.42,-3.21,23.58,0,40,-57.08,39,-58.31,44,-69.27,34,-70.55,46,-72.75
1,6807.00,3602.90,22.50,3,45,0.25,NLOS,110.79,-4.32,-56.47,-3.26,23.58,0,40,-57.23,39,-58.13,44,-69.16,34,-70.56,46,-72.85
2,6807.00,3596.35,22.50,3,45,0.25,NLOS,110.84,-4.32,-56.53,-3.32,23.58,0,40,-57.39,39,-57.95,44,-69.05,34,-70.57,46,-72.94
3,6807.00,3589.80,22.50,3,45,0.25,NLOS,110.90,-4.32,-56.59,-3.38,23.58,0,40,-57.55,39,-57.76,44,-68.95,34,-70.58,46,-73.04
4,6807.00,3583.25,22.50,3,40,0.15,NLOS,116.37,-10.81,-55.56,-2.51,23.58,1,45,-58.95,39,-63.45,46,-66.00,34,-70.88,44,-79.61
5,6807.00,3576.71,22.50,3,40,0.15,NLOS,116.53,-10.81,-55.72,-2.66,23.58,0,45,-59.02,39,-63.27,46,-66.10,34,-70.90,44,-79.50
6,6807.00,3570.16,22.50,3,40,0.15,NLOS,116.68,-10.81,-55.87,-2.81,23.58,0,45,-59.08,39,-63.09,46,-66.19,34,-70.91,44,-79.39
7,6807.00,3563.61,22.50,3,40,0.14,NLOS,116.83,-10.81,-56.02,-2.96,23.58,0,45,-59.15,39,-62.91,46,-66.28,34,-70.92,44,-79.28
8,6807.00,3557.06,22.50,3,39,0.27,NLOS,109.55,-18.00,-41.55,17.53,23.58,1,45,-69.37,44,-72.97,34,-76.09,40,-78.68,46,-78.87
9,6807.00,3550.51,22.50,3,39,0.28,NLOS,109.37,-18.00,-41.37,17.71,23.58,0,45,-69.44,44,-72.86,34,-76.10,40,-78.83,46,-78.96
10,6807.00,3543.96,22.50,3,39,0.28,NLOS,109.19,-18.00,-41.19,17.90,23.58,0,45,-69.52,44,-72.75,34,-76.12,40,-78.98,46,-79.05
11,6807.00,3537.41,22.50,3,39,0.28,NLOS,109.01,-18.00,-41.01,18.09,23.58,0,45,-69.60,44,-72.63,34,-76.13,40,-79.13,46,-79.15
12,6807.00,3530.86,22.50,3,39,0.28,NLOS,108.83,-6.32,-52.50,-2.87,23.58,0,45,-59.53,40,-73.29,50,-76.77,44,-77.77,46,-82.66
13,6807.00,3524.31,22.50,3,39,0.29,NLOS,108.65,-6.32,-52.32,-2.69,23.58,0,45,-59.62,40,-73.43,50,-76.75,44,-77.65,46,-82.75
14,6807.00,3517.76,22.50,3,39,0.29,NLOS,108.47,-6.32,-52.15,-2.50,23.58,0,45,-59.71,40,-73.58,50,-76.73,44,-77.54,46,-82.84
15,6807.00,3511.21,22.50,3,39,0.29,NLOS,108.29,-6.32,-51.97,-2.32,23.58,0,45,-59.80,40,-73.72,50,-76.71,44,-77.43,46,-82.93
16,6807.00,3504.67,22.50,3,39,0.29,NLOS,108.12,-2.63,-55.48,-3.00,23.58,0,45,-60.64,44,-64.05,34,-77.61,40,-81.06,46,-81.08
17,6807.00,3498.12,22.50,3,39,0.30,NLOS,107.94,-2.63,-55.31,-2.82,23.58,0,45,-60.74,44,-63.93,34,-77.63,46,-81.17,40,-81.21
18,6807.00,3491.57,22.50,3,39,0.30,NLOS,107.77,-2.63,-55.14,-2.64,23.58,0,45,-60.83,44,-63.82,34,-77.65,46,-81.26,40,-81.35
19,6807.00,3485.02,22.50,3,39,0.30,NLOS,107.60,-2.63,-54.96,-2.46,23.58,0,45,-60.93,44,-63.70,34,-77.67,46,-81.35,40,-81.49
20,6807.00,3478.47,22.50,3,39,0.31,NLOS,107.43,-2.80,-54.63,-2.50,23.58,0,45,-56.84,46,-65.52,40,-70.99,50,-74.08,44,-74.32
21,6807.00,3471.92,22.50,3,39,0.31,NLOS,107.26,-2.80,-54.46,-2.30,23.58,0,45,-56.94,46,-65.60,40,-71.13,50,-74.06,44,-74.20
22,6807.00,3465.37,22.50,3,39,0.31,NLOS,107.10,-2.80,-54.29,-2.09,23.58,0,45,-57.04,46,-65.69,40,-71.27,50,-74.05,44,-74.08
23,6807.00,3458.82,22.50,3,39,0.31,NLOS,106.93,-2.80,-54.13,-1.89,23.58,0,45,-57.15,46,-65.78,40,-71.40,44,-73.97,50,-74.03
