Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue1_x,ue1_y,ue1_height,ue1_direction,ue1_connected_bs,ue1_los_probability,ue1_los_state,ue1_pathloss,ue1_shadow_fading,ue1_rsrp,ue1_prx,ue1_sinr,ue1_speed,ue1_handover,ue1_bs1_idx,ue1_bs1_rsrp,ue1_bs2_idx,ue1_bs2_rsrp,ue1_bs3_idx,ue1_bs3_rsrp,ue1_bs4_idx,ue1_bs4_rsrp,ue1_bs5_idx,ue1_bs5_rsrp,ue1_bs6_idx,ue1_bs6_rsrp,ue2_x,ue2_y,ue2_height,ue2_direction,ue2_connected_bs,ue2_los_probability,ue2_los_state,ue2_pathloss,ue2_shadow_fading,ue2_rsrp,ue2_prx,ue2_sinr,ue2_speed,ue2_handover,ue2_bs1_idx,ue2_bs1_rsrp,ue2_bs2_idx,ue2_bs2_rsrp,ue2_bs3_idx,ue2_bs3_rsrp,ue2_bs4_idx,ue2_bs4_rsrp,ue2_bs5_idx,ue2_bs5_rsrp,ue2_bs6_idx,ue2_bs6_rsrp,ue3_x,ue3_y,ue3_height,ue3_direction,ue3_connected_bs,ue3_los_probability,ue3_los_state,ue3_pathloss,ue3_shadow_fading,ue3_rsrp,ue3_prx,ue3_sinr,ue3_speed,ue3_handover,ue3_bs1_idx,ue3_bs1_rsrp,ue3_bs2_idx,ue3_bs2_rsrp,ue3_bs3_idx,ue3_bs3_rsrp,ue3_bs4_idx,ue3_bs4_rsrp,ue3_bs5_idx,ue3_bs5_rsrp,ue3_bs6_idx,ue3_bs6_rsrp,ue4_x,ue4_y,ue4_height,ue4_direction,ue4_connected_bs,ue4_los_probability,ue4_los_state,ue4_pathloss,ue4_shadow_fading,ue4_rsrp,ue4_prx,ue4_sinr,ue4_speed,ue4_handover,ue4_bs1_idx,ue4_bs1_rsrp,ue4_bs2_idx,ue4_bs2_rsrp,ue4_bs3_idx,ue4_bs3_rsrp,ue4_bs4_idx,ue4_bs4_rsrp,ue4_bs5_idx,ue4_bs5_rsrp,ue4_bs6_idx,ue4_bs6_rsrp
10,3000.00,2926.61,1.50,3,13,0.08,LOS,87.42,-2.71,-64.49,-36.70,38.47,56.75,0,20,-105.72,6,-110.10,26,-113.70,14,-113.79,8,-114.59,7,-114.79,3400.00,4461.74,1.50,1,14,0.02,LOS,108.92,-6.78,-81.92,-54.14,17.85,52.93,0,21,-100.88,22,-103.32,15,-106.75,28,-108.91,35,-111.52,9,-112.10,4200.00,2929.85,1.50,3,26,0.32,NLOS,99.31,1.97,-81.06,-53.28,22.50,55.68,0,21,-108.78,33,-109.02,20,-110.31,27,-113.03,19,-116.38,13,-117.15,7521.32,4100.00,1.50,2,54,0.03,NLOS,126.36,-11.36,-94.79,-67.00,11.24,25.75,0,60,-109.56,53,-111.18,61,-114.94,47,-117.94,42,-118.97,68,-119.94,3082.12,2700.00,1.50,2,20,0.03,NLOS,130.88,-14.87,-95.79,-68.01,10.44,38.58,0,13,-109.71,19,-111.56,21,-117.03,14,-117.81,27,-118.08,6,-121.83
11,3000.00,2910.85,1.50,3,13,0.08,LOS,87.24,-2.71,-64.31,-36.52,38.79,56.75,0,20,-105.97,6,-109.99,26,-113.69,14,-114.10,8,-114.72,7,-114.88,3400.00,4476.45,1.50,1,14,0.02,LOS,109.12,-6.78,-82.11,-54.33,18.16,52.93,0,21,-101.56,22,-102.86,15,-106.69,28,-108.87,35,-111.47,9,-112.04,4200.00,2914.39,1.50,3,26,0.37,NLOS,97.16,1.97,-78.91,-51.13,24.79,55.68,0,21,-108.95,33,-109.14,20,-110.46,27,-113.37,19,-116.20,13,-117.14,7514.16,4100.00,1.50,2,54,0.03,NLOS,126.25,-11.36,-94.67,-66.89,11.41,25.75,0,60,-109.81,53,-111.04,61,-114.99,47,-117.82,42,-118.93,68,-119.99,3071.41,2700.00,1.50,2,20,0.03,NLOS,131.03,-14.87,-95.94,-68.16,10.15,38.58,0,13,-109.23,19,-111.85,21,-117.06,14,-117.76,27,-118.17,6,-121.67
12,3004.92,2900.00,1.50,0,13,0.08,LOS,87.30,-3.44,-63.64,-35.86,41.37,56.75,0,19,-106.79,7,-114.95,27,-115.12,20,-115.97,6,-116.22,8,-117.28,3400.00,4491.15,1.50,1,14,0.02,LOS,109.31,-2.27,-86.82,-59.04,5.63,52.93,0,21,-92.50,35,-108.13,22,-109.21,27,-110.59,15,-115.89,16,-118.81,4198.92,2900.00,1.50,2,26,0.43,NLOS,95.16,-1.16,-73.78,-46.00,34.67,55.68,0,6,-112.38,19,-112.46,13,-114.74,33,-115.15,20,-115.98,40,-116.20,7507.01,4100.00,1.50,2,60,0.04,NLOS,124.86,-4.48,-100.16,-72.38,4.29,25.75,1,59,-109.07,53,-109.38,54,-110.02,47,-112.95,49,-114.66,61,-119.46,3060.69,2700.00,1.50,2,13,0.06,NLOS,118.47,-8.48,-89.77,-61.99,14.25,38.58,1,14,-107.10,19,-107.86,26,-116.60,20,-118.61,7,-121.11,6,-121.25
13,3020.68,2900.00,1.50,0,13,0.08,LOS,87.84,-3.44,-64.17,-36.39,40.67,56.75,0,19,-106.52,27,-114.97,7,-115.18,20,-115.62,6,-116.44,8,-117.39,3400.00,4505.85,1.50,1,14,0.02,LOS,109.50,-2.27,-87.01,-59.23,6.07,52.93,0,21,-93.14,35,-108.09,22,-108.74,27,-110.74,15,-115.85,16,-118.63,4183.45,2900.00,1.50,2,26,0.38,NLOS,97.03,-1.16,-75.65,-47.87,32.71,55.68,0,19,-112.21,6,-112.27,13,-114.56,33,-115.42,20,-115.69,40,-116.33,7499.86,4100.00,1.50,2,60,0.04,NLOS,125.10,-4.48,-100.41,-72.62,3.99,25.75,0,59,-109.14,53,-109.25,54,-109.91,47,-112.83,49,-114.63,61,-119.51,3049.98,2700.00,1.50,2,13,0.06,NLOS,117.97,-8.48,-89.27,-61.49,14.84,38.58,0,14,-107.05,19,-108.14,26,-116.75,20,-118.76,7,-120.98,6,-121.09
14,3036.44,2900.00,1.50,0,13,0.07,LOS,88.35,5.18,-73.31,-45.53,33.20,56.75,0,20,-108.60,19,-112.62,21,-113.01,26,-113.12,14,-119.33,15,-119.34,3400.00,4520.56,1.50,1,14,0.02,LOS,109.69,2.06,-91.54,-63.76,17.81,52.93,0,22,-102.12,23,-112.69,21,-114.29,15,-115.49,27,-116.04,20,-116.05,4167.98,2900.00,1.50,2,26,0.33,NLOS,98.92,4.30,-83.00,-55.22,18.50,55.68,0,27,-103.58,19,-107.17,32,-116.17,21,-116.46,33,-116.61,40,-117.11,7492.70,4100.00,1.50,2,60,0.04,NLOS,125.34,-4.48,-100.64,-72.86,3.70,25.75,0,53,-109.11,59,-109.20,54,-109.80,47,-112.71,49,-114.60,61,-119.57,3039.26,2700.00,1.50,2,13,0.06,NLOS,117.46,-8.48,-88.77,-60.99,15.43,38.58,0,14,-107.00,19,-108.42,26,-116.89,20,-118.92,7,-120.84,6,-120.93
15,3052.21,2900.00,1.50,0,13,0.07,LOS,88.83,5.18,-73.79,-46.01,32.45,56.75,0,20,-108.25,19,-112.35,26,-112.89,21,-112.94,15,-119.37,14,-119.44,3400.00,4535.26,1.50,1,14,0.02,LOS,109.88,2.06,-91.73,-63.95,17.85,52.93,0,22,-101.61,23,-112.51,21,-114.89,15,-115.47,27,-116.19,20,-116.25,4152.52,2900.00,1.50,2,26,0.29,NLOS,100.75,4.30,-84.83,-57.05,16.63,55.68,0,27,-103.62,19,-106.92,21,-116.38,32,-116.40,33,-116.87,40,-117.24,7485.55,4100.00,1.50,2,60,0.04,NLOS,125.57,-4.48,-100.88,-73.10,3.42,25.75,0,53,-108.98,59,-109.27,54,-109.70,47,-112.59,49,-114.58,61,-119.63,3028.54,2700.00,1.50,2,13,0.07,NLOS,116.94,5.59,-102.32,-74.54,1.01,38.58,0,19,-106.12,20,-108.47,21,-113.97,6,-114.27,7,-116.63,26,-119.15
16,3067.97,2900.00,1.50,0,13,0.06,LOS,89.40,3.57,-72.75,-44.97,31.05,56.75,0,19,-107.95,14,-109.31,6,-110.18,21,-113.35,7,-115.60,27,-115.62,3400.00,4549.96,1.50,1,14,0.02,LOS,110.07,-2.65,-87.21,-59.43,12.39,52.93,0,21,-101.10,22,-101.88,15,-105.37,28,-107.33,33,-117.61,35,-118.55,4137.05,2900.00,1.50,2,26,0.25,NLOS,102.49,-6.96,-75.31,-47.53,30.42,55.68,0,33,-111.89,19,-112.89,21,-112.96,20,-113.17,32,-115.69,27,-117.04,7478.40,4100.00,1.50,2,60,0.03,NLOS,125.81,2.33,-107.92,-80.14,-3.96,25.75,0,53,-105.52,54,-112.43,47,-113.76,59,-114.12,48,-115.07,68,-116.46,3017.83,2700.00,1.50,2,13,0.07,NLOS,116.41,5.59,-101.79,-74.01,1.71,38.58,0,19,-106.39,20,-108.63,21,-114.00,6,-114.10,7,-116.49,26,-119.30
17,3083.73,2900.00,1.50,0,13,0.06,LOS,90.21,3.57,-73.56,-45.78,30.24,56.75,0,19,-107.69,14,-109.42,6,-110.38,21,-113.29,27,-115.46,7,-115.82,3400.00,4564.67,1.50,1,14,0.02,LOS,110.26,-2.65,-87.40,-59.62,12.59,52.93,0,22,-101.35,21,-101.66,15,-105.36,28,-107.33,33,-117.69,35,-118.51,4121.58,2900.00,1.50,2,26,0.21,NLOS,104.13,-6.96,-76.95,-49.17,28.75,55.68,0,33,-112.14,19,-112.64,20,-112.86,21,-112.87,32,-115.92,27,-117.09,7471.24,4100.00,1.50,2,60,0.03,NLOS,126.04,2.33,-108.15,-80.37,-4.28,25.75,0,53,-105.39,54,-112.33,47,-113.64,59,-114.19,48,-115.00,68,-116.51,3007.11,2700.00,1.50,2,13,0.07,NLOS,115.87,5.59,-101.24,-73.46,2.42,38.58,0,19,-106.66,20,-108.79,6,-113.94,21,-114.04,7,-116.36,26,-119.44
18,3099.49,2900.00,1.50,0,13,0.05,LOS,90.98,-0.73,-70.03,-42.25,31.39,56.75,0,20,-103.18,19,-106.74,14,-118.62,21,-119.77,15,-122.43,28,-122.45,3400.00,4579.37,1.50,1,14,0.02,LOS,110.45,2.22,-92.46,-64.67,9.92,52.93,0,22,-101.59,21,-104.38,15,-107.26,34,-108.27,28,-113.96,27,-114.95,4106.11,2900.00,1.50,2,26,0.19,NLOS,105.66,-8.16,-77.28,-49.50,27.61,55.68,0,27,-108.32,13,-109.49,33,-112.13,20,-112.22,8,-115.60,21,-115.81,7464.09,4100.00,1.50,2,53,0.04,NLOS,123.38,2.11,-105.27,-77.48,-0.48,25.75,1,60,-108.37,54,-112.23,47,-113.51,59,-114.26,48,-114.93,68,-116.55,3000.00,2696.40,1.50,3,13,0.07,NLOS,115.60,-15.17,-80.22,-52.44,17.06,38.58,0,19,-98.48,20,-104.33,6,-113.24,14,-115.81,21,-122.29,1,-123.90
19,3115.26,2900.00,1.50,0,13,0.05,LOS,91.72,-0.73,-70.77,-42.99,30.33,56.75,0,20,-102.82,19,-106.48,14,-118.74,21,-119.71,28,-122.37,15,-122.47,3400.00,4594.08,1.50,1,14,0.02,LOS,110.64,2.22,-92.64,-64.86,10.06,52.93,0,22,-101.02,21,-104.90,15,-107.27,34,-108.31,28,-113.96,27,-115.09,4090.64,2900.00,1.50,2,26,0.16,NLOS,107.09,-8.16,-78.71,-50.93,26.18,55.68,0,27,-108.38,13,-109.29,20,-111.90,33,-112.38,8,-115.51,21,-115.73,7456.94,4100.00,1.50,2,53,0.04,NLOS,123.25,2.11,-105.14,-77.36,-0.29,25.75,0,60,-108.60,54,-112.13,47,-113.39,59,-114.32,48,-114.87,68,-116.60,3000.00,2685.68,1.50,3,13,0.07,NLOS,115.91,-15.17,-80.53,-52.75,16.66,38.58,0,19,-98.32,20,-104.51,6,-113.19,14,-115.98,21,-122.40,1,-123.94
