Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,5000.00,3050.40,20.00,3,33,0.31,NLOS,99.82,1.67,-51.48,7.24,59.52,0,32,-62.20,39,-67.96,26,-71.54,40,-77.15,27,-82.03
1,5000.00,3000.81,20.00,3,33,0.27,NLOS,103.30,-5.61,-47.69,8.89,59.52,0,32,-57.02,26,-75.32,40,-76.47,39,-77.24,27,-81.14
2,5000.00,2951.21,20.00,3,33,0.24,NLOS,106.19,-3.39,-52.80,10.08,59.52,0,39,-70.10,32,-70.60,26,-70.75,27,-72.07,40,-79.41
3,5000.00,2901.61,20.00,3,33,0.21,NLOS,108.66,-5.45,-53.21,5.95,59.52,0,32,-60.49,39,-73.05,26,-78.85,27,-79.04,40,-86.84
4,5047.98,2900.00,20.00,0,33,0.21,NLOS,108.88,-11.47,-47.41,11.17,59.52,0,32,-61.89,39,-64.87,26,-66.19,40,-72.54,27,-80.17
5,5097.58,2900.00,20.00,0,33,0.21,NLOS,109.31,6.28,-65.59,-4.65,59.52,0,32,-65.73,40,-68.25,39,-73.77,27,-74.34,26,-76.49
6,5147.17,2900.00,20.00,0,33,0.20,NLOS,109.99,0.76,-60.76,-2.43,59.52,0,39,-61.28,32,-65.66,26,-68.08,27,-73.15,40,-84.10
7,5196.77,2900.00,20.00,0,33,0.19,NLOS,110.87,5.46,-66.33,-3.92,59.52,0,39,-66.70,32,-69.11,40,-72.59,26,-77.35,27,-91.16
8,5246.37,2900.00,20.00,0,33,0.18,NLOS,111.88,-4.99,-56.89,4.93,59.52,0,39,-66.79,40,-68.09,32,-72.34,26,-79.41,34,-80.94
9,5295.96,2900.00,20.00,0,39,0.17,NLOS,112.47,6.54,-69.01,-4.47,59.52,1,40,-70.71,32,-73.25,26,-74.55,33,-78.33,46,-80.77
10,5345.56,2900.00,20.00,0,33,0.15,NLOS,114.10,-6.06,-58.04,1.42,59.52,1,32,-63.20,40,-63.60,39,-69.47,46,-78.80,26,-82.89
11,5395.16,2900.00,20.00,0,39,0.22,NLOS,108.40,0.82,-59.21,3.95,59.52,1,33,-71.84,40,-72.01,32,-73.43,26,-82.07,46,-83.19
12,5355.25,2900.00,20.00,2,39,0.20,NLOS,110.15,-11.39,-48.76,10.16,59.52,0,32,-62.17,26,-66.56,40,-66.62,46,-71.42,33,-74.99
13,5305.65,2900.00,20.00,2,39,0.18,NLOS,112.11,-1.91,-60.20,1.62,59.52,0,33,-66.07,26,-67.03,32,-71.79,40,-76.31,46,-85.27
14,5256.05,2900.00,20.00,2,39,0.16,NLOS,113.88,-1.11,-62.76,-4.74,59.52,0,33,-61.88,32,-63.27,34,-67.56,26,-72.88,40,-80.28
15,5206.46,2900.00,20.00,2,39,0.14,NLOS,115.47,-5.71,-59.77,2.59,59.52,0,33,-65.50,32,-67.66,40,-76.08,26,-82.32,27,-87.71
16,5200.00,2900.00,20.00,0,39,0.13,NLOS,115.67,-5.71,-59.96,2.31,0.00,0,33,-65.37,32,-67.58,40,-76.14,26,-82.20,27,-87.64
17,5200.00,2900.00,20.00,0,39,0.13,NLOS,115.67,-5.71,-59.96,2.31,0.00,0,33,-65.37,32,-67.58,40,-76.14,26,-82.20,27,-87.64
18,5200.00,2900.00,20.00,0,39,0.13,NLOS,115.67,-5.71,-59.96,2.31,0.00,0,33,-65.37,32,-67.58,40,-76.14,26,-82.20,27,-87.64
19,5200.00,2900.00,20.00,0,39,0.13,NLOS,115.67,-5.71,-59.96,2.31,0.00,0,33,-65.37,32,-67.58,40,-76.14,26,-82.20,27,-87.64
20,5200.00,2900.00,20.00,0,39,0.13,NLOS,115.67,-5.71,-59.96,2.31,0.00,0,33,-65.37,32,-67.58,40,-76.14,26,-82.20,27,-87.64
21,5200.00,2900.00,20.00,0,39,0.13,NLOS,115.67,-5.71,-59.96,2.31,0.00,0,33,-65.37,32,-67.58,40,-76.14,26,-82.20,27,-87.64
22,5200.00,2900.00,20.00,0,39,0.13,NLOS,115.67,-5.71,-59.96,2.31,0.00,0,33,-65.37,32,-67.58,40,-76.14,26,-82.20,27,-87.64
