Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,5068.34,4600.00,2,2,-105.87,-6.40,37.99,0,3.00,-108.86,,,,,,
1,5036.68,4600.00,2,2,-108.75,-8.75,37.99,0,3.00,-119.52,,,,,,
2,5005.02,4600.00,2,2,-112.44,-12.44,37.99,0,3.00,-129.77,,,,,,
3,4973.36,4600.00,2,2,-110.96,-10.96,37.99,0,3.00,-119.38,,,,,,
4,4941.70,4600.00,2,2,-104.17,-4.17,37.99,0,3.00,-119.78,,,,,,
5,4910.04,4600.00,2,2,-103.56,-4.08,37.99,0,3.00,-108.95,,,,,,
6,4921.62,4600.00,0,2,-123.68,-23.68,37.99,0,3.00,-117.82,,,,,,
7,4953.28,4600.00,0,2,-111.99,-11.99,37.99,0,3.00,-120.52,,,,,,
8,4984.94,4600.00,0,2,-107.99,-7.99,37.99,0,3.00,-117.00,,,,,,
9,5016.60,4600.00,0,2,-110.74,-10.74,37.99,0,3.00,-114.62,,,,,,
10,5048.26,4600.00,0,2,-112.08,-12.08,37.99,0,3.00,-120.95,,,,,,
11,5079.92,4600.00,0,2,-123.36,-23.36,37.99,0,3.00,-136.36,,,,,,
12,5100.00,4588.42,3,2,-121.83,-21.83,37.99,0,3.00,-130.57,,,,,,
13,5100.00,4556.77,3,3,-117.42,-18.07,37.99,1,2.00,-128.16,,,,,,
14,5100.00,4525.11,3,3,-105.39,-5.39,37.99,0,2.00,-122.30,,,,,,
15,5100.00,4493.45,3,3,-118.42,-18.42,37.99,0,2.00,-118.16,,,,,,
16,5100.00,4461.79,3,2,-95.75,2.60,37.99,1,3.00,-131.63,,,,,,
17,5100.00,4430.13,3,2,-104.68,-7.41,37.99,0,3.00,-121.18,,,,,,
18,5100.00,4400.00,0,2,-104.61,-6.86,0.00,0,,,,,,,,
19,5100.00,4400.00,0,2,-104.61,-6.86,0.00,0,,,,,,,,
20,5100.00,4400.00,0,2,-104.61,-6.86,0.00,0,,,,,,,,
21,5100.00,4400.00,0,2,-104.61,-6.86,0.00,0,,,,,,,,
22,5100.00,4400.00,0,2,-104.61,-6.86,0.00,0,,,,,,,,
