Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,2186.93,4400.00,2,10,-105.31,-5.31,47.07,0,11,-111.59,18,-112.69,3,-135.33,9,-135.46,17,-135.73
1,2173.85,4400.00,2,10,-106.13,-6.13,47.07,0,18,-112.26,11,-114.97,17,-128.71,3,-130.70,9,-132.91
2,2160.78,4400.00,2,10,-106.30,-7.43,47.07,0,18,-105.25,11,-110.10,3,-116.98,17,-120.45,9,-132.67
3,2147.70,4400.00,2,11,-109.50,-9.50,47.07,1,18,-111.12,10,-115.01,3,-117.68,17,-123.99,2,-147.56
4,2134.63,4400.00,2,18,-110.75,-10.75,47.07,1,11,-113.84,3,-117.09,10,-120.12,17,-122.29,2,-136.08
5,2121.55,4400.00,2,18,-113.84,-13.84,47.07,0,10,-111.30,11,-122.65,3,-122.65,17,-126.89,2,-135.38
6,2108.48,4400.00,2,18,-111.99,-11.99,47.07,0,10,-110.10,3,-118.44,17,-124.58,11,-124.58,2,-124.64
7,2095.40,4400.00,2,10,-110.05,-10.05,47.07,1,18,-118.58,3,-118.74,17,-125.33,2,-126.11,11,-129.07
8,2082.33,4400.00,2,10,-107.49,-7.49,47.07,0,18,-113.10,3,-119.79,2,-125.34,11,-125.50,17,-132.60
9,2069.25,4400.00,2,10,-112.87,-12.87,47.07,0,3,-116.65,18,-120.86,17,-128.03,11,-128.36,2,-129.92
10,2056.18,4400.00,2,10,-107.02,-7.02,47.07,0,3,-117.83,17,-124.06,11,-128.61,2,-129.60,18,-130.33
11,2043.10,4400.00,2,10,-111.93,-11.93,47.07,0,3,-116.74,11,-124.00,2,-125.43,17,-128.84,18,-130.17
12,2030.03,4400.00,2,10,-107.29,-7.29,47.07,0,11,-126.71,3,-129.24,18,-129.45,2,-130.51,17,-132.40
13,2016.95,4400.00,2,10,-107.78,-7.78,47.07,0,11,-117.37,18,-126.39,2,-131.53,3,-131.97,17,-138.16
14,2003.88,4400.00,2,10,-109.27,-9.27,47.07,0,11,-116.40,2,-128.55,17,-131.14,18,-131.93,3,-132.87
15,1990.80,4400.00,2,10,-110.15,-10.15,47.07,0,11,-115.83,3,-119.26,2,-129.36,17,-131.65,18,-131.82
16,1977.73,4400.00,2,11,-106.54,-6.54,47.07,1,10,-112.17,3,-120.35,17,-121.19,18,-129.46,2,-134.77
17,1964.65,4400.00,2,11,-109.19,-9.80,47.07,0,10,-108.19,3,-123.13,17,-124.61,2,-133.15,18,-134.74
