Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
18,1951.58,4400.00,2,10,-103.88,-4.38,47.07,1,11,-109.07,3,-119.49,17,-127.16,2,-132.64,18,-137.32
19,1938.50,4400.00,2,10,-105.93,-6.37,47.07,0,11,-109.73,17,-117.78,3,-118.37,2,-123.80,18,-135.98
20,1925.43,4400.00,2,10,-102.91,-2.91,47.07,0,11,-114.17,17,-117.63,3,-117.79,18,-130.98,2,-131.02
21,1912.35,4400.00,2,10,-115.09,-15.09,47.07,0,17,-118.91,3,-118.95,11,-122.98,2,-123.19,18,-130.33
22,1900.00,4399.28,3,10,-107.02,-8.34,47.07,0,3,-110.13,11,-116.37,17,-122.13,2,-135.42,18,-136.27
23,1900.00,4386.20,3,10,-90.27,8.19,47.07,0,3,-103.72,11,-120.23,2,-135.30,17,-136.83,18,-142.75
24,1900.00,4373.13,3,10,-95.65,4.35,47.07,0,3,-113.39,11,-119.45,2,-126.04,18,-138.77,17,-141.32
25,1900.00,4360.05,3,10,-97.04,2.96,47.07,0,3,-111.34,2,-129.29,11,-131.26,18,-141.11,17,-148.48
26,1900.00,4346.98,3,10,-95.54,4.46,47.07,0,3,-114.26,11,-115.21,2,-125.88,18,-141.38,17,-147.53
27,1900.00,4333.90,3,10,-90.34,9.16,47.07,0,11,-109.19,3,-119.27,2,-135.62,17,-141.69,18,-144.43
28,1900.00,4320.83,3,10,-91.42,8.58,47.07,0,11,-111.18,3,-126.25,2,-129.68,17,-142.98,18,-147.24
29,1900.00,4307.75,3,10,-84.46,15.54,47.07,0,11,-111.75,3,-131.42,2,-136.42,18,-139.56,17,-142.44
30,1900.00,4294.68,3,10,-85.94,14.06,47.07,0,11,-124.23,18,-131.84,9,-132.57,2,-133.16,3,-138.86
31,1900.00,4281.61,3,10,-87.15,12.85,47.07,0,11,-119.51,2,-126.35,18,-129.58,3,-134.45,9,-134.93
32,1900.00,4268.53,3,10,-85.11,14.89,47.07,0,2,-116.27,11,-125.49,18,-126.27,3,-132.33,9,-134.44
33,1900.00,4255.46,3,10,-95.74,4.26,47.07,0,2,-117.25,18,-126.57,9,-129.66,11,-130.10,3,-131.94
34,1900.00,4242.38,3,10,-80.74,19.26,47.07,0,2,-116.00,9,-124.91,18,-129.74,11,-132.08,3,-137.59
35,1900.00,4229.31,3,10,-88.54,11.46,47.07,0,2,-112.10,11,-124.37,18,-127.59,9,-129.72,3,-140.92
36,1900.00,4216.23,3,10,-95.95,4.05,47.07,0,11,-118.47,2,-120.17,9,-126.57,18,-128.49,3,-140.10
37,1900.00,4203.16,3,10,-93.35,6.65,47.07,0,11,-114.55,2,-124.26,9,-128.02,18,-134.40,3,-138.99
38,1900.00,4190.08,3,10,-97.86,2.14,47.07,0,11,-111.68,9,-128.43,2,-128.52,18,-129.72,3,-139.71
39,1900.00,4177.01,3,10,-88.78,11.22,47.07,0,11,-115.93,9,-122.36,18,-128.13,2,-128.67,3,-141.31
40,1900.00,4163.93,3,10,-84.06,15.94,47.07,0,11,-114.01,2,-117.92,9,-118.94,18,-132.31,3,-134.75
41,1900.00,4150.86,3,10,-79.45,20.55,47.07,0,11,-114.01,2,-115.98,9,-122.16,3,-134.74,18,-141.36
42,1900.00,4137.78,3,10,-83.52,16.00,47.07,0,2,-119.48,9,-122.67,11,-123.77,3,-130.48,18,-143.94
43,1900.00,4124.71,3,10,-85.12,14.88,47.07,0,17,-113.82,9,-118.23,3,-123.81,11,-125.04,2,-125.17
44,1900.00,4111.63,3,10,-84.71,15.29,47.07,0,3,-116.89,17,-120.61,11,-126.00,9,-126.41,2,-130.69
45,1900.00,4101.44,1,10,-80.37,19.63,47.07,0,3,-120.72,17,-121.20,9,-126.53,2,-126.59,11,-137.41
46,1900.00,4114.52,1,10,-81.96,18.04,47.07,0,9,-113.77,3,-117.93,2,-132.29,17,-134.39,11,-141.98
47,1900.00,4127.59,1,10,-86.30,12.60,47.07,0,9,-105.43,3,-123.50,2,-125.93,11,-134.55,17,-137.79
48,1900.00,4140.67,1,10,-91.15,8.27,47.07,0,9,-108.48,3,-123.24,2,-124.18,11,-133.76,18,-146.16
49,1900.00,4153.74,1,10,-96.82,3.18,47.07,0,9,-116.50,2,-119.48,3,-123.25,11,-138.84,18,-141.28
50,1900.00,4166.82,1,10,-89.77,10.23,47.07,0,9,-114.75,3,-120.85,2,-122.47,11,-141.45,18,-144.91
51,1900.00,4179.89,1,10,-83.61,15.73,47.07,0,9,-107.85,2,-118.07,3,-124.19,11,-135.66,18,-144.60
52,1900.00,4192.97,1,10,-89.07,10.93,47.07,0,3,-113.97,9,-114.00,2,-127.27,11,-131.53,18,-141.32
53,1900.00,4206.04,1,10,-97.04,2.96,47.07,0,9,-116.84,3,-119.80,11,-130.70,2,-134.71,18,-144.13
54,1900.00,4219.12,1,10,-104.08,-4.08,47.07,0,3,-119.65,9,-121.57,2,-126.58,11,-134.07,18,-139.81
55,1900.00,4232.19,1,10,-103.36,-3.36,47.07,0,3,-121.41,2,-123.87,11,-126.74,9,-128.57,18,-142.53
56,1900.00,4245.27,1,10,-100.35,-0.35,47.07,0,3,-118.39,2,-122.72,11,-124.42,9,-129.04,18,-136.56
57,1900.00,4258.34,1,10,-102.43,-2.43,47.07,0,3,-114.24,11,-124.64,2,-125.93,9,-129.66,18,-137.35
58,1900.00,4271.42,1,10,-105.76,-5.76,47.07,0,3,-112.41,2,-122.15,11,-124.86,9,-125.84,18,-134.38
59,1900.00,4284.49,1,10,-102.31,-3.19,47.07,0,3,-114.47,2,-118.52,18,-128.18,11,-129.57,9,-132.00
60,1900.00,4297.57,1,10,-99.66,0.34,47.07,0,3,-118.72,18,-127.27,2,-127.73,11,-133.06,9,-134.69
61,1900.00,4310.64,1,10,-97.34,2.66,47.07,0,17,-119.00,18,-126.55,2,-127.98,3,-129.28,11,-130.31
62,1900.00,4323.72,1,10,-101.74,-1.74,47.07,0,17,-116.32,2,-118.94,11,-123.45,18,-123.60,3,-130.69
63,1900.00,4336.79,1,10,-101.97,-1.97,47.07,0,17,-111.22,11,-119.51,3,-123.04,18,-125.95,2,-126.34
64,1900.00,4349.86,1,10,-109.37,-9.37,47.07,0,17,-113.36,11,-115.84,3,-124.57,2,-125.55,18,-126.57
65,1900.00,4362.94,1,10,-108.56,-8.56,47.07,0,17,-115.02,11,-115.09,2,-118.02,3,-121.47,18,-129.97
66,1900.00,4376.01,1,11,-99.18,-0.47,47.07,1,10,-104.63,3,-116.35,17,-121.88,2,-122.22,18,-132.81
67,1900.00,4389.09,1,10,-100.44,-1.31,47.07,1,11,-106.54,3,-112.70,2,-127.93,18,-132.39,17,-134.62
68,1900.00,4402.16,1,10,-104.40,-5.36,47.07,0,11,-106.06,3,-118.53,2,-123.24,17,-127.20,18,-133.67
69,1900.00,4415.24,1,11,-103.98,-4.51,47.07,1,10,-108.82,3,-116.22,17,-123.15,2,-124.49,18,-139.95
70,1900.00,4428.31,1,11,-96.48,2.72,47.07,0,3,-106.93,10,-111.26,17,-118.03,2,-124.14,18,-142.49
71,1900.00,4441.39,1,11,-99.67,-0.90,47.07,0,3,-107.79,10,-107.87,17,-121.77,2,-127.90,18,-137.35
72,1900.00,4454.46,1,11,-104.63,-4.63,47.07,0,3,-111.57,10,-115.78,17,-124.62,2,-130.18,18,-142.61
73,1900.00,4467.54,1,11,-104.62,-6.21,47.07,0,3,-103.55,10,-119.97,17,-123.55,2,-125.67,18,-140.13
74,1900.00,4480.61,1,3,-104.36,-4.36,47.07,1,11,-111.77,10,-118.51,2,-132.44,18,-140.62,4,-148.60
75,1900.00,4493.69,1,3,-102.37,-2.37,47.07,0,10,-114.62,11,-119.37,2,-121.73,18,-142.74,4,-149.31
76,1900.00,4506.76,1,3,-104.51,-4.51,47.07,0,11,-111.10,10,-123.58,2,-132.10,18,-145.32,4,-150.50
77,1900.00,4519.84,1,3,-109.88,-10.46,47.07,0,11,-108.44,10,-129.75,2,-133.15,18,-142.16,4,-149.33
78,1900.00,4532.91,1,11,-102.62,-3.35,47.07,1,3,-107.35,10,-124.04,2,-132.25,18,-138.86,4,-150.79
79,1900.00,4545.99,1,11,-105.01,-5.83,47.07,0,3,-106.79,10,-120.68,2,-140.85,18,-142.08,4,-148.94
80,1900.00,4559.06,1,11,-97.75,2.25,47.07,0,3,-119.20,10,-124.34,2,-133.81,18,-142.17,4,-151.61
81,1900.00,4572.14,1,11,-96.43,3.57,47.07,0,3,-118.02,10,-126.55,2,-131.62,4,-136.67,18,-142.62
82,1900.00,4585.21,1,11,-100.27,-0.72,47.07,0,3,-109.61,4,-129.99,2,-130.66,10,-134.64,18,-148.45
83,1900.00,4598.29,1,11,-101.32,-1.32,47.07,0,3,-114.88,4,-130.47,2,-134.36,10,-135.61,18,-144.10
84,1900.00,4611.36,1,11,-98.06,1.94,47.07,0,3,-123.32,10,-126.35,4,-133.31,18,-136.81,2,-137.16
85,1900.00,4624.44,1,11,-95.74,4.26,47.07,0,18,-120.49,3,-125.90,4,-127.48,10,-130.50,2,-143.83
86,1900.00,4637.51,1,11,-102.44,-2.44,47.07,0,18,-121.73,4,-122.13,3,-129.72,10,-130.28,2,-138.33
87,1900.00,4650.59,1,11,-107.71,-7.71,47.07,0,4,-114.78,3,-123.07,18,-127.29,10,-136.97,2,-142.97
88,1900.00,4663.66,1,11,-108.09,-8.09,47.07,0,4,-111.48,18,-119.70,19,-123.96,3,-131.29,10,-133.41
89,1900.00,4676.74,1,11,-115.52,-15.52,47.07,0,18,-118.30,19,-121.46,4,-122.32,10,-123.40,3,-125.45
90,1900.00,4689.81,1,11,-104.70,-4.70,47.07,0,4,-121.29,19,-124.88,3,-126.09,10,-126.41,18,-126.59
91,1900.00,4700.00,2,19,-134.34,-36.07,0.00,1,11,-122.14,3,-122.34,10,-123.17,18,-130.76,4,-137.49
92,1900.00,4700.00,2,11,-109.81,-11.23,0.00,1,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
93,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
94,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
95,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
96,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
97,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
98,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
99,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
100,1900.00,4700.00,2,11,-109.81,-11.23,0.00,0,10,-111.80,18,-120.99,3,-121.33,4,-130.99,19,-134.34
101,1893.46,4700.00,2,10,-107.33,-8.13,23.53,1,3,-114.57,11,-116.75,18,-123.73,4,-130.93,19,-135.98
102,1880.39,4700.00,2,11,-100.96,-0.96,47.07,1,10,-110.21,3,-119.26,4,-120.59,19,-132.39,18,-135.68
103,1867.31,4700.00,2,11,-107.28,-7.92,47.07,0,10,-108.01,4,-120.20,3,-124.54,19,-128.19,18,-141.48
104,1854.24,4700.00,2,10,-107.41,-7.41,47.07,1,11,-113.15,3,-124.96,4,-126.93,19,-143.02,18,-146.56
105,1841.16,4700.00,2,10,-108.41,-8.41,47.07,0,11,-115.95,2,-118.56,3,-118.72,4,-130.37,18,-145.38
106,1828.09,4700.00,2,10,-108.62,-9.67,47.07,0,2,-105.64,3,-110.02,11,-122.69,4,-130.15,18,-144.29
107,1815.01,4700.00,2,3,-110.37,-10.37,47.07,1,2,-113.18,10,-115.98,11,-123.73,4,-125.09,18,-137.29
108,1801.94,4700.00,2,3,-109.66,-10.41,47.07,0,2,-107.26,10,-122.76,11,-122.86,4,-126.56,18,-149.86
109,1788.86,4700.00,2,3,-114.09,-14.09,47.07,0,2,-112.98,4,-115.03,11,-123.39,10,-126.64,18,-135.93
110,1775.79,4700.00,2,3,-105.98,-5.98,47.07,0,4,-111.63,2,-114.93,10,-120.35,11,-120.75,18,-133.05
111,1762.71,4700.00,2,2,-104.37,-5.05,47.07,1,3,-107.69,4,-111.56,10,-123.24,11,-129.83,18,-140.98
112,1749.64,4700.00,2,3,-102.20,-2.89,47.07,1,2,-107.61,4,-111.77,10,-126.59,18,-138.33,11,-141.74
113,1736.56,4700.00,2,3,-103.51,-4.04,47.07,0,4,-108.87,2,-111.76,10,-116.32,18,-133.43,11,-137.39
114,1723.49,4700.00,2,3,-101.38,-1.84,47.07,0,4,-113.25,10,-118.64,2,-120.88,18,-132.50,11,-137.67
115,1710.41,4700.00,2,3,-114.56,-14.56,47.07,0,4,-112.30,2,-119.86,10,-121.76,11,-131.72,18,-137.08
116,1697.34,4700.00,2,3,-109.74,-9.74,47.07,0,4,-110.52,2,-113.88,10,-114.11,11,-124.85,18,-137.21
117,1684.27,4700.00,2,4,-102.42,-2.42,47.07,1,10,-110.71,3,-115.69,2,-119.54,11,-125.13,18,-132.80
118,1671.19,4700.00,2,10,-106.44,-6.44,47.07,1,4,-110.69,3,-115.32,2,-118.69,11,-121.48,18,-137.67
119,1658.12,4700.00,2,10,-110.46,-10.46,47.07,0,4,-111.05,3,-114.54,2,-123.28,11,-124.15,18,-133.81
120,1645.04,4700.00,2,3,-106.04,-6.04,47.07,1,10,-115.12,4,-116.84,2,-123.89,11,-127.00,18,-136.43
121,1631.97,4700.00,2,3,-112.75,-12.75,47.07,0,10,-110.03,2,-113.14,4,-113.85,11,-134.09,18,-134.22
122,1618.89,4700.00,2,2,-111.49,-11.49,47.07,1,10,-113.23,3,-117.11,4,-119.65,11,-127.15,18,-135.15
123,1605.82,4700.00,2,3,-104.32,-5.70,47.07,1,10,-106.41,2,-108.41,4,-122.38,18,-131.81,11,-132.48
124,1600.00,4707.26,1,10,-140.44,-40.44,47.07,1,3,-117.70,18,-127.03,4,-136.21,2,-142.72,11,-143.25
125,1600.00,4720.33,1,3,-120.79,-20.79,47.07,1,4,-128.96,18,-130.33,2,-132.08,10,-135.62,11,-140.66
126,1600.00,4733.41,1,3,-121.71,-21.71,47.07,0,11,-124.74,4,-125.28,2,-128.39,18,-129.06,10,-135.64
127,1600.00,4746.48,1,11,-115.52,-15.52,47.07,1,4,-126.40,18,-127.10,3,-129.26,10,-135.41,2,-140.45
128,1600.00,4759.56,1,11,-112.68,-12.68,47.07,0,4,-120.26,3,-124.12,10,-126.68,2,-130.68,18,-136.99
129,1600.00,4772.63,1,11,-105.89,-5.89,47.07,0,12,-121.10,3,-124.07,4,-127.00,10,-129.49,2,-138.19
130,1600.00,4785.71,1,11,-105.23,-5.23,47.07,0,12,-114.71,3,-126.32,4,-126.74,10,-127.61,2,-138.54
131,1600.00,4798.78,1,11,-101.41,-1.41,47.07,0,12,-114.29,10,-121.79,4,-123.19,3,-124.89,2,-136.17
132,1600.00,4811.86,1,11,-101.04,-1.93,47.07,0,12,-106.42,4,-116.64,3,-119.88,10,-123.62,2,-137.18
133,1600.00,4824.93,1,11,-106.50,-7.01,47.07,0,12,-109.01,4,-115.29,3,-122.15,10,-128.32,2,-139.18
134,1600.00,4838.01,1,12,-109.51,-9.51,47.07,1,11,-113.25,10,-115.92,4,-122.07,18,-124.46,3,-129.08
135,1600.00,4851.08,1,12,-111.59,-11.59,47.07,0,10,-115.23,11,-116.65,4,-117.66,18,-121.25,3,-125.63
136,1600.00,4864.16,1,12,-113.85,-13.85,47.07,0,4,-111.65,10,-113.61,11,-119.92,3,-126.11,18,-127.99
137,1600.00,4877.23,1,4,-105.74,-5.74,47.07,1,12,-111.97,3,-117.43,18,-122.13,10,-122.97,11,-124.71
138,1600.00,4890.31,1,4,-98.90,1.10,47.07,0,12,-112.61,11,-118.47,3,-119.48,10,-123.28,18,-130.39
139,1600.00,4903.38,1,4,-98.41,1.59,47.07,0,12,-112.89,11,-115.00,10,-120.77,3,-126.90,18,-130.77
140,1600.00,4916.46,1,4,-96.88,2.63,47.07,0,12,-109.15,11,-115.78,3,-115.87,10,-122.82,18,-132.13
141,1600.00,4929.53,1,4,-102.02,-2.02,47.07,0,11,-114.48,3,-118.56,12,-124.80,10,-127.61,18,-128.88
142,1600.00,4942.61,1,4,-98.70,1.30,47.07,0,3,-113.26,11,-118.31,10,-124.81,12,-128.00,18,-140.51
143,1600.00,4955.68,1,4,-108.95,-8.95,47.07,0,3,-111.09,10,-117.36,11,-120.82,18,-129.49,12,-134.96
144,1600.00,4968.76,1,4,-111.72,-11.72,47.07,0,3,-114.31,11,-126.95,10,-128.95,18,-132.50,12,-135.19
145,1600.00,4981.83,1,4,-116.38,-16.38,47.07,0,3,-113.40,11,-114.70,18,-129.85,12,-135.76,10,-142.88
146,1600.00,4994.91,1,4,-113.19,-13.19,47.07,0,11,-117.14,3,-121.91,18,-129.61,12,-131.64,10,-137.85
147,1592.02,5000.00,2,11,-98.88,1.12,47.07,1,3,-109.97,18,-125.70,4,-127.78,10,-135.31,12,-136.13
148,1578.94,5000.00,2,11,-100.35,-0.81,47.07,0,3,-109.58,4,-114.80,10,-126.03,12,-129.07,18,-136.09
149,1565.87,5000.00,2,11,-97.40,2.17,47.07,0,3,-109.79,4,-125.69,10,-126.71,12,-133.54,18,-139.78
150,1552.80,5000.00,2,11,-108.02,-8.02,47.07,0,3,-113.65,4,-118.73,10,-121.32,18,-130.04,12,-133.88
151,1539.72,5000.00,2,11,-100.52,-0.52,47.07,0,3,-110.61,10,-116.07,4,-116.71,12,-125.64,18,-134.28
152,1526.65,5000.00,2,11,-101.58,-1.58,47.07,0,12,-111.14,3,-113.65,10,-116.03,4,-119.69,18,-140.66
153,1513.57,5000.00,2,11,-101.52,-1.52,47.07,0,12,-111.84,3,-117.08,4,-123.11,10,-127.65,18,-131.70
154,1500.50,5000.00,2,11,-106.54,-6.54,47.07,0,4,-111.17,3,-113.58,12,-113.81,18,-132.12,10,-134.10
155,1487.42,5000.00,2,11,-106.86,-6.86,47.07,0,4,-110.88,3,-114.16,12,-119.96,10,-130.82,2,-134.41
156,1474.35,5000.00,2,11,-96.72,2.68,47.07,0,4,-108.36,3,-112.09,12,-126.43,2,-130.19,10,-131.60
157,1461.27,5000.00,2,11,-102.94,-2.94,47.07,0,4,-114.93,3,-117.54,12,-121.26,10,-134.64,2,-143.24
158,1448.20,5000.00,2,11,-102.33,-2.33,47.07,0,3,-110.43,4,-112.33,12,-128.44,10,-135.23,2,-137.87
159,1435.12,5000.00,2,11,-107.10,-7.10,47.07,0,4,-120.04,3,-120.50,2,-130.47,12,-130.85,10,-146.28
160,1422.05,5000.00,2,11,-104.21,-4.21,47.07,0,3,-113.63,4,-115.21,2,-128.21,12,-132.70,10,-146.88
161,1408.97,5000.00,2,11,-107.65,-7.65,47.07,0,2,-116.30,3,-116.81,4,-119.02,12,-133.21,10,-149.85
162,1395.90,5000.00,2,11,-109.15,-9.15,47.07,0,2,-112.93,3,-117.06,4,-123.72,12,-137.71,10,-146.51
163,1382.82,5000.00,2,11,-108.38,-8.38,47.07,0,2,-110.92,3,-117.10,4,-120.14,12,-135.56,10,-145.73
164,1369.75,5000.00,2,11,-115.75,-15.75,47.07,0,3,-115.08,2,-121.17,4,-124.19,10,-138.12,12,-142.22
165,1356.67,5000.00,2,11,-113.90,-13.90,47.07,0,4,-122.64,3,-124.45,2,-126.29,10,-132.75,12,-134.07
166,1343.60,5000.00,2,11,-114.03,-14.03,47.07,0,3,-117.30,4,-121.86,10,-123.63,2,-124.32,12,-130.90
167,1330.52,5000.00,2,11,-108.32,-8.32,47.07,0,3,-127.16,12,-130.34,4,-130.77,2,-131.98,10,-133.58
168,1317.45,5000.00,2,11,-111.63,-11.63,47.07,0,3,-120.46,4,-125.74,2,-126.79,12,-132.39,10,-134.03
169,1304.37,5000.00,2,11,-115.55,-15.55,47.07,0,3,-114.16,4,-126.59,10,-127.97,12,-131.52,2,-137.76
170,1300.00,5000.00,3,3,-110.75,-11.36,0.00,1,11,-121.30,4,-131.18,12,-139.39,10,-140.05,2,-146.65
171,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
172,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
173,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
174,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
175,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
176,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
177,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
178,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
179,1300.00,5000.00,3,3,-110.75,-11.36,0.00,0,4,-108.24,11,-118.86,2,-124.84,12,-135.77,10,-151.86
180,1300.00,4993.46,3,4,-106.25,-6.25,23.53,1,3,-112.16,2,-120.85,11,-122.74,12,-141.93,10,-148.02
181,1300.00,4980.39,3,3,-110.99,-10.99,47.07,1,2,-114.56,4,-115.10,11,-130.60,12,-138.74,10,-154.34
182,1300.00,4967.31,3,2,-109.82,-9.82,47.07,1,4,-115.32,3,-117.99,11,-126.34,12,-139.66,10,-154.21
183,1300.00,4954.24,3,2,-112.98,-12.98,47.07,0,3,-115.88,4,-117.94,11,-130.37,12,-148.45,10,-157.21
184,1300.00,4941.16,3,2,-109.93,-9.93,47.07,0,4,-122.56,3,-122.71,11,-137.82,12,-141.67,10,-150.75
185,1300.00,4928.09,3,2,-112.53,-12.53,47.07,0,4,-123.58,3,-125.15,11,-133.40,12,-146.54,10,-146.55
186,1300.00,4915.01,3,4,-116.03,-16.03,47.07,1,2,-120.64,3,-123.62,11,-130.04,12,-139.85,10,-154.69
187,1300.00,4901.94,3,4,-105.48,-5.48,47.07,0,3,-115.01,11,-123.98,2,-127.38,12,-144.56,10,-156.60
188,1300.00,4888.86,3,4,-103.99,-4.50,47.07,0,3,-109.12,11,-117.45,2,-133.97,12,-149.02,10,-150.52
189,1300.00,4875.79,3,3,-103.50,-3.50,47.07,1,11,-113.49,4,-114.45,2,-130.82,12,-152.00,10,-152.26
190,1300.00,4862.71,3,3,-103.86,-3.86,47.07,0,11,-112.87,4,-117.47,2,-126.16,12,-144.17,10,-158.63
191,1300.00,4849.64,3,3,-101.67,-3.64,47.07,0,11,-102.42,4,-110.53,2,-125.45,12,-149.15,10,-158.47
192,1300.00,4836.56,3,3,-103.10,-4.08,47.07,0,11,-105.98,4,-111.78,2,-129.71,12,-146.84,10,-148.67
193,1300.00,4823.49,3,3,-104.34,-5.55,47.07,0,11,-104.97,4,-117.07,2,-128.82,10,-147.96,12,-149.58
194,1300.00,4810.41,3,3,-106.02,-6.02,47.07,0,11,-115.97,4,-127.60,2,-128.86,10,-136.82,12,-147.11
195,1300.00,4797.34,3,3,-103.32,-3.32,47.07,0,4,-116.59,11,-119.39,10,-129.85,2,-133.69,12,-140.18
196,1300.00,4784.27,3,3,-103.94,-4.44,47.07,0,4,-109.08,11,-121.86,10,-125.16,2,-133.24,12,-136.78
197,1300.00,4771.19,3,3,-101.93,-2.60,47.07,0,4,-107.74,11,-117.34,10,-118.62,2,-132.78,12,-133.45
198,1300.00,4758.12,3,3,-94.36,3.89,47.07,0,4,-104.75,11,-107.96,10,-128.37,12,-136.33,2,-144.82
199,1300.00,4745.04,3,4,-97.66,0.27,47.07,1,3,-102.13,11,-112.07,10,-132.77,2,-137.94,12,-141.18
200,1300.00,4731.97,3,4,-100.85,-4.93,47.07,0,3,-98.07,11,-113.30,2,-133.19,10,-137.15,12,-141.67
201,1300.00,4718.89,3,4,-102.35,-5.63,47.07,0,3,-99.47,11,-122.17,10,-137.50,2,-137.93,12,-142.34
202,1300.00,4705.82,3,3,-93.50,6.50,47.07,1,4,-110.43,11,-119.96,12,-132.94,10,-134.09,2,-146.69
203,1292.74,4700.00,2,3,-90.00,10.00,47.07,0,11,-115.07,4,-123.84,2,-123.94,10,-141.11,12,-141.88
