Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,5468.34,5600.00,2,6,-107.63,-7.63,37.99,0,4.00,-110.61,,,,,,
1,5436.68,5600.00,2,6,-94.48,3.85,37.99,0,4.00,-103.31,,,,,,
2,5405.02,5600.00,2,6,-93.63,6.37,37.99,0,4.00,-114.08,,,,,,
3,5373.36,5600.00,2,6,-101.27,-1.27,37.99,0,4.00,-112.48,,,,,,
4,5341.70,5600.00,2,4,-95.90,4.10,37.99,1,6.00,-116.02,,,,,,
5,5310.04,5600.00,2,4,-91.20,8.80,37.99,0,6.00,-120.50,,,,,,
6,5300.00,5578.38,3,6,-111.87,-11.87,37.99,1,4.00,-124.28,,,,,,
7,5300.00,5546.72,3,6,-117.32,-19.72,37.99,0,4.00,-122.03,,,,,,
8,5300.00,5515.06,3,3,-103.91,-3.91,37.99,1,4.00,-123.91,6.00,-129.41,,,,
9,5300.00,5483.40,3,3,-112.96,-12.96,37.99,0,4.00,-120.16,6.00,-125.43,,,,
10,5300.00,5451.74,3,6,-118.19,-18.19,37.99,1,4.00,-124.43,3.00,-126.30,,,,
11,5300.00,5420.08,3,6,-114.36,-14.36,37.99,0,3.00,-129.36,4.00,-133.56,,,,
12,5300.00,5388.42,3,6,-112.09,-12.09,37.99,0,4.00,-120.80,3.00,-134.26,,,,
13,5300.00,5356.77,3,6,-109.80,-9.80,37.99,0,4.00,-119.81,3.00,-131.45,,,,
14,5300.00,5325.11,3,6,-114.59,-14.59,37.99,0,3.00,-134.36,,,,,,
15,5300.00,5293.45,3,3,-118.93,-18.93,37.99,1,6.00,-123.31,,,,,,
16,5300.00,5261.79,3,3,-110.08,-10.08,37.99,0,6.00,-128.79,,,,,,
17,5300.00,5230.13,3,3,-103.21,-3.21,37.99,0,6.00,-132.59,,,,,,
18,5298.47,5200.00,2,3,-104.19,-4.19,37.99,0,6.00,-103.60,,,,,,
19,5266.81,5200.00,2,3,-99.85,-0.52,37.99,0,6.00,-135.45,,,,,,
20,5235.15,5200.00,2,3,-116.70,-16.70,37.99,0,6.00,-130.02,,,,,,
21,5203.49,5200.00,2,3,-102.13,-2.13,37.99,0,6.00,-116.61,,,,,,
22,5171.83,5200.00,2,3,-106.52,-8.03,37.99,0,,,,,,,,
23,5140.17,5200.00,2,3,-105.16,-5.60,37.99,0,,,,,,,,
24,5108.51,5200.00,2,3,-114.39,-14.84,37.99,0,,,,,,,,
25,5100.00,5200.00,1,3,-89.19,10.03,0.00,0,,,,,,,,
26,5100.00,5200.00,1,3,-89.19,10.03,0.00,0,,,,,,,,
27,5100.00,5200.00,1,3,-89.19,10.03,0.00,0,,,,,,,,
