Step,x,y,direction,connected_bs,current_prx,sinr,speed,handover
0,2800.00,3866.08,3,14,-93.95,-28.58,40.71,0
1,2800.00,3832.15,3,14,-85.49,-31.21,40.71,0
2,2800.00,3798.23,3,14,-87.99,-27.77,40.71,0
3,2800.00,3764.31,3,14,-68.95,-11.12,40.71,0
4,2800.00,3730.39,3,14,-77.29,-11.81,40.71,0
5,2803.54,3700.00,0,72,-74.26,-21.51,40.71,1
6,2837.46,3700.00,0,14,-63.61,2.22,40.71,1
7,2871.38,3700.00,0,14,-84.22,-20.26,40.71,0
8,2905.31,3700.00,0,14,-96.73,-14.93,40.71,0
9,2939.23,3700.00,0,72,-62.78,7.85,40.71,1
10,2973.15,3700.00,0,72,-68.11,-1.61,40.71,0
11,2992.92,3700.00,2,72,-71.63,-4.66,40.71,0
12,2959.00,3700.00,2,72,-68.98,-6.75,40.71,0
13,2925.08,3700.00,2,72,-63.68,2.10,40.71,0
14,2891.16,3700.00,2,14,-84.33,-15.97,40.71,1
15,2857.23,3700.00,2,14,-74.35,-18.64,40.71,0
16,2823.31,3700.00,2,72,-69.70,-7.30,40.71,1
17,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
18,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
19,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
20,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
21,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
22,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
23,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
24,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
25,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
26,2800.00,3700.00,0,72,-67.10,-1.22,0.00,0
27,2816.96,3700.00,0,14,-78.05,-15.99,20.35,1
28,2850.88,3700.00,0,14,-80.32,-8.97,40.71,0
29,2884.81,3700.00,0,14,-68.85,-1.68,40.71,0
30,2918.73,3700.00,0,14,-76.48,-8.76,40.71,0
31,2952.65,3700.00,0,72,-77.41,-29.33,40.71,1
32,2986.58,3700.00,0,72,-87.61,-32.05,40.71,0
33,3000.00,3720.50,1,72,-66.45,-9.49,40.71,0
34,3000.00,3754.42,1,72,-58.31,8.94,40.71,0
35,3000.00,3788.35,1,72,-64.92,3.82,40.71,0
36,3000.00,3822.27,1,72,-66.25,-3.17,40.71,0
37,3000.00,3856.19,1,72,-55.70,0.96,40.71,0
38,3000.00,3890.11,1,72,-56.21,3.46,40.71,0
39,3000.00,3875.96,3,72,-73.26,-11.87,40.71,0
40,3000.00,3842.04,3,72,-71.66,1.12,40.71,0
41,3000.00,3808.12,3,72,-54.37,12.31,40.71,0
42,3000.00,3774.19,3,72,-54.41,19.91,40.71,0
43,3000.00,3740.27,3,72,-46.42,22.19,40.71,0
44,3000.00,3706.35,3,72,-72.39,-1.83,40.71,0
45,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
46,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
47,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
48,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
49,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
50,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
51,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
52,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
53,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
54,3000.00,3700.00,1,72,-92.05,-38.52,0.00,0
55,3000.00,3716.96,1,72,-95.39,-32.30,20.35,0
56,3000.00,3750.88,1,72,-76.87,-9.39,40.71,0
57,3000.00,3784.81,1,72,-82.05,-20.99,40.71,0
58,3000.00,3818.73,1,72,-92.74,-46.89,40.71,0
59,3000.00,3852.65,1,72,-84.07,-15.94,40.71,0
60,3000.00,3886.58,1,72,-75.89,-13.50,40.71,0
61,3000.00,3879.50,3,72,-99.19,-32.00,40.71,0
62,3000.00,3845.58,3,72,-84.46,-17.59,40.71,0
63,3000.00,3811.65,3,72,-99.19,-33.55,40.71,0
64,3000.00,3777.73,3,72,-79.76,-14.70,40.71,0
65,3000.00,3743.81,3,72,-80.73,-18.51,40.71,0
66,3000.00,3709.89,3,72,-66.80,-9.24,40.71,0
67,3024.04,3700.00,0,72,-80.40,-19.74,40.71,0
68,3057.96,3700.00,0,72,-94.85,-30.15,40.71,0
69,3091.88,3700.00,0,14,-97.07,-30.27,40.71,1
70,3125.81,3700.00,0,72,-92.27,-33.13,40.71,1
71,3159.73,3700.00,0,72,-59.55,9.86,40.71,0
72,3193.65,3700.00,0,72,-65.59,-15.65,40.71,0
73,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
74,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
75,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
76,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
77,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
78,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
79,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
80,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
81,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
82,3200.00,3700.00,1,72,-77.05,-16.59,0.00,0
83,3200.00,3716.96,1,72,-89.56,-29.79,20.35,0
84,3200.00,3750.88,1,72,-91.77,-29.05,40.71,0
85,3200.00,3784.81,1,72,-72.83,-12.33,40.71,0
86,3200.00,3818.73,1,72,-78.41,-28.20,40.71,0
87,3200.00,3852.65,1,72,-98.78,-28.74,40.71,0
88,3200.00,3886.58,1,72,-86.59,-23.87,40.71,0
89,3179.50,3900.00,2,72,-78.68,-11.46,40.71,0
90,3145.58,3900.00,2,72,-85.93,-17.21,40.71,0
91,3111.65,3900.00,2,72,-88.70,-23.30,40.71,0
92,3077.73,3900.00,2,72,-97.32,-35.71,40.71,0
93,3043.81,3900.00,2,72,-96.44,-37.86,40.71,0
94,3009.89,3900.00,2,72,-85.22,-27.48,40.71,0
95,3024.04,3900.00,0,72,-70.05,3.84,40.71,0
96,3057.96,3900.00,0,72,-70.26,-2.15,40.71,0
97,3091.88,3900.00,0,72,-75.66,-19.89,40.71,0
98,3125.81,3900.00,0,72,-81.30,-20.81,40.71,0
99,3159.73,3900.00,0,72,-86.98,-13.36,40.71,0
100,3193.65,3900.00,0,72,-97.60,-31.98,40.71,0
