Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,4866.43,5750.00,2,4,-104.15,-4.15,40.28,0,,,,,,,,
1,4832.86,5750.00,2,4,-96.58,3.42,40.28,0,,,,,,,,
2,4799.29,5750.00,2,4,-99.86,0.14,40.28,0,,,,,,,,
3,4765.72,5750.00,2,4,-107.53,-7.53,40.28,0,,,,,,,,
4,4732.15,5750.00,2,4,-102.89,-2.89,40.28,0,1.00,-114.45,,,,,,
5,4700.00,5748.58,3,4,-109.68,-10.34,40.28,0,1.00,-119.22,,,,,,
6,4700.00,5715.02,3,4,-108.98,-8.98,40.28,0,1.00,-117.78,,,,,,
7,4700.00,5681.45,3,4,-113.22,-13.22,40.28,0,1.00,-116.19,,,,,,
8,4697.88,5650.00,2,4,-104.74,-5.64,40.28,0,1.00,-121.08,,,,,,
9,4664.31,5650.00,2,4,-108.58,-8.58,40.28,0,1.00,-112.63,,,,,,
10,4630.74,5650.00,2,1,-111.84,-11.84,40.28,1,4.00,-115.96,,,,,,
11,4597.17,5650.00,2,1,-101.33,-1.33,40.28,0,4.00,-113.80,,,,,,
12,4563.60,5650.00,2,1,-104.69,-4.69,40.28,0,4.00,-127.89,,,,,,
13,4530.03,5650.00,2,1,-94.71,5.29,40.28,0,4.00,-120.36,,,,,,
14,4500.00,5650.00,0,4,-123.96,-29.35,0.00,1,1.00,-103.02,,,,,,
15,4500.00,5650.00,0,1,-96.10,3.90,0.00,1,4.00,-123.96,,,,,,
16,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
17,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
18,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
19,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
20,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
21,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
22,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
23,4500.00,5650.00,0,1,-96.10,3.90,0.00,0,4.00,-123.96,,,,,,
24,4516.78,5650.00,0,1,-98.71,1.29,20.14,0,4.00,-126.02,,,,,,
25,4550.35,5650.00,0,4,-105.31,-5.31,40.28,1,1.00,-111.26,,,,,,
26,4583.92,5650.00,0,1,-106.39,-6.39,40.28,1,4.00,-119.39,,,,,,
27,4617.49,5650.00,0,1,-99.46,0.54,40.28,0,4.00,-116.24,,,,,,
28,4651.06,5650.00,0,1,-90.58,9.42,40.28,0,4.00,-117.34,,,,,,
29,4684.63,5650.00,0,4,-101.56,-1.56,40.28,1,1.00,-115.32,,,,,,
30,4700.00,5631.80,3,4,-106.49,-7.06,40.28,0,1.00,-116.21,,,,,,
