Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,3200.00,7375.67,3,21,-119.75,-20.52,29.19,0,29.00,-126.84,,,,,,
1,3200.00,7351.35,3,21,-117.64,-18.07,29.19,0,29.00,-132.61,,,,,,
2,3200.00,7327.02,3,29,-129.23,-29.23,29.19,1,21.00,-135.70,,,,,,
3,3200.00,7302.69,3,29,-120.91,-20.91,29.19,0,21.00,-125.25,,,,,,
4,3200.00,7278.36,3,29,-120.75,-20.75,29.19,0,21.00,-143.27,,,,,,
5,3200.00,7254.04,3,29,-105.15,-6.01,29.19,0,21.00,-134.47,,,,,,
6,3200.00,7229.71,3,29,-114.04,-14.04,29.19,0,28.00,-115.80,21.00,-144.37,,,,
7,3200.00,7205.38,3,29,-116.04,-16.04,29.19,0,21.00,-118.46,28.00,-123.62,,,,
8,3200.00,7218.94,1,28,-100.58,-1.68,29.19,1,21.00,-118.98,29.00,-126.36,,,,
9,3200.00,7243.27,1,28,-101.84,-2.73,29.19,0,29.00,-106.45,21.00,-112.92,,,,
10,3200.00,7267.60,1,29,-106.89,-6.89,29.19,1,21.00,-111.35,28.00,-117.86,,,,
11,3200.00,7291.93,1,29,-108.98,-9.75,29.19,0,21.00,-107.11,,,,,,
12,3200.00,7316.25,1,21,-99.61,-1.48,29.19,1,29.00,-113.19,,,,,,
13,3200.00,7340.58,1,29,-109.60,-11.23,29.19,1,21.00,-122.35,,,,,,
14,3200.00,7364.91,1,29,-97.67,-0.84,29.19,0,21.00,-132.37,,,,,,
15,3200.00,7389.23,1,29,-105.75,-5.75,29.19,0,21.00,-139.53,,,,,,
16,3200.00,7386.44,3,29,-133.32,-33.32,29.19,0,21.00,-108.00,,,,,,
17,3200.00,7362.11,3,21,-106.94,-6.94,29.19,1,29.00,-132.73,,,,,,
18,3200.00,7337.79,3,21,-107.29,-7.84,29.19,0,29.00,-114.46,,,,,,
19,3200.00,7313.46,3,21,-100.05,-1.08,29.19,0,29.00,-126.11,,,,,,
20,3200.00,7289.13,3,21,-109.22,-9.22,29.19,0,29.00,-128.91,,,,,,
21,3200.00,7264.80,3,29,-120.99,-20.99,29.19,1,21.00,-129.61,,,,,,
22,3200.00,7240.48,3,29,-120.64,-20.64,29.19,0,28.00,-131.65,21.00,-131.79,,,,
23,3200.00,7216.15,3,21,-110.87,-10.87,29.19,1,29.00,-118.25,28.00,-118.33,,,,
24,3200.00,7191.82,3,21,-101.59,-2.14,29.19,0,28.00,-108.73,29.00,-118.84,,,,
25,3200.00,7167.50,3,21,-108.32,-9.29,29.19,0,28.00,-105.99,29.00,-128.48,,,,
26,3200.00,7143.17,3,21,-105.27,-5.27,29.19,0,28.00,-110.06,29.00,-136.55,,,,
