Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,5000.00,4547.28,1,3,-116.79,-16.79,56.74,0,2,-127.09,,,,,,
1,5000.00,4594.56,1,3,-116.67,-16.67,56.74,0,2,-123.57,,,,,,
2,5000.00,4641.85,1,2,-110.33,-10.33,56.74,1,3,-119.20,,,,,,
3,5000.00,4689.13,1,3,-118.26,-18.26,56.74,1,2,-124.43,,,,,,
4,5000.00,4663.59,3,3,-101.12,-2.24,56.74,0,2,-138.16,,,,,,
5,5000.00,4616.31,3,3,-108.48,-8.48,56.74,0,2,-113.95,,,,,,
6,5000.00,4569.02,3,3,-120.45,-20.45,56.74,0,2,-122.34,,,,,,
7,5000.00,4521.74,3,3,-112.10,-12.99,56.74,0,2,-120.59,,,,,,
8,5025.54,4500.00,0,3,-111.33,-11.93,56.74,0,2,-118.34,,,,,,
9,5072.82,4500.00,0,3,-97.47,2.53,56.74,0,2,-122.71,,,,,,
10,5120.11,4500.00,0,3,-95.99,4.01,56.74,0,2,-127.83,,,,,,
11,5167.39,4500.00,0,2,-106.55,-7.37,56.74,1,5,-106.81,3.00,-115.50,,,,
12,5214.67,4500.00,0,3,-115.52,-15.52,56.74,1,2,-120.42,5.00,-125.96,,,,
13,5261.95,4500.00,0,2,-103.08,-3.08,56.74,1,3,-124.46,5.00,-129.49,,,,
14,5309.24,4500.00,0,2,-107.59,-8.47,56.74,0,5,-126.59,3.00,-128.98,,,,
15,5356.52,4500.00,0,5,-120.06,-20.06,56.74,1,2,-123.48,,,,,,
16,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-127.44,,,,,,
17,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
18,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
19,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
20,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
21,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
22,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
23,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
24,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
25,5400.00,4500.00,1,5,-110.73,-10.73,0.00,0,2,-111.82,,,,,,
26,5400.00,4523.64,1,5,-105.52,-5.52,28.37,0,2,-115.44,,,,,,
27,5400.00,4570.92,1,5,-106.30,-6.80,56.74,0,3,-118.99,2.00,-119.89,,,,
