Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,3357.98,7000.00,2,28,-110.62,-10.62,50.43,0,,,,,,,,
1,3315.95,7000.00,2,28,-118.22,-20.07,50.43,0,21.00,-129.29,,,,,,
2,3273.93,7000.00,2,21,-125.16,-25.16,50.43,1,28.00,-128.95,,,,,,
3,3231.90,7000.00,2,21,-111.37,-11.37,50.43,0,28.00,-110.57,,,,,,
4,3200.00,6989.88,3,28,-116.88,-16.88,50.43,1,21.00,-138.77,,,,,,
5,3200.00,6947.85,3,28,-123.15,-23.15,50.43,0,21.00,-142.97,,,,,,
6,3200.00,6905.83,3,28,-122.81,-22.81,50.43,0,21.00,-128.28,,,,,,
7,3200.00,6863.81,3,28,-100.97,-2.02,50.43,0,21.00,-116.20,,,,,,
8,3200.00,6821.78,3,28,-101.03,-1.03,50.43,0,21.00,-113.02,,,,,,
9,3220.24,6800.00,0,21,-112.53,-14.94,50.43,1,28.00,-120.42,,,,,,
10,3262.27,6800.00,0,28,-100.91,-0.91,50.43,1,21.00,-121.28,,,,,,
11,3304.29,6800.00,0,28,-84.52,15.48,50.43,0,,,,,,,,
12,3346.32,6800.00,0,28,-83.86,16.14,50.43,0,,,,,,,,
13,3388.34,6800.00,0,28,-97.60,2.40,50.43,0,,,,,,,,
14,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
15,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
16,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
17,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
18,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
19,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
20,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
21,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
22,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
23,3400.00,6800.00,3,28,-89.23,10.77,0.00,0,,,,,,,,
24,3400.00,6778.99,3,28,-82.88,16.70,25.21,0,,,,,,,,
25,3400.00,6736.96,3,28,-83.10,16.90,50.43,0,,,,,,,,
26,3400.00,6694.94,3,28,-82.94,17.06,50.43,0,,,,,,,,
27,3400.00,6652.91,3,28,-91.60,8.40,50.43,0,,,,,,,,
28,3400.00,6610.89,3,28,-105.27,-5.27,50.43,0,,,,,,,,
29,3400.00,6631.13,1,28,-76.91,23.09,50.43,0,,,,,,,,
30,3400.00,6673.16,1,28,-84.31,15.69,50.43,0,,,,,,,,
31,3400.00,6715.18,1,28,-70.19,28.34,50.43,0,,,,,,,,
32,3400.00,6757.21,1,28,-59.29,40.11,50.43,0,,,,,,,,
33,3400.00,6799.23,1,28,-86.20,13.80,50.43,0,,,,,,,,
34,3441.26,6800.00,0,28,-92.07,7.93,50.43,0,,,,,,,,
35,3483.28,6800.00,0,28,-92.59,7.41,50.43,0,,,,,,,,
36,3525.30,6800.00,0,28,-88.21,11.79,50.43,0,,,,,,,,
37,3567.33,6800.00,0,28,-93.20,6.80,50.43,0,,,,,,,,
38,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
39,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
40,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
41,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
42,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
43,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
44,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
45,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
46,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
47,3600.00,6800.00,1,28,-79.16,20.36,0.00,0,,,,,,,,
48,3600.00,6821.01,1,28,-68.18,31.82,25.21,0,,,,,,,,
49,3600.00,6863.04,1,28,-87.65,11.85,50.43,0,,,,,,,,
50,3600.00,6905.06,1,28,-87.53,10.90,50.43,0,,,,,,,,
51,3600.00,6947.09,1,28,-93.10,1.14,50.43,0,,,,,,,,
