Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,4803.06,3672.00,45.00,0,18,0.89,LOS,92.39,-2.33,-40.06,0.17,50.47,0,19,-46.26,20,-48.17,24,-48.54,23,-55.84,14,-64.40
1,4845.12,3672.00,45.00,0,18,0.89,LOS,92.03,-2.65,-39.38,0.09,50.47,0,19,-42.04,23,-46.91,24,-52.84,20,-57.66,14,-77.67
2,4887.18,3672.00,45.00,0,18,0.90,LOS,91.73,-9.62,-32.11,8.16,50.47,0,19,-43.09,23,-48.75,24,-56.03,20,-58.17,14,-73.23
3,4929.24,3672.00,45.00,0,18,0.90,LOS,91.52,5.36,-46.88,-5.46,50.47,0,23,-45.93,19,-46.51,20,-55.28,24,-59.99,14,-67.68
4,4950.70,3672.00,45.00,2,18,0.90,LOS,91.44,5.36,-46.81,-5.51,50.47,0,23,-45.68,19,-46.45,20,-55.27,24,-59.87,14,-68.14
5,4908.63,3672.00,45.00,2,18,0.90,LOS,91.61,-0.00,-41.61,-3.36,50.47,0,19,-39.96,24,-47.78,20,-52.83,23,-53.99,15,-67.20
6,4866.57,3672.00,45.00,2,18,0.90,LOS,91.87,1.66,-43.53,-5.83,50.47,0,19,-41.20,24,-44.97,23,-45.00,20,-54.55,14,-62.55
7,4824.51,3672.00,45.00,2,18,0.89,LOS,92.20,0.63,-42.83,-2.99,50.47,0,19,-44.13,20,-48.10,23,-48.70,24,-50.65,14,-66.58
8,4782.45,3672.00,45.00,2,18,0.89,LOS,92.59,-2.76,-39.83,-1.41,50.47,0,19,-40.15,23,-47.68,24,-55.47,14,-71.22,15,-79.32
9,4740.39,3672.00,45.00,2,19,0.87,LOS,93.96,-0.53,-43.43,-1.82,50.47,1,18,-46.49,23,-50.53,14,-64.97,10,-75.43,15,-77.56
