Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,6050.30,4700.00,2,15,-104.81,-4.81,59.64,0,20.00,-115.33,,,,,,
1,6000.59,4700.00,2,15,-98.44,1.56,59.64,0,20.00,-131.33,,,,,,
2,5950.89,4700.00,2,15,-88.36,11.64,59.64,0,,,,,,,,
3,5901.19,4700.00,2,15,-83.06,16.94,59.64,0,,,,,,,,
4,5948.51,4700.00,0,15,-120.60,-20.60,59.64,0,,,,,,,,
5,5998.22,4700.00,0,15,-110.52,-10.52,59.64,0,20.00,-120.51,,,,,,
6,6047.92,4700.00,0,20,-104.54,-5.24,59.64,1,15.00,-107.62,,,,,,
7,6097.62,4700.00,0,20,-109.69,-10.74,59.64,0,15.00,-123.52,,,,,,
8,6147.32,4700.00,0,15,-118.72,-18.72,59.64,1,20.00,-122.77,,,,,,
9,6197.03,4700.00,0,15,-106.75,-8.18,59.64,0,20.00,-114.47,,,,,,
10,6246.73,4700.00,0,20,-104.97,-7.01,59.64,1,15.00,-111.79,,,,,,
11,6296.43,4700.00,0,20,-105.06,-5.75,59.64,0,15.00,-107.60,,,,,,
12,6300.00,4746.14,1,20,-109.47,-10.46,59.64,0,15.00,-121.49,,,,,,
13,6300.00,4795.84,1,20,-105.93,-5.93,59.64,0,15.00,-114.42,,,,,,
14,6300.00,4845.54,1,20,-101.28,-2.26,59.64,0,,,,,,,,
15,6300.00,4895.24,1,20,-96.32,-0.38,59.64,0,,,,,,,,
16,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
17,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
18,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
19,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
20,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
21,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
22,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
23,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
24,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
25,6300.00,4900.00,0,20,-88.43,11.57,0.00,0,,,,,,,,
26,6324.85,4900.00,0,20,-103.06,-3.06,29.82,0,,,,,,,,
27,6374.55,4900.00,0,20,-103.79,-4.43,59.64,0,,,,,,,,
28,6424.26,4900.00,0,20,-93.01,1.72,59.64,0,,,,,,,,
29,6473.96,4900.00,0,20,-82.25,17.75,59.64,0,,,,,,,,
30,6476.34,4900.00,2,20,-75.22,24.78,59.64,0,,,,,,,,
31,6426.64,4900.00,2,20,-71.87,27.45,59.64,0,,,,,,,,
32,6376.93,4900.00,2,20,-96.95,3.05,59.64,0,,,,,,,,
