Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,5055.00,2950.29,23.00,3,39,0.86,LOS,89.21,-0.31,-38.89,0.42,38.55,0,38,-44.93,46,-46.20,40,-48.55,47,-48.80,31,-73.65
1,5055.00,2939.58,23.00,3,39,0.86,LOS,89.51,-0.31,-39.20,0.08,38.55,0,38,-44.74,46,-46.17,47,-48.87,45,-54.37,31,-73.63
2,5055.00,2928.87,23.00,3,39,0.85,LOS,89.81,-0.31,-39.50,-0.25,38.55,0,38,-44.55,46,-46.15,47,-48.94,45,-54.30,31,-73.60
3,5055.00,2918.16,23.00,3,39,0.85,LOS,90.10,0.90,-41.00,-1.45,38.55,0,38,-46.99,47,-47.51,46,-47.84,45,-48.65,31,-71.31
4,5055.00,2907.45,23.00,3,39,0.85,LOS,90.38,0.90,-41.28,-1.75,38.55,0,38,-46.79,47,-47.58,46,-47.82,45,-48.58,31,-71.29
5,5055.00,2896.74,23.00,3,39,0.84,LOS,90.66,0.90,-41.55,-2.05,38.55,0,38,-46.59,47,-47.66,46,-47.81,45,-48.51,31,-71.28
6,5055.00,2886.03,23.00,3,39,0.84,LOS,90.92,-2.54,-38.38,-3.66,38.55,0,46,-38.36,47,-41.08,38,-42.30,45,-53.63,31,-82.90
7,5055.00,2875.32,23.00,3,39,0.83,LOS,91.18,-2.54,-38.64,-3.94,38.55,0,46,-38.35,47,-41.15,38,-42.09,45,-53.56,31,-82.88
8,5055.00,2864.62,23.00,3,39,0.83,LOS,91.43,-2.54,-38.90,-4.21,38.55,0,46,-38.34,47,-41.22,38,-41.88,45,-53.49,31,-82.87
9,5055.00,2853.91,23.00,3,39,0.82,LOS,91.68,0.67,-42.35,-4.84,38.55,0,38,-42.94,46,-43.07,47,-44.19,45,-52.35,32,-77.19
10,5055.00,2843.20,23.00,3,39,0.82,LOS,91.92,0.67,-42.59,-5.13,38.55,0,38,-42.72,46,-43.07,47,-44.27,45,-52.27,32,-77.30
11,5055.00,2832.49,23.00,3,39,0.82,LOS,92.15,0.67,-42.82,-5.41,38.55,0,38,-42.49,46,-43.07,47,-44.34,45,-52.20,31,-83.17
12,5055.00,2821.78,23.00,3,39,0.81,LOS,92.38,-6.61,-35.77,3.89,38.55,0,38,-43.19,45,-46.00,47,-52.43,46,-52.89,31,-75.68
13,5055.00,2811.07,23.00,3,39,0.81,LOS,92.61,-6.61,-35.99,3.55,38.55,0,38,-42.95,45,-45.93,47,-52.50,46,-52.89,31,-75.69
14,5055.00,2800.36,23.00,3,39,0.80,LOS,92.82,-6.61,-36.21,3.21,38.55,0,38,-42.70,45,-45.86,47,-52.57,46,-52.90,31,-75.69
15,5055.00,2789.65,23.00,3,39,0.80,LOS,93.04,-2.25,-40.78,-1.61,38.55,0,46,-43.16,38,-46.55,45,-47.67,47,-53.29,31,-68.76
16,5055.00,2778.94,23.00,3,39,0.79,LOS,93.25,-2.25,-40.99,-1.87,38.55,0,46,-43.17,38,-46.29,45,-47.60,47,-53.36,31,-68.78
17,5055.00,2768.23,23.00,3,39,0.79,LOS,93.45,-2.25,-41.20,-2.12,38.55,0,46,-43.19,38,-46.02,45,-47.53,47,-53.43,31,-68.79
18,5055.00,2757.52,23.00,3,38,0.85,LOS,90.25,1.00,-41.25,-0.62,38.55,1,39,-44.50,46,-49.51,45,-50.46,47,-51.66,31,-70.38
19,5055.00,2746.81,23.00,3,38,0.85,LOS,89.97,1.00,-40.97,-0.25,38.55,0,39,-44.70,46,-49.53,45,-50.38,47,-51.73,31,-70.40
