Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
29,5800.00,2405.59,69.00,1,46,0.93,LOS,92.06,-5.33,-66.51,-38.73,1.09,72.67,0,53,-68.93,38,-74.87,47,-81.23,30,-82.09,61,-84.48,45,-84.97
30,5800.00,2425.78,69.00,1,53,0.88,LOS,96.64,-8.09,-68.33,-40.55,3.47,72.67,1,38,-73.26,46,-73.54,47,-78.94,30,-80.88,68,-81.58,61,-81.59
31,5800.00,2445.97,69.00,1,53,0.88,LOS,96.65,-8.09,-68.34,-40.56,3.12,72.67,0,46,-73.06,38,-73.27,47,-78.79,30,-80.92,61,-81.56,68,-81.58
32,5800.00,2466.15,69.00,1,53,0.88,LOS,96.67,-1.91,-74.54,-46.76,-3.90,72.67,0,46,-72.89,61,-78.04,38,-78.46,45,-79.65,47,-80.81,30,-81.15
33,5800.00,2486.34,69.00,1,53,0.87,LOS,96.70,-1.91,-74.57,-46.79,-4.20,72.67,0,46,-72.37,61,-78.01,38,-78.49,45,-80.21,47,-80.65,30,-81.18
34,5800.00,2506.53,69.00,1,46,0.96,LOS,89.57,-0.93,-68.43,-40.65,7.39,72.67,1,38,-81.25,47,-81.66,53,-82.69,39,-83.55,48,-85.47,69,-85.60
35,5800.00,2526.71,69.00,1,46,0.96,LOS,88.99,-0.93,-67.85,-40.06,7.97,72.67,0,38,-81.29,47,-81.50,53,-82.73,39,-83.43,48,-85.38,69,-85.57
36,5800.00,2546.90,69.00,1,46,0.97,LOS,88.38,-4.14,-64.02,-36.24,7.77,72.67,0,39,-75.16,53,-78.63,47,-79.15,38,-80.29,30,-83.50,31,-84.06
37,5800.00,2567.09,69.00,1,46,0.97,LOS,87.72,-4.14,-63.36,-35.58,8.36,72.67,0,39,-75.04,53,-78.69,47,-78.98,38,-80.33,30,-83.54,31,-84.04
38,5800.00,2587.27,69.00,1,46,0.97,LOS,87.02,1.13,-67.93,-40.15,3.71,72.67,0,53,-76.05,38,-76.60,47,-79.56,39,-80.20,61,-80.93,24,-83.49
39,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
40,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
41,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
42,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
43,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
44,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
45,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
46,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
47,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
48,5800.00,2600.00,69.00,3,46,0.98,LOS,86.55,1.13,-67.47,-39.68,4.18,0.00,0,53,-76.10,38,-76.63,47,-79.45,39,-80.12,61,-80.92,24,-83.47
