Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,6721.83,3716.50,55.00,0,47,0.91,LOS,92.88,-5.13,-37.75,-1.81,26.19,0,46,-41.01,53,-43.43,54,-49.31,40,-51.53,52,-52.97
1,6743.65,3716.50,55.00,0,47,0.90,LOS,93.09,-5.13,-37.96,-2.04,26.19,0,46,-41.20,53,-43.03,54,-49.20,40,-51.74,52,-52.87
2,6765.48,3716.50,55.00,0,47,0.90,LOS,93.31,-2.32,-40.99,-2.83,26.19,0,53,-44.56,40,-47.65,46,-49.28,52,-50.54,60,-50.66
3,6787.30,3716.50,55.00,0,47,0.90,LOS,93.54,-2.32,-41.22,-3.15,26.19,0,53,-44.13,40,-47.85,46,-49.49,52,-50.44,60,-50.51
4,6809.13,3716.50,55.00,0,47,0.89,LOS,93.78,-1.29,-42.48,-3.94,26.19,0,53,-46.06,46,-47.50,54,-47.98,40,-50.18,60,-51.44
5,6830.95,3716.50,55.00,0,47,0.89,LOS,94.02,-1.29,-42.72,-4.25,26.19,0,53,-45.58,46,-47.71,54,-47.88,40,-50.37,60,-51.28
6,6852.78,3716.50,55.00,0,53,0.92,LOS,91.23,-3.69,-37.55,-1.16,26.19,1,47,-41.83,46,-43.84,52,-45.58,54,-47.15,60,-53.35
7,6874.60,3716.50,55.00,0,53,0.93,LOS,90.70,-3.69,-37.01,-0.54,26.19,0,47,-42.07,46,-44.07,52,-45.50,54,-47.06,60,-53.18
8,6896.43,3716.50,55.00,0,53,0.93,LOS,90.13,-4.81,-35.32,1.30,26.19,0,46,-43.81,52,-43.86,54,-45.20,47,-45.78,40,-50.35
9,6900.00,3698.25,55.00,3,53,0.94,LOS,90.03,-4.81,-35.22,1.39,26.19,0,46,-43.63,52,-43.67,54,-45.36,47,-46.03,59,-48.34
10,6900.00,3676.42,55.00,3,53,0.94,LOS,90.05,-5.83,-34.22,3.75,26.19,0,47,-44.85,46,-47.73,40,-48.31,59,-50.84,54,-51.16
11,6900.00,3654.60,55.00,3,53,0.93,LOS,90.11,-5.83,-34.28,3.73,26.19,0,47,-45.11,46,-47.47,40,-48.31,59,-50.78,54,-51.36
12,6900.00,3632.77,55.00,3,53,0.93,LOS,90.20,-3.93,-36.27,-0.28,26.19,0,46,-38.77,59,-47.04,47,-48.82,40,-50.99,52,-53.65
13,6900.00,3610.94,55.00,3,53,0.93,LOS,90.33,-3.93,-36.40,-0.53,26.19,0,46,-38.51,59,-46.99,47,-49.07,40,-51.00,52,-53.43
14,6900.00,3589.12,55.00,3,53,0.93,LOS,90.49,-5.33,-35.15,1.08,26.19,0,46,-41.15,52,-43.89,47,-44.25,54,-49.58,40,-52.94
15,6900.00,3567.29,55.00,3,53,0.93,LOS,90.67,-5.33,-35.34,0.81,26.19,0,46,-40.90,52,-43.66,47,-44.50,54,-49.77,40,-52.96
16,6900.00,3545.47,55.00,3,53,0.93,LOS,90.88,1.08,-41.96,-5.10,26.19,0,46,-40.22,47,-44.76,52,-46.38,54,-50.71,59,-53.56
17,6900.00,3523.64,55.00,3,53,0.92,LOS,91.11,1.08,-42.19,-5.42,26.19,0,46,-39.98,47,-45.00,52,-46.14,54,-50.89,59,-53.52
18,6885.32,3516.50,55.00,2,53,0.92,LOS,91.50,1.32,-42.81,-7.04,26.19,0,46,-41.33,47,-42.00,40,-47.50,54,-48.13,59,-53.30
19,6863.49,3516.50,55.00,2,53,0.92,LOS,91.94,1.32,-43.26,-7.63,26.19,0,46,-40.95,47,-41.85,40,-47.32,54,-48.19,59,-53.47
20,6841.67,3516.50,55.00,2,53,0.91,LOS,92.37,3.45,-45.82,-8.49,26.19,0,47,-42.89,46,-43.84,45,-48.29,52,-48.37,54,-53.19
21,6819.84,3516.50,55.00,2,47,0.85,LOS,96.56,-3.81,-42.75,-4.81,26.19,1,46,-43.43,53,-46.24,45,-48.24,52,-48.51,54,-53.26
22,6798.02,3516.50,55.00,2,47,0.86,LOS,96.42,-2.51,-43.91,-5.96,26.19,0,46,-45.14,53,-45.94,52,-47.21,40,-48.40,45,-51.81
23,6776.19,3516.50,55.00,2,47,0.86,LOS,96.29,-2.51,-43.79,-5.85,26.19,0,46,-44.73,53,-46.33,52,-47.35,40,-48.21,45,-51.77
24,6754.37,3516.50,55.00,2,53,0.89,LOS,93.95,-3.96,-39.99,-3.69,26.19,1,46,-40.79,47,-43.85,52,-48.23,54,-48.85,45,-49.65
25,6732.54,3516.50,55.00,2,53,0.89,LOS,94.31,-3.96,-40.35,-4.21,26.19,0,46,-40.38,47,-43.73,52,-48.38,54,-48.93,45,-49.61
26,6710.72,3516.50,55.00,2,46,0.94,LOS,89.35,1.68,-41.03,-2.66,26.19,1,53,-45.07,47,-46.68,52,-49.14,40,-50.98,45,-52.01
27,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
28,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
29,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
30,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
31,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
32,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
33,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
34,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
35,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
36,6700.00,3516.50,55.00,1,46,0.94,LOS,89.15,1.68,-40.83,-2.42,0.00,0,53,-45.24,47,-46.63,52,-49.21,40,-50.88,45,-51.99
37,6700.00,3527.41,55.00,1,46,0.94,LOS,89.40,1.68,-41.08,-2.71,13.10,0,53,-45.19,47,-46.47,52,-49.30,40,-50.86,45,-52.08
38,6700.00,3549.24,55.00,1,46,0.94,LOS,89.89,-1.07,-38.83,-0.58,26.19,0,47,-46.36,45,-48.32,53,-48.71,40,-50.24,54,-51.68
39,6700.00,3571.06,55.00,1,46,0.93,LOS,90.37,-1.07,-39.31,-1.11,26.19,0,47,-46.04,45,-48.49,53,-48.62,40,-50.20,54,-51.52
40,6700.00,3592.89,55.00,1,47,0.88,LOS,94.78,0.87,-45.65,-7.21,26.19,1,52,-46.52,40,-47.29,45,-47.68,46,-48.90,53,-50.13
41,6700.00,3614.71,55.00,1,47,0.89,LOS,94.43,0.87,-45.31,-6.83,26.19,0,52,-46.70,40,-47.27,46,-49.35,53,-50.06,54,-50.65
42,6700.00,3636.54,55.00,1,47,0.89,LOS,94.08,-5.94,-38.14,-4.40,26.19,0,46,-35.54,53,-42.97,54,-48.05,52,-48.60,40,-52.43
43,6700.00,3658.36,55.00,1,47,0.89,LOS,93.71,-5.94,-37.78,-3.76,26.19,0,46,-35.97,53,-42.93,54,-47.88,52,-48.77,40,-52.42
44,6700.00,3680.19,55.00,1,47,0.90,LOS,93.34,-0.93,-42.41,-3.26,26.19,0,54,-45.03,46,-49.17,53,-51.76,40,-52.23,52,-56.42
45,6700.00,3702.02,55.00,1,47,0.90,LOS,92.95,-0.93,-42.02,-2.88,26.19,0,54,-44.86,46,-49.57,53,-51.76,40,-52.22,52,-56.59
