Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue1_x,ue1_y,ue1_height,ue1_direction,ue1_connected_bs,ue1_los_probability,ue1_los_state,ue1_pathloss,ue1_shadow_fading,ue1_rsrp,ue1_prx,ue1_sinr,ue1_speed,ue1_handover,ue1_bs1_idx,ue1_bs1_rsrp,ue1_bs2_idx,ue1_bs2_rsrp,ue1_bs3_idx,ue1_bs3_rsrp,ue1_bs4_idx,ue1_bs4_rsrp,ue1_bs5_idx,ue1_bs5_rsrp,ue1_bs6_idx,ue1_bs6_rsrp,ue2_x,ue2_y,ue2_height,ue2_direction,ue2_connected_bs,ue2_los_probability,ue2_los_state,ue2_pathloss,ue2_shadow_fading,ue2_rsrp,ue2_prx,ue2_sinr,ue2_speed,ue2_handover,ue2_bs1_idx,ue2_bs1_rsrp,ue2_bs2_idx,ue2_bs2_rsrp,ue2_bs3_idx,ue2_bs3_rsrp,ue2_bs4_idx,ue2_bs4_rsrp,ue2_bs5_idx,ue2_bs5_rsrp,ue2_bs6_idx,ue2_bs6_rsrp,ue3_x,ue3_y,ue3_height,ue3_direction,ue3_connected_bs,ue3_los_probability,ue3_los_state,ue3_pathloss,ue3_shadow_fading,ue3_rsrp,ue3_prx,ue3_sinr,ue3_speed,ue3_handover,ue3_bs1_idx,ue3_bs1_rsrp,ue3_bs2_idx,ue3_bs2_rsrp,ue3_bs3_idx,ue3_bs3_rsrp,ue3_bs4_idx,ue3_bs4_rsrp,ue3_bs5_idx,ue3_bs5_rsrp,ue3_bs6_idx,ue3_bs6_rsrp,ue4_x,ue4_y,ue4_height,ue4_direction,ue4_connected_bs,ue4_los_probability,ue4_los_state,ue4_pathloss,ue4_shadow_fading,ue4_rsrp,ue4_prx,ue4_sinr,ue4_speed,ue4_handover,ue4_bs1_idx,ue4_bs1_rsrp,ue4_bs2_idx,ue4_bs2_rsrp,ue4_bs3_idx,ue4_bs3_rsrp,ue4_bs4_idx,ue4_bs4_rsrp,ue4_bs5_idx,ue4_bs5_rsrp,ue4_bs6_idx,ue4_bs6_rsrp
0,7400.00,5290.69,1.50,3,55,0.12,NLOS,110.16,0.53,-90.47,-62.69,17.23,33.51,0,56,-109.08,62,-115.37,67,-119.90,49,-122.25,47,-122.45,50,-123.40,7985.56,4300.00,1.50,2,60,0.17,LOS,82.99,-1.03,-61.75,-33.96,39.51,52.00,0,61,-102.75,53,-109.21,66,-113.85,54,-114.14,48,-118.00,68,-119.13,3400.00,5707.79,1.50,1,23,0.14,NLOS,108.49,-5.97,-82.30,-54.52,20.54,28.05,0,17,-106.96,22,-107.05,16,-111.72,9,-112.67,30,-115.63,24,-118.56,5600.00,6310.20,1.50,1,43,0.20,NLOS,104.85,-3.80,-80.84,-53.06,21.45,36.73,0,36,-104.65,49,-108.94,50,-111.38,57,-115.49,37,-116.35,31,-117.01,4985.96,4100.00,1.50,2,34,0.77,LOS,70.10,-4.46,-45.42,-17.63,52.89,50.53,0,33,-102.57,40,-104.58,27,-106.34,41,-106.47,47,-109.26,28,-112.26
1,7400.00,5281.38,1.50,3,55,0.12,NLOS,110.68,0.53,-90.99,-63.21,16.85,33.51,0,56,-109.23,62,-115.50,67,-119.85,49,-122.33,47,-122.37,50,-123.48,7971.11,4300.00,1.50,2,60,0.17,LOS,83.10,-1.03,-61.85,-34.07,39.38,52.00,0,61,-102.76,53,-109.01,54,-113.85,66,-114.05,48,-117.87,68,-119.23,3400.00,5715.59,1.50,1,23,0.15,NLOS,107.90,-5.97,-81.71,-53.93,21.16,28.05,0,17,-106.86,22,-107.23,16,-111.79,9,-112.71,30,-115.56,24,-118.44,5600.00,6320.41,1.50,1,43,0.20,NLOS,104.97,-3.80,-80.96,-53.18,21.40,36.73,0,36,-104.79,49,-109.02,50,-111.30,57,-115.44,37,-116.22,31,-116.95,4971.93,4100.00,1.50,2,34,0.70,LOS,71.39,-4.46,-46.71,-18.93,51.64,50.53,0,33,-102.58,40,-104.82,27,-106.09,41,-106.70,47,-109.42,28,-112.02
2,7400.00,5272.08,1.50,3,55,0.11,NLOS,111.20,0.53,-91.51,-63.73,16.45,33.51,0,56,-109.38,62,-115.63,67,-119.80,47,-122.28,49,-122.41,50,-123.55,7956.67,4300.00,1.50,2,60,0.16,LOS,83.27,0.76,-63.81,-36.03,41.00,52.00,0,61,-108.39,67,-110.98,54,-114.33,55,-115.98,59,-116.52,66,-116.59,3400.00,5723.38,1.50,1,23,0.16,NLOS,107.29,-5.97,-81.10,-53.32,21.79,28.05,0,17,-106.76,22,-107.41,16,-111.87,9,-112.75,30,-115.49,24,-118.31,5600.00,6330.61,1.50,1,43,0.19,NLOS,105.17,-3.80,-81.15,-53.37,21.29,36.73,0,36,-104.93,49,-109.09,50,-111.23,57,-115.40,37,-116.09,31,-116.89,4957.89,4100.00,1.50,2,34,0.62,LOS,72.98,-5.92,-46.84,-19.06,56.65,50.53,0,35,-108.18,28,-108.37,27,-110.14,41,-115.75,39,-116.15,36,-117.26
3,7400.00,5262.77,1.50,3,55,0.10,NLOS,111.72,2.60,-94.10,-66.32,7.16,33.51,0,54,-103.50,61,-107.76,48,-110.98,50,-112.44,56,-115.74,60,-116.18,7942.22,4300.00,1.50,2,60,0.16,LOS,83.50,0.76,-64.04,-36.26,40.81,52.00,0,61,-108.41,67,-111.25,54,-114.03,55,-115.89,59,-116.53,66,-116.78,3400.00,5731.17,1.50,1,23,0.17,NLOS,106.68,-5.97,-80.49,-52.71,22.43,28.05,0,17,-106.66,22,-107.59,16,-111.94,9,-112.79,30,-115.41,24,-118.18,5600.00,6340.81,1.50,1,43,0.19,NLOS,105.43,2.99,-88.20,-60.41,17.97,36.73,0,37,-110.61,36,-111.36,49,-112.60,29,-112.81,31,-115.44,56,-118.28,4943.85,4100.00,1.50,2,34,0.53,LOS,74.57,-5.92,-48.44,-20.66,54.94,50.53,0,28,-108.14,35,-108.20,27,-109.88,41,-115.97,39,-116.23,36,-117.26
4,7400.00,5253.46,1.50,3,55,0.10,NLOS,112.23,2.60,-94.62,-66.83,6.49,33.51,0,54,-103.28,61,-107.66,48,-110.93,50,-112.52,56,-115.88,60,-116.07,7927.78,4300.00,1.50,2,60,0.15,LOS,83.77,-1.21,-62.34,-34.56,44.38,52.00,0,66,-110.57,59,-113.94,65,-114.68,61,-115.62,68,-115.74,67,-117.10,3400.00,5738.96,1.50,1,23,0.18,NLOS,106.05,10.25,-96.08,-68.30,12.82,28.05,0,22,-112.81,17,-114.20,16,-117.06,29,-119.80,11,-120.91,4,-121.57,5600.00,6351.01,1.50,1,43,0.18,NLOS,105.75,2.99,-88.52,-60.73,17.66,36.73,0,37,-110.48,36,-111.50,49,-112.67,29,-112.87,31,-115.39,56,-118.28,4929.82,4100.00,1.50,2,34,0.45,LOS,76.06,0.46,-56.30,-28.52,48.63,50.53,0,28,-107.24,47,-110.50,33,-111.22,40,-116.07,41,-119.44,27,-119.74
5,7400.00,5244.15,1.50,3,55,0.09,NLOS,112.74,2.60,-95.13,-67.34,5.83,33.51,0,54,-103.06,61,-107.57,48,-110.88,50,-112.60,60,-115.96,56,-116.03,7913.34,4300.00,1.50,2,60,0.14,LOS,84.09,-1.21,-62.66,-34.88,44.13,52.00,0,66,-110.77,59,-113.96,65,-114.76,61,-115.66,68,-115.84,54,-116.83,3400.00,5746.76,1.50,1,23,0.19,NLOS,105.42,10.25,-95.45,-67.67,13.50,28.05,0,22,-112.98,17,-114.10,16,-117.14,29,-119.85,11,-120.87,4,-121.56,5600.00,6361.22,1.50,1,43,0.18,NLOS,106.12,2.99,-88.89,-61.11,17.29,36.73,0,37,-110.35,36,-111.64,49,-112.76,29,-112.93,31,-115.33,56,-118.29,4915.78,4100.00,1.50,2,34,0.39,LOS,77.41,0.46,-57.65,-29.87,47.16,50.53,0,28,-107.00,47,-110.65,33,-111.24,40,-116.30,27,-119.48,41,-119.66
6,7400.00,5234.84,1.50,3,55,0.09,NLOS,113.25,8.04,-101.07,-73.29,5.66,33.51,0,61,-109.09,54,-112.77,42,-118.50,48,-118.78,50,-118.88,60,-119.39,7898.89,4300.00,1.50,2,60,0.13,LOS,84.44,4.03,-68.26,-40.48,36.84,52.00,0,53,-109.37,61,-109.47,62,-113.80,58,-114.56,54,-115.35,66,-115.88,3400.00,5754.55,1.50,1,23,0.20,NLOS,104.78,10.25,-94.81,-67.03,14.19,28.05,0,22,-113.15,17,-114.00,16,-117.22,29,-119.90,11,-120.82,4,-121.54,5600.00,6371.42,1.50,1,43,0.17,NLOS,106.55,-6.10,-80.22,-52.44,21.83,36.73,0,37,-104.53,42,-110.07,51,-111.26,50,-111.29,38,-111.47,36,-112.65,4901.74,4100.00,1.50,2,34,0.33,LOS,78.63,-3.41,-55.00,-27.22,49.65,50.53,0,41,-109.56,33,-109.79,26,-110.36,28,-112.83,47,-113.61,39,-113.76
7,7400.00,5225.54,1.50,3,55,0.09,NLOS,113.75,8.04,-101.57,-73.79,5.06,33.51,0,61,-109.00,54,-112.55,42,-118.52,48,-118.74,50,-118.95,60,-119.27,7884.45,4300.00,1.50,2,60,0.13,LOS,84.82,4.03,-68.63,-40.85,36.39,52.00,0,53,-109.16,61,-109.53,62,-113.81,58,-114.57,54,-115.02,66,-116.07,3400.00,5762.34,1.50,1,23,0.21,NLOS,104.14,10.25,-94.17,-66.39,14.88,28.05,0,22,-113.32,17,-113.90,16,-117.30,29,-119.95,11,-120.78,4,-121.53,5600.00,6381.62,1.50,1,43,0.16,NLOS,107.01,-6.10,-80.69,-52.90,21.32,36.73,0,37,-104.40,42,-110.25,51,-111.16,50,-111.22,38,-111.36,36,-112.79,4887.70,4100.00,1.50,2,34,0.28,LOS,79.73,-3.41,-56.11,-28.33,48.58,50.53,0,41,-109.77,33,-109.82,26,-110.28,28,-112.59,47,-113.75,39,-113.85
8,7400.00,5216.23,1.50,3,55,0.08,NLOS,114.24,8.04,-102.06,-74.28,4.46,33.51,0,61,-108.92,54,-112.32,42,-118.53,48,-118.70,50,-119.03,60,-119.16,7870.00,4300.00,1.50,2,60,0.12,LOS,85.21,7.02,-72.01,-44.23,29.82,52.00,0,67,-105.79,66,-106.43,61,-109.80,53,-114.17,54,-118.17,49,-119.77,3400.00,5770.14,1.50,1,23,0.23,NLOS,103.49,0.06,-83.34,-55.56,19.19,28.05,0,16,-105.57,22,-109.18,36,-110.39,37,-110.84,30,-111.47,17,-113.25,5600.00,6391.83,1.50,1,43,0.16,NLOS,107.50,-6.10,-81.18,-53.40,20.79,36.73,0,37,-104.28,42,-110.43,51,-111.07,50,-111.16,38,-111.25,36,-112.93,4873.67,4100.00,1.50,2,34,0.25,LOS,80.74,-1.80,-58.72,-30.94,46.70,50.53,0,33,-111.05,28,-111.66,27,-111.71,26,-112.81,35,-114.01,40,-116.54
9,7400.00,5206.92,1.50,3,55,0.08,NLOS,114.72,5.27,-99.77,-71.99,4.32,33.51,0,54,-108.83,61,-109.91,49,-112.03,56,-112.84,62,-115.09,66,-119.99,7855.56,4300.00,1.50,2,60,0.11,LOS,85.61,7.02,-72.42,-44.64,29.57,52.00,0,67,-106.05,66,-106.62,61,-109.87,53,-113.97,54,-117.83,49,-119.69,3400.00,5777.93,1.50,1,23,0.24,NLOS,102.85,0.06,-82.70,-54.92,19.89,28.05,0,16,-105.66,22,-109.34,36,-110.38,37,-110.80,30,-111.40,17,-113.15,5600.00,6402.03,1.50,1,43,0.15,NLOS,108.02,-2.36,-85.45,-57.66,14.49,36.73,0,44,-102.68,36,-106.64,50,-108.57,37,-110.84,38,-113.98,29,-114.07,4859.63,4100.00,1.50,2,34,0.21,LOS,81.66,-1.80,-59.64,-31.86,45.69,50.53,0,33,-111.10,28,-111.42,27,-111.44,26,-112.74,35,-114.04,40,-116.76
