Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue1_x,ue1_y,ue1_height,ue1_direction,ue1_connected_bs,ue1_los_probability,ue1_los_state,ue1_pathloss,ue1_shadow_fading,ue1_rsrp,ue1_prx,ue1_sinr,ue1_speed,ue1_handover,ue1_bs1_idx,ue1_bs1_rsrp,ue1_bs2_idx,ue1_bs2_rsrp,ue1_bs3_idx,ue1_bs3_rsrp,ue1_bs4_idx,ue1_bs4_rsrp,ue1_bs5_idx,ue1_bs5_rsrp,ue1_bs6_idx,ue1_bs6_rsrp,ue2_x,ue2_y,ue2_height,ue2_direction,ue2_connected_bs,ue2_los_probability,ue2_los_state,ue2_pathloss,ue2_shadow_fading,ue2_rsrp,ue2_prx,ue2_sinr,ue2_speed,ue2_handover,ue2_bs1_idx,ue2_bs1_rsrp,ue2_bs2_idx,ue2_bs2_rsrp,ue2_bs3_idx,ue2_bs3_rsrp,ue2_bs4_idx,ue2_bs4_rsrp,ue2_bs5_idx,ue2_bs5_rsrp,ue2_bs6_idx,ue2_bs6_rsrp,ue3_x,ue3_y,ue3_height,ue3_direction,ue3_connected_bs,ue3_los_probability,ue3_los_state,ue3_pathloss,ue3_shadow_fading,ue3_rsrp,ue3_prx,ue3_sinr,ue3_speed,ue3_handover,ue3_bs1_idx,ue3_bs1_rsrp,ue3_bs2_idx,ue3_bs2_rsrp,ue3_bs3_idx,ue3_bs3_rsrp,ue3_bs4_idx,ue3_bs4_rsrp,ue3_bs5_idx,ue3_bs5_rsrp,ue3_bs6_idx,ue3_bs6_rsrp,ue4_x,ue4_y,ue4_height,ue4_direction,ue4_connected_bs,ue4_los_probability,ue4_los_state,ue4_pathloss,ue4_shadow_fading,ue4_rsrp,ue4_prx,ue4_sinr,ue4_speed,ue4_handover,ue4_bs1_idx,ue4_bs1_rsrp,ue4_bs2_idx,ue4_bs2_rsrp,ue4_bs3_idx,ue4_bs3_rsrp,ue4_bs4_idx,ue4_bs4_rsrp,ue4_bs5_idx,ue4_bs5_rsrp,ue4_bs6_idx,ue4_bs6_rsrp
10,7400.00,5197.61,1.50,3,55,0.08,NLOS,115.20,5.27,-100.25,-72.47,3.78,33.51,0,54,-108.60,61,-109.83,49,-112.11,56,-112.98,62,-115.22,66,-119.93,7841.12,4300.00,1.50,2,60,0.10,LOS,86.02,-6.49,-59.31,-31.53,44.92,52.00,0,54,-107.20,61,-112.11,66,-113.37,67,-114.03,52,-115.62,55,-115.88,3400.00,5785.72,1.50,1,23,0.25,NLOS,102.22,0.06,-82.07,-54.29,20.57,28.05,0,16,-105.74,22,-109.51,36,-110.38,37,-110.77,30,-111.33,17,-113.05,5600.00,6412.23,1.50,1,43,0.14,NLOS,108.56,-2.36,-85.98,-58.20,13.85,36.73,0,44,-102.46,36,-106.78,50,-108.51,37,-110.72,38,-113.86,29,-114.13,4845.59,4100.00,1.50,2,34,0.19,LOS,82.50,-10.96,-51.33,-23.54,43.92,50.53,0,27,-96.90,33,-102.63,28,-104.67,40,-114.04,21,-115.03,29,-117.94
11,7400.00,5188.30,1.50,3,55,0.07,NLOS,115.67,5.27,-100.72,-72.94,3.25,33.51,0,54,-108.36,61,-109.75,49,-112.20,56,-113.12,62,-115.35,66,-119.87,7826.67,4300.00,1.50,2,60,0.10,LOS,86.43,-6.49,-59.72,-31.94,44.38,52.00,0,54,-106.85,61,-112.19,66,-113.56,67,-114.28,52,-115.56,55,-115.79,3400.00,5793.52,1.50,1,23,0.27,NLOS,101.61,0.06,-81.45,-53.67,21.24,28.05,0,16,-105.83,22,-109.68,36,-110.38,37,-110.73,30,-111.26,17,-112.95,5600.00,6422.44,1.50,1,43,0.13,NLOS,109.11,-2.36,-86.54,-58.76,13.19,36.73,0,44,-102.24,36,-106.92,50,-108.45,37,-110.60,38,-113.74,29,-114.19,4831.56,4100.00,1.50,2,34,0.16,LOS,83.28,-10.96,-52.11,-24.32,42.94,50.53,0,27,-96.62,33,-102.69,28,-104.42,40,-114.26,21,-114.85,29,-117.88
12,7400.00,5179.00,1.50,3,55,0.07,NLOS,116.13,6.09,-102.00,-74.22,2.38,33.51,0,54,-107.56,49,-110.33,62,-114.61,48,-114.89,67,-115.43,43,-115.57,7812.23,4300.00,1.50,2,60,0.09,LOS,86.84,2.96,-69.58,-41.80,31.39,52.00,0,54,-105.00,61,-106.37,66,-108.11,53,-114.10,67,-114.73,59,-117.06,3400.00,5801.31,1.50,1,23,0.28,NLOS,101.01,3.12,-83.92,-56.14,20.79,28.05,0,16,-107.47,30,-111.89,17,-114.00,18,-116.59,22,-117.61,29,-117.66,5600.00,6432.64,1.50,1,43,0.13,NLOS,109.67,8.84,-98.30,-70.52,1.85,36.73,0,37,-101.86,50,-106.75,44,-112.50,36,-115.70,30,-115.92,38,-116.72,4817.52,4100.00,1.50,2,34,0.14,LOS,84.01,-0.44,-63.35,-35.57,40.83,50.53,0,27,-106.83,28,-112.19,40,-112.21,32,-114.41,35,-116.08,20,-116.98
13,7400.00,5169.69,1.50,3,55,0.07,NLOS,116.59,6.09,-102.46,-74.67,1.84,33.51,0,54,-107.31,49,-110.41,62,-114.74,48,-114.86,67,-115.39,43,-115.62,7800.00,4297.79,1.50,3,60,0.08,LOS,87.13,2.96,-69.87,-42.09,31.05,52.00,0,54,-104.72,61,-106.49,66,-108.25,53,-113.89,67,-114.94,59,-117.06,3400.00,5809.10,1.50,1,23,0.29,NLOS,100.45,3.12,-83.35,-55.57,21.38,28.05,0,16,-107.56,30,-111.82,17,-113.90,18,-116.51,29,-117.71,22,-117.77,5600.00,6442.84,1.50,1,43,0.12,NLOS,110.24,8.84,-98.87,-71.08,1.19,36.73,0,37,-101.75,50,-106.69,44,-112.28,36,-115.84,30,-115.93,38,-116.60,4803.48,4100.00,1.50,2,34,0.13,LOS,84.68,-0.44,-64.02,-36.24,40.01,50.53,0,27,-106.55,28,-111.93,40,-112.43,32,-114.42,35,-116.13,20,-116.85
14,7400.00,5160.38,1.50,3,55,0.06,NLOS,117.04,6.09,-102.90,-75.12,1.29,33.51,0,54,-107.07,49,-110.50,48,-114.83,62,-114.87,67,-115.35,43,-115.66,7800.00,4283.34,1.50,3,60,0.09,LOS,86.80,0.46,-67.04,-39.26,40.72,52.00,0,54,-110.33,61,-116.22,59,-118.47,67,-118.57,53,-119.45,56,-119.79,3400.00,5816.89,1.50,1,23,0.30,NLOS,99.92,3.12,-82.83,-55.05,21.93,28.05,0,16,-107.64,30,-111.75,17,-113.80,18,-116.43,29,-117.77,22,-117.93,5600.00,6453.04,1.50,1,43,0.11,NLOS,110.81,8.84,-99.44,-71.65,0.52,36.73,0,37,-101.64,50,-106.64,44,-112.04,30,-115.95,36,-115.99,38,-116.48,4789.45,4100.00,1.50,2,34,0.12,LOS,85.31,-1.06,-64.04,-36.26,41.94,50.53,0,33,-109.43,27,-112.74,28,-113.48,42,-115.12,41,-116.50,22,-118.93
15,7400.00,5151.07,1.50,3,55,0.06,NLOS,117.47,2.64,-99.90,-72.12,-0.24,33.51,0,61,-100.11,54,-113.37,48,-116.56,67,-117.01,56,-118.15,64,-120.03,7800.00,4268.90,1.50,3,60,0.09,LOS,86.48,0.46,-66.72,-38.94,41.15,52.00,0,54,-110.51,61,-116.54,59,-118.24,67,-118.65,53,-119.23,56,-119.90,3400.00,5824.69,1.50,1,23,0.32,NLOS,99.45,3.12,-82.35,-54.57,22.43,28.05,0,16,-107.73,30,-111.69,17,-113.71,18,-116.35,29,-117.83,24,-117.95,5600.00,6463.25,1.50,1,43,0.11,NLOS,111.38,2.61,-93.78,-65.99,10.48,36.73,0,36,-106.16,50,-114.28,37,-114.53,49,-114.76,56,-116.06,44,-117.75,4775.41,4100.00,1.50,2,34,0.10,LOS,85.91,-1.06,-64.63,-36.85,41.29,50.53,0,33,-109.50,27,-112.45,28,-113.23,42,-115.21,41,-116.70,22,-118.81
16,7400.00,5141.76,1.50,3,55,0.06,NLOS,117.90,2.64,-100.33,-72.55,-0.73,33.51,0,61,-100.05,54,-113.11,48,-116.53,67,-116.97,56,-118.28,64,-120.09,7800.00,4254.45,1.50,3,60,0.10,LOS,86.17,-0.96,-64.99,-37.21,39.25,52.00,0,67,-108.10,54,-108.85,66,-112.94,61,-117.52,46,-118.21,41,-118.23,3400.00,5832.48,1.50,1,23,0.33,NLOS,99.04,4.76,-83.57,-55.79,20.02,28.05,0,22,-108.79,24,-109.04,16,-109.46,25,-111.18,30,-113.77,28,-116.70,5600.00,6473.45,1.50,1,43,0.10,NLOS,111.95,2.61,-94.34,-66.56,9.99,36.73,0,36,-106.30,50,-114.23,37,-114.42,49,-114.85,56,-116.08,44,-117.51,4761.37,4100.00,1.50,2,34,0.09,LOS,86.47,-5.67,-60.59,-32.81,42.07,50.53,0,28,-106.50,27,-107.96,33,-110.56,40,-112.76,46,-113.96,30,-117.72
17,7400.00,5132.46,1.50,3,55,0.06,NLOS,118.33,2.64,-100.75,-72.97,-1.22,33.51,0,61,-99.99,54,-112.85,48,-116.50,67,-116.93,56,-118.41,64,-120.15,7800.00,4240.01,1.50,3,60,0.10,LOS,85.88,-0.96,-64.70,-36.92,39.63,52.00,0,67,-108.18,54,-109.05,66,-112.83,61,-117.82,46,-118.12,41,-118.25,3400.00,5840.27,1.50,1,23,0.33,NLOS,98.69,4.76,-83.23,-55.45,20.38,28.05,0,24,-108.90,22,-108.94,16,-109.55,25,-111.11,30,-113.70,28,-116.77,5600.00,6483.65,1.50,1,43,0.10,NLOS,112.51,2.61,-94.90,-67.12,9.50,36.73,0,36,-106.45,50,-114.18,37,-114.32,49,-114.93,56,-116.09,44,-117.27,4747.34,4100.00,1.50,2,34,0.09,LOS,87.00,-5.67,-61.12,-33.34,41.38,50.53,0,28,-106.24,27,-107.67,33,-110.64,40,-112.97,46,-114.07,30,-117.70
18,7400.00,5123.15,1.50,3,55,0.06,NLOS,118.74,2.90,-101.42,-73.64,-3.92,33.51,0,62,-98.64,61,-105.57,60,-106.48,54,-110.40,56,-115.41,28,-118.32,7800.00,4225.57,1.50,3,60,0.11,LOS,85.61,2.82,-68.21,-40.43,33.26,52.00,0,53,-105.53,67,-106.55,54,-108.51,68,-114.56,61,-115.79,55,-116.36,3400.00,5848.07,1.50,1,23,0.34,NLOS,98.43,4.76,-82.97,-55.19,20.65,28.05,0,24,-108.75,22,-109.10,16,-109.64,25,-111.03,30,-113.64,28,-116.84,5600.00,6493.86,1.50,1,43,0.09,NLOS,113.07,-3.53,-89.32,-61.54,14.00,36.73,0,44,-105.32,36,-111.51,37,-113.25,38,-113.34,42,-115.53,51,-115.81,4733.30,4100.00,1.50,2,34,0.08,LOS,87.51,2.89,-70.18,-42.40,32.62,50.53,0,27,-103.98,33,-112.20,20,-115.69,21,-116.39,40,-117.37,35,-117.78
19,7400.00,5113.84,1.50,3,62,0.02,NLOS,136.15,-17.17,-98.77,-70.99,1.35,33.51,1,55,-101.83,61,-105.52,60,-106.37,54,-110.14,56,-115.54,28,-118.31,7800.00,4211.12,1.50,3,60,0.11,LOS,85.36,2.82,-67.97,-40.19,33.48,52.00,0,53,-105.30,67,-106.63,54,-108.71,68,-114.68,61,-116.08,55,-116.52,3400.00,5855.86,1.50,1,23,0.35,NLOS,98.26,4.76,-82.80,-55.02,20.83,28.05,0,24,-108.60,22,-109.25,16,-109.73,25,-110.96,30,-113.57,28,-116.91,5600.00,6495.94,1.50,3,43,0.09,NLOS,113.18,-3.53,-89.43,-61.65,13.86,36.73,0,44,-105.27,36,-111.54,37,-113.23,38,-113.31,42,-115.56,51,-115.79,4719.26,4100.00,1.50,2,34,0.07,LOS,87.99,2.89,-70.66,-42.88,31.93,50.53,0,27,-103.69,33,-112.28,20,-115.56,21,-116.19,40,-117.57,35,-117.85
20,7400.00,5104.53,1.50,3,62,0.02,NLOS,136.28,-17.17,-98.90,-71.11,1.48,33.51,0,55,-102.23,61,-105.47,60,-106.25,54,-109.87,56,-115.67,28,-118.30,7800.00,4196.68,1.50,3,60,0.12,LOS,85.15,3.27,-68.21,-40.43,34.39,52.00,0,54,-105.88,53,-110.81,66,-111.46,59,-111.82,61,-113.07,52,-114.49,3400.00,5863.65,1.50,1,23,0.35,NLOS,98.18,5.36,-83.32,-55.54,25.74,28.05,0,31,-114.45,17,-115.34,15,-116.06,29,-116.53,30,-116.69,21,-117.18,5600.00,6485.74,1.50,3,43,0.10,NLOS,112.62,-3.53,-88.88,-61.10,14.54,36.73,0,44,-105.52,36,-111.40,37,-113.33,38,-113.43,42,-115.40,51,-115.89,4705.23,4100.00,1.50,2,34,0.07,LOS,88.44,2.43,-70.65,-42.87,32.66,50.53,0,27,-105.28,28,-109.96,26,-110.60,39,-112.76,33,-113.69,20,-118.39
21,7395.22,5100.00,1.50,2,55,0.05,NLOS,119.65,5.34,-104.77,-76.99,-2.72,33.51,1,54,-105.06,61,-105.97,67,-114.36,60,-114.89,48,-115.89,62,-117.09,7800.00,4182.23,1.50,3,60,0.12,LOS,84.98,3.27,-68.03,-40.25,34.61,52.00,0,54,-106.09,53,-110.59,66,-111.36,59,-111.56,61,-113.35,52,-114.34,3400.00,5871.44,1.50,1,23,0.35,NLOS,98.20,5.36,-83.34,-55.56,25.71,28.05,0,31,-114.38,17,-115.24,15,-116.14,29,-116.59,30,-116.62,21,-117.26,5600.00,6475.53,1.50,3,43,0.10,NLOS,112.06,-3.53,-88.32,-60.53,15.22,36.73,0,44,-105.76,36,-111.25,37,-113.44,38,-113.55,42,-115.24,51,-115.98,4691.19,4100.00,1.50,2,34,0.06,LOS,88.88,2.43,-71.09,-43.31,31.99,50.53,0,27,-104.99,28,-109.70,26,-110.54,39,-112.86,33,-113.78,20,-118.26
22,7385.92,5100.00,1.50,2,55,0.05,NLOS,119.48,5.34,-104.60,-76.82,-2.49,33.51,0,54,-104.99,61,-106.22,67,-114.46,60,-114.97,48,-115.72,62,-117.20,7800.00,4167.79,1.50,3,60,0.13,LOS,84.84,2.69,-67.31,-39.53,34.71,52.00,0,67,-106.11,61,-108.89,54,-109.23,53,-109.60,58,-117.25,47,-117.47,3400.00,5879.24,1.50,1,23,0.34,NLOS,98.32,5.36,-83.46,-55.68,25.57,28.05,0,31,-114.31,17,-115.15,15,-116.22,30,-116.56,29,-116.66,24,-117.20,5600.00,6465.33,1.50,3,43,0.11,NLOS,111.50,4.91,-96.19,-68.40,2.66,36.73,0,44,-101.59,50,-105.65,37,-107.63,38,-108.96,36,-109.62,42,-114.74,4677.15,4100.00,1.50,2,34,0.06,LOS,89.41,-1.08,-68.11,-40.33,32.67,50.53,0,40,-103.81,33,-107.48,27,-109.59,28,-110.21,21,-116.09,35,-116.09
