Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
45,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
46,6176.93,4000.00,2,47,-97.20,2.80,27.69,0,55,-116.18,48,-119.44,54,-122.11,62,-136.25,56,-141.98
47,6130.78,4000.00,2,47,-110.18,-10.18,55.38,0,55,-116.59,56,-133.68,54,-133.84,48,-140.52,40,-141.16
48,6084.63,4000.00,2,47,-105.77,-6.47,55.38,0,55,-107.59,54,-118.72,56,-122.49,48,-130.77,40,-146.07
49,6038.48,4000.00,2,47,-110.75,-10.75,55.38,0,48,-115.07,55,-121.31,40,-127.05,56,-128.47,54,-139.52
50,6000.00,3992.33,3,47,-107.04,-7.85,55.38,0,48,-113.72,55,-121.91,40,-134.37,56,-135.22,54,-156.18
51,6000.00,3946.18,3,47,-109.74,-10.17,55.38,0,55,-109.76,48,-118.20,54,-120.74,46,-132.77,40,-133.49
52,6000.00,3900.03,3,47,-106.29,-7.51,55.38,0,55,-104.86,54,-117.91,46,-119.69,40,-137.38,48,-140.11
53,6000.00,3853.88,3,47,-112.54,-12.54,55.38,0,54,-116.08,48,-116.86,55,-125.45,40,-125.82,46,-131.88
54,6000.00,3807.73,3,54,-106.38,-6.38,55.38,1,47,-116.03,48,-124.99,46,-126.36,40,-131.89,55,-137.53
55,5961.58,3800.00,2,47,-100.98,-0.98,55.38,1,40,-105.79,54,-114.72,55,-114.76,48,-130.08,46,-130.97
56,5915.43,3800.00,2,47,-97.16,2.84,55.38,0,54,-110.65,48,-122.35,55,-124.17,40,-132.02,46,-132.27
57,5869.28,3800.00,2,47,-99.58,-0.66,55.38,0,55,-107.94,54,-109.08,48,-118.19,40,-133.43,46,-137.22
58,5823.13,3800.00,2,47,-96.35,1.28,55.38,0,48,-101.40,55,-110.88,40,-114.61,54,-118.34,46,-124.66
59,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,55,-124.93,39,-128.03,48,-133.04,40,-133.21,54,-134.81
60,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
61,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
62,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
63,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
64,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
65,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
66,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
67,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
68,5800.00,3800.00,0,47,-104.42,-4.42,0.00,0,48,-118.83,40,-130.50,55,-135.12,54,-136.78,39,-138.44
69,5823.07,3800.00,0,47,-98.06,1.94,27.69,0,40,-117.59,48,-118.28,54,-125.79,46,-126.39,55,-127.51
70,5869.22,3800.00,0,47,-89.79,10.21,55.38,0,46,-120.86,40,-123.92,48,-124.24,55,-129.67,54,-133.46
71,5915.37,3800.00,0,47,-110.31,-10.31,55.38,0,40,-120.30,55,-132.03,54,-133.86,46,-134.98,48,-141.05
72,5961.52,3800.00,0,47,-104.90,-4.90,55.38,0,40,-123.53,46,-126.49,55,-128.13,54,-136.51,48,-151.01
73,6007.67,3800.00,0,47,-101.37,-1.85,55.38,0,55,-109.25,46,-118.67,40,-122.42,54,-141.29,48,-142.80
74,6053.82,3800.00,0,47,-105.04,-5.04,55.38,0,55,-111.28,54,-114.82,48,-118.48,46,-129.89,40,-138.64
75,6099.97,3800.00,0,55,-100.83,-0.83,55.38,1,47,-117.06,46,-125.69,48,-132.41,54,-141.18,40,-151.05
76,6146.12,3800.00,0,55,-106.72,-7.16,55.38,0,47,-120.07,54,-127.73,48,-129.02,46,-132.70,62,-134.59
77,6192.27,3800.00,0,46,-118.04,-18.04,55.38,1,47,-122.24,55,-125.62,54,-132.17,48,-132.53,62,-144.56
78,6200.00,3838.42,1,54,-126.33,-29.28,55.38,1,47,-113.09,55,-118.06,46,-126.19,48,-127.16,62,-131.26
79,6200.00,3884.57,1,47,-96.02,2.54,55.38,1,55,-104.06,54,-123.06,48,-135.99,46,-138.09,62,-141.90
80,6200.00,3930.72,1,56,-113.54,-13.54,55.38,1,55,-114.56,47,-121.27,54,-127.69,48,-134.45,62,-138.82
81,6200.00,3976.87,1,47,-110.24,-10.24,55.38,1,48,-112.84,55,-117.44,54,-119.48,56,-126.90,62,-150.45
82,6176.98,4000.00,2,48,-117.46,-19.00,55.38,1,55,-122.04,56,-123.76,54,-124.66,47,-129.59,62,-151.94
83,6130.83,4000.00,2,47,-116.98,-16.98,55.38,1,40,-120.61,55,-120.76,48,-123.57,56,-134.72,54,-153.99
84,6084.68,4000.00,2,55,-97.62,2.38,55.38,1,48,-112.27,47,-113.97,40,-124.51,56,-140.52,54,-142.54
85,6038.53,4000.00,2,55,-85.41,14.59,55.38,0,48,-115.41,47,-118.93,56,-132.26,40,-134.90,54,-141.56
86,5992.38,4000.00,2,55,-96.72,-0.15,55.38,0,48,-99.20,47,-122.99,56,-124.95,54,-132.30,40,-138.72
87,5946.23,4000.00,2,48,-91.75,5.88,55.38,1,55,-101.38,56,-112.66,47,-115.18,54,-138.74,40,-139.37
88,5900.08,4000.00,2,48,-99.88,-1.92,55.38,0,55,-103.28,47,-108.88,54,-127.02,40,-129.94,39,-130.55
89,5853.93,4000.00,2,40,-96.57,2.25,55.38,1,47,-105.02,48,-119.95,39,-129.46,55,-129.54,54,-136.58
90,5807.78,4000.00,2,47,-99.31,0.18,55.38,1,48,-115.34,40,-116.49,55,-122.77,39,-138.69,54,-143.48
91,5761.63,4000.00,2,40,-100.87,-1.49,55.38,1,48,-108.21,47,-113.22,55,-115.93,54,-130.87,39,-135.05
92,5715.48,4000.00,2,48,-104.25,-5.11,55.38,1,40,-109.45,47,-109.80,55,-115.13,39,-127.79,54,-138.50
93,5669.33,4000.00,2,48,-112.53,-14.54,55.38,0,40,-112.87,47,-119.29,55,-120.92,39,-131.92,54,-138.93
94,5623.18,4000.00,2,40,-100.23,-0.23,55.38,1,48,-118.50,55,-124.17,47,-128.17,54,-134.13,39,-144.20
95,5600.00,4000.00,3,48,-106.81,-8.18,0.00,1,47,-107.76,55,-109.83,54,-128.06,40,-129.44,39,-134.70
96,5600.00,4000.00,3,48,-106.81,-8.18,0.00,0,47,-104.31,55,-114.96,40,-121.58,39,-132.17,54,-147.34
97,5600.00,4000.00,3,48,-106.81,-8.18,0.00,0,47,-104.31,55,-114.96,40,-121.58,39,-132.17,54,-147.34
98,5600.00,4000.00,3,48,-106.81,-8.18,0.00,0,47,-104.31,55,-114.96,40,-121.58,39,-132.17,54,-147.34
99,5600.00,4000.00,3,48,-106.81,-8.18,0.00,0,47,-104.31,55,-114.96,40,-121.58,39,-132.17,54,-147.34
100,5600.00,4000.00,3,48,-106.81,-8.18,0.00,0,47,-104.31,55,-114.96,40,-121.58,39,-132.17,54,-147.34
