Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
33,4223.56,4166.50,1.50,2,0,0.05,NLOS,121.34,-2.91,-98.21,8.49,29.27,0,1,-108.15,3,-113.94,5,-119.81,4,-123.85,2,-124.61
34,4215.42,4166.50,1.50,2,0,0.05,NLOS,121.36,-2.91,-98.23,8.49,29.27,0,1,-108.15,3,-114.03,5,-119.90,4,-123.88,2,-124.78
35,4207.29,4166.50,1.50,2,0,0.05,NLOS,121.39,-2.91,-98.26,8.48,29.27,0,1,-108.15,3,-114.11,5,-119.98,4,-123.91,2,-124.96
36,4199.16,4166.50,1.50,2,0,0.05,NLOS,121.43,-3.08,-98.13,12.47,29.27,0,2,-111.46,5,-122.30,3,-122.66,6,-125.81,1,-138.64
37,4191.03,4166.50,1.50,2,0,0.05,NLOS,121.48,-3.08,-98.18,12.58,29.27,0,2,-111.63,5,-122.38,3,-122.75,6,-125.87,1,-138.64
38,4182.90,4166.50,1.50,2,0,0.05,NLOS,121.53,-3.08,-98.23,12.68,29.27,0,2,-111.80,5,-122.47,3,-122.83,6,-125.92,1,-138.65
39,4174.77,4166.50,1.50,2,0,0.05,NLOS,121.59,-3.08,-98.29,12.77,29.27,0,2,-111.97,5,-122.55,3,-122.91,6,-125.97,1,-138.65
40,4166.64,4166.50,1.50,2,0,0.05,NLOS,121.66,6.11,-107.55,6.93,29.27,0,2,-116.06,4,-123.91,3,-127.33,6,-127.35,5,-129.89
41,4158.51,4166.50,1.50,2,0,0.05,NLOS,121.73,6.11,-107.62,6.98,29.27,0,2,-116.22,4,-123.94,6,-127.40,3,-127.42,5,-129.97
42,4150.38,4166.50,1.50,2,0,0.04,NLOS,121.81,6.11,-107.70,7.03,29.27,0,2,-116.38,4,-123.97,6,-127.45,3,-127.50,5,-130.06
43,4142.25,4166.50,1.50,2,0,0.04,NLOS,121.89,6.11,-107.78,7.07,29.27,0,2,-116.54,4,-124.00,6,-127.50,3,-127.58,5,-130.14
44,4134.12,4166.50,1.50,2,0,0.04,NLOS,121.98,1.69,-103.45,5.14,29.27,0,3,-111.43,5,-113.61,2,-119.41,6,-121.44,4,-126.99
45,4125.99,4166.50,1.50,2,0,0.04,NLOS,122.07,1.69,-103.54,5.13,29.27,0,3,-111.52,5,-113.69,2,-119.57,6,-121.50,4,-127.02
46,4117.86,4166.50,1.50,2,0,0.04,NLOS,122.17,1.69,-103.64,5.12,29.27,0,3,-111.60,5,-113.77,2,-119.72,6,-121.55,4,-127.05
47,4109.73,4166.50,1.50,2,0,0.04,NLOS,122.28,1.69,-103.75,5.10,29.27,0,3,-111.68,5,-113.85,2,-119.88,6,-121.60,4,-127.09
48,4101.59,4166.50,1.50,2,0,0.04,NLOS,122.39,-10.82,-91.35,18.46,29.27,0,2,-111.64,5,-116.47,1,-122.37,6,-124.61,3,-126.68
49,4100.00,4173.04,1.50,1,0,0.04,NLOS,122.17,-10.82,-91.13,18.70,29.27,0,2,-111.68,5,-116.47,1,-122.29,6,-124.58,3,-126.63
50,4100.00,4181.17,1.50,1,0,0.04,NLOS,121.86,-10.82,-90.82,19.00,29.27,0,2,-111.68,5,-116.46,1,-122.18,6,-124.54,3,-126.55
51,4100.00,4189.30,1.50,1,0,0.05,NLOS,121.55,-10.82,-90.51,19.30,29.27,0,2,-111.69,5,-116.44,1,-122.07,6,-124.50,3,-126.48
52,4100.00,4197.43,1.50,1,0,0.05,NLOS,121.23,-17.65,-83.36,20.69,29.27,0,2,-105.16,1,-112.24,3,-119.01,4,-119.04,5,-128.73
53,4100.00,4205.56,1.50,1,0,0.05,NLOS,120.91,-17.65,-83.04,20.99,29.27,0,2,-105.17,1,-112.13,3,-118.93,4,-118.98,5,-128.72
54,4100.00,4213.69,1.50,1,0,0.05,NLOS,120.58,-17.65,-82.72,21.31,29.27,0,2,-105.19,1,-112.02,3,-118.86,4,-118.91,5,-128.70
55,4100.00,4221.82,1.50,1,0,0.05,NLOS,120.25,-17.65,-82.38,21.63,29.27,0,2,-105.20,1,-111.91,3,-118.78,4,-118.85,5,-128.68
56,4100.00,4229.95,1.50,1,0,0.05,NLOS,119.91,-6.38,-93.32,12.32,29.27,0,1,-109.23,6,-110.07,5,-113.53,2,-120.59,3,-131.31
57,4100.00,4238.08,1.50,1,0,0.05,NLOS,119.57,-6.38,-92.97,12.60,29.27,0,1,-109.12,6,-110.03,5,-113.52,2,-120.61,3,-131.23
58,4100.00,4246.21,1.50,1,0,0.05,NLOS,119.22,-6.38,-92.62,12.88,29.27,0,1,-109.01,6,-109.99,5,-113.50,2,-120.63,3,-131.16
59,4100.00,4254.34,1.50,1,0,0.06,NLOS,118.86,-6.38,-92.27,13.16,29.27,0,1,-108.89,6,-109.95,5,-113.49,2,-120.65,3,-131.08
60,4100.00,4262.47,1.50,1,0,0.06,NLOS,118.50,-0.76,-97.52,14.89,29.27,0,3,-115.14,2,-118.62,6,-122.90,5,-124.78,1,-125.32
61,4100.00,4270.60,1.50,1,0,0.06,NLOS,118.14,-0.76,-97.16,15.21,29.27,0,3,-115.07,2,-118.65,6,-122.86,5,-124.76,1,-125.20
62,4100.00,4278.74,1.50,1,0,0.06,NLOS,117.77,-0.76,-96.79,15.54,29.27,0,3,-114.99,2,-118.67,6,-122.82,5,-124.75,1,-125.09
63,4100.00,4286.87,1.50,1,0,0.06,NLOS,117.39,-0.76,-96.41,15.87,29.27,0,3,-114.92,2,-118.69,6,-122.78,5,-124.73,1,-124.97
64,4100.00,4295.00,1.50,1,0,0.06,NLOS,117.00,-9.02,-87.77,1.94,29.27,0,1,-89.71,6,-123.62,4,-124.17,2,-127.94,3,-128.96
65,4100.00,4303.13,1.50,1,0,0.07,NLOS,116.61,-9.02,-87.38,2.21,29.27,0,1,-89.59,6,-123.58,4,-124.10,2,-127.97,3,-128.89
66,4100.00,4311.26,1.50,1,0,0.07,NLOS,116.22,-9.02,-86.98,2.48,29.27,0,1,-89.47,6,-123.54,4,-124.04,2,-128.00,3,-128.81
67,4100.00,4319.39,1.50,1,0,0.07,NLOS,115.82,-9.02,-86.58,2.76,29.27,0,1,-89.35,6,-123.50,4,-123.97,2,-128.03,3,-128.74
68,4100.00,4327.52,1.50,1,0,0.07,NLOS,115.41,-4.46,-90.73,8.63,29.27,0,1,-99.47,2,-116.42,5,-125.75,4,-129.36,3,-130.48
69,4100.00,4335.65,1.50,1,0,0.08,NLOS,114.99,-4.46,-90.32,8.92,29.27,0,1,-99.35,2,-116.46,5,-125.74,4,-129.30,3,-130.41
70,4100.00,4343.78,1.50,1,0,0.08,NLOS,114.58,-4.46,-89.90,9.22,29.27,0,1,-99.23,2,-116.49,5,-125.73,4,-129.23,3,-130.33
71,4100.00,4351.91,1.50,1,0,0.08,NLOS,114.15,-4.46,-89.47,9.52,29.27,0,1,-99.10,2,-116.52,5,-125.72,4,-129.16,3,-130.26
72,4100.00,4360.04,1.50,1,0,0.09,NLOS,113.72,17.05,-110.55,1.00,29.27,0,1,-113.97,5,-116.99,2,-124.18,4,-126.66,3,-127.38
73,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
74,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
75,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
76,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
77,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
78,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
79,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
80,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
81,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
82,4100.00,4366.50,1.50,0,0,0.09,NLOS,113.37,17.05,-110.20,1.29,0.00,0,1,-113.87,5,-116.98,2,-124.21,4,-126.60,3,-127.32
83,4104.07,4366.50,1.50,0,0,0.09,NLOS,113.21,17.05,-110.04,1.43,14.64,0,1,-113.86,5,-116.94,2,-124.14,4,-126.58,3,-127.27
84,4112.20,4366.50,1.50,0,0,0.09,NLOS,112.89,17.05,-109.72,1.70,29.27,0,1,-113.84,5,-116.86,2,-123.99,4,-126.54,3,-127.16
85,4120.33,4366.50,1.50,0,0,0.10,NLOS,112.57,7.38,-99.73,1.62,29.27,0,5,-101.66,1,-117.22,6,-117.81,2,-120.37,3,-124.72
86,4128.46,4366.50,1.50,0,0,0.10,NLOS,112.27,7.38,-99.42,1.85,29.27,0,5,-101.58,1,-117.20,6,-117.75,2,-120.22,3,-124.61
87,4136.59,4366.50,1.50,0,0,0.10,NLOS,111.97,7.38,-99.13,2.06,29.27,0,5,-101.50,1,-117.19,6,-117.69,2,-120.08,3,-124.51
88,4144.72,4366.50,1.50,0,0,0.10,NLOS,111.68,7.38,-98.84,2.26,29.27,0,5,-101.41,1,-117.18,6,-117.63,2,-119.93,3,-124.40
89,4152.85,4366.50,1.50,0,0,0.11,NLOS,111.41,-7.55,-83.64,25.40,29.27,0,2,-112.25,3,-112.30,1,-127.50,5,-127.98,6,-129.25
90,4160.98,4366.50,1.50,0,0,0.11,NLOS,111.15,-7.55,-83.38,25.54,29.27,0,2,-112.10,3,-112.19,1,-127.49,5,-127.90,6,-129.19
91,4169.11,4366.50,1.50,0,0,0.11,NLOS,110.91,-7.55,-83.14,25.66,29.27,0,2,-111.95,3,-112.09,1,-127.48,5,-127.81,6,-129.13
92,4177.24,4366.50,1.50,0,0,0.12,NLOS,110.68,-7.55,-82.91,25.76,29.27,0,2,-111.79,3,-111.98,1,-127.47,5,-127.72,6,-129.07
93,4185.37,4366.50,1.50,0,0,0.12,NLOS,110.47,1.68,-91.94,12.10,29.27,0,2,-105.83,1,-109.92,4,-117.05,5,-122.11,6,-124.90
94,4193.50,4366.50,1.50,0,0,0.12,NLOS,110.28,1.68,-91.75,12.18,29.27,0,2,-105.67,1,-109.91,4,-117.01,5,-122.03,6,-124.84
95,4201.63,4366.50,1.50,0,0,0.12,NLOS,110.12,1.68,-91.58,12.23,29.27,0,2,-105.51,1,-109.90,4,-116.97,5,-121.94,6,-124.78
96,4209.76,4366.50,1.50,0,0,0.12,NLOS,109.97,1.68,-91.44,12.26,29.27,0,2,-105.35,1,-109.90,4,-116.93,5,-121.85,6,-124.72
97,4217.90,4366.50,1.50,0,0,0.12,NLOS,109.85,-12.60,-77.04,32.01,29.27,0,3,-109.73,2,-120.62,4,-123.22,6,-126.02,5,-134.81
98,4226.03,4366.50,1.50,0,0,0.13,NLOS,109.76,-12.60,-76.94,32.00,29.27,0,3,-109.62,2,-120.45,4,-123.18,6,-125.96,5,-134.72
99,4234.16,4366.50,1.50,0,0,0.13,NLOS,109.69,-12.60,-76.88,31.96,29.27,0,3,-109.51,2,-120.29,4,-123.15,6,-125.90,5,-134.63
100,4242.29,4366.50,1.50,0,0,0.13,NLOS,109.65,-12.60,-76.84,31.89,29.27,0,3,-109.41,2,-120.12,4,-123.11,6,-125.84,5,-134.54
101,4250.42,4366.50,1.50,0,0,0.13,NLOS,109.64,-3.33,-86.10,12.23,29.27,0,2,-98.58,3,-113.00,4,-117.47,5,-122.12,6,-124.25
102,4258.55,4366.50,1.50,0,0,0.13,NLOS,109.66,-3.33,-86.11,12.05,29.27,0,2,-98.41,3,-112.90,4,-117.44,5,-122.03,6,-124.19
