Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,4600.00,5357.81,3,1,-117.46,-18.39,50.63,0,3.00,-122.41,,,,,,
1,4600.00,5315.61,3,1,-96.57,3.43,50.63,0,3.00,-133.35,,,,,,
2,4600.00,5273.42,3,1,-110.09,-10.09,50.63,0,3.00,-129.18,,,,,,
3,4600.00,5231.22,3,1,-110.85,-11.44,50.63,0,3.00,-120.75,,,,,,
4,4600.00,5210.97,1,3,-110.76,-11.21,50.63,1,1.00,-120.16,,,,,,
5,4600.00,5253.17,1,1,-102.05,-2.05,50.63,1,3.00,-117.19,,,,,,
6,4600.00,5295.36,1,1,-116.16,-16.16,50.63,0,3.00,-129.07,,,,,,
7,4600.00,5337.56,1,1,-107.77,-7.77,50.63,0,3.00,-133.51,,,,,,
8,4600.00,5379.75,1,1,-98.25,1.29,50.63,0,3.00,-113.35,,,,,,
9,4621.94,5400.00,0,1,-124.86,-24.86,50.63,0,3.00,-109.41,,,,,,
10,4664.14,5400.00,0,1,-120.52,-20.52,50.63,0,4.00,-120.32,3.00,-128.34,,,,
11,4706.33,5400.00,0,1,-115.19,-15.19,50.63,0,4.00,-122.00,3.00,-125.61,,,,
12,4748.53,5400.00,0,1,-114.14,-14.14,50.63,0,4.00,-124.49,3.00,-139.85,,,,
13,4790.72,5400.00,0,1,-112.50,-12.50,50.63,0,4.00,-129.03,3.00,-129.73,,,,
14,4800.00,5400.00,2,4,-126.76,-26.76,0.00,1,1.00,-104.47,3.00,-118.36,,,,
15,4800.00,5400.00,2,1,-114.93,-14.93,0.00,1,3.00,-121.67,4.00,-126.76,,,,
16,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
17,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
18,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
19,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
20,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
21,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
22,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
23,4800.00,5400.00,2,1,-114.93,-14.93,0.00,0,3.00,-121.67,4.00,-126.76,,,,
24,4778.90,5400.00,2,4,-119.11,-19.11,25.32,1,1.00,-125.60,3.00,-131.58,,,,
25,4736.71,5400.00,2,4,-105.57,-5.57,50.63,0,3.00,-119.57,1.00,-130.62,,,,
26,4694.51,5400.00,2,4,-107.91,-7.91,50.63,0,3.00,-129.18,1.00,-129.70,,,,
27,4652.32,5400.00,2,4,-114.84,-14.84,50.63,0,1.00,-113.77,3.00,-145.44,,,,
28,4610.12,5400.00,2,4,-118.15,-18.15,50.63,0,1.00,-115.57,3.00,-140.46,,,,
29,4600.00,5432.07,1,4,-146.95,-47.78,50.63,0,3.00,-125.47,1.00,-139.79,,,,
30,4600.00,5474.26,1,4,-127.34,-27.34,50.63,0,1.00,-139.24,,,,,,
31,4600.00,5516.46,1,4,-118.51,-18.51,50.63,0,1.00,-119.02,,,,,,
32,4600.00,5558.65,1,4,-105.90,-5.90,50.63,0,1.00,-112.60,,,,,,
33,4600.00,5600.85,1,4,-112.85,-12.85,50.63,0,1.00,-129.42,,,,,,
34,4600.00,5643.04,1,4,-111.31,-13.18,50.63,0,1.00,-130.16,,,,,,
35,4600.00,5685.24,1,4,-97.90,1.28,50.63,0,1.00,-114.87,,,,,,
36,4600.00,5727.43,1,4,-98.71,1.29,50.63,0,1.00,-111.49,,,,,,
37,4600.00,5769.63,1,4,-94.28,5.72,50.63,0,1.00,-119.43,,,,,,
38,4611.82,5800.00,0,4,-104.31,-4.31,50.63,0,1.00,-121.61,,,,,,
39,4654.01,5800.00,0,4,-102.77,-2.77,50.63,0,1.00,-120.04,,,,,,
40,4696.21,5800.00,0,4,-97.20,2.80,50.63,0,1.00,-114.56,,,,,,
41,4738.40,5800.00,0,4,-94.45,5.55,50.63,0,,,,,,,,
42,4780.60,5800.00,0,4,-96.08,3.92,50.63,0,,,,,,,,
43,4822.79,5800.00,0,4,-90.12,9.88,50.63,0,,,,,,,,
44,4864.99,5800.00,0,4,-97.83,2.17,50.63,0,,,,,,,,
45,4907.18,5800.00,0,4,-105.39,-5.39,50.63,0,,,,,,,,
46,4949.38,5800.00,0,4,-94.19,5.81,50.63,0,,,,,,,,
