Step,x,y,direction,connected_bs,current_prx,sinr,speed,handover
0,8562.82,3300.00,2,76,-66.38,2.59,44.61,0
1,8525.64,3300.00,2,76,-57.72,8.96,44.61,0
2,8488.47,3300.00,2,76,-86.12,-6.15,44.61,0
3,8451.29,3300.00,2,76,-78.55,-15.57,44.61,0
4,8414.11,3300.00,2,76,-87.50,-22.33,44.61,0
5,8400.00,3276.93,3,76,-43.54,24.66,44.61,0
6,8400.00,3239.76,3,76,-59.10,2.60,44.61,0
7,8400.00,3202.58,3,76,-41.75,23.39,44.61,0
8,8400.00,3165.40,3,76,-48.59,18.83,44.61,0
9,8400.00,3128.22,3,76,-54.26,14.90,44.61,0
10,8408.95,3100.00,0,76,-69.55,-10.58,44.61,0
11,8446.13,3100.00,0,76,-68.98,-1.20,44.61,0
12,8483.31,3100.00,0,76,-48.55,23.52,44.61,0
13,8520.49,3100.00,0,76,-28.91,45.16,44.61,0
14,8557.66,3100.00,0,76,-62.17,4.98,44.61,0
15,8594.84,3100.00,0,76,-74.67,-4.04,44.61,0
16,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
17,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
18,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
19,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
20,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
21,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
22,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
23,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
24,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
25,8600.00,3100.00,1,76,-48.16,22.67,0.00,0
26,8600.00,3118.59,1,76,-71.37,3.38,22.31,0
27,8600.00,3155.77,1,76,-71.67,2.47,44.61,0
28,8600.00,3192.94,1,76,-54.83,28.16,44.61,0
29,8600.00,3230.12,1,76,-72.93,-0.43,44.61,0
30,8600.00,3267.30,1,76,-71.61,3.35,44.61,0
31,8595.52,3300.00,2,76,-70.75,2.60,44.61,0
32,8558.35,3300.00,2,76,-61.21,7.26,44.61,0
33,8521.17,3300.00,2,76,-62.28,-1.30,44.61,0
34,8483.99,3300.00,2,76,-72.36,4.24,44.61,0
35,8446.81,3300.00,2,76,-80.48,-13.28,44.61,0
36,8409.64,3300.00,2,76,-75.97,-5.30,44.61,0
37,8372.46,3300.00,2,76,-95.54,-16.64,44.61,0
38,8335.28,3300.00,2,76,-90.57,-12.03,44.61,0
39,8298.10,3300.00,2,76,-92.13,-14.92,44.61,0
40,8260.92,3300.00,2,76,-88.97,-6.88,44.61,0
41,8223.75,3300.00,2,76,-99.88,-25.59,44.61,0
42,8186.57,3300.00,2,76,-78.94,-9.59,44.61,0
43,8149.39,3300.00,2,76,-94.81,-32.11,44.61,0
44,8112.21,3300.00,2,76,-83.23,-24.65,44.61,0
45,8075.04,3300.00,2,76,-72.76,-5.94,44.61,0
46,8037.86,3300.00,2,76,-65.97,-1.42,44.61,0
47,8000.68,3300.00,2,76,-60.38,-1.24,44.61,0
48,8000.00,3263.50,3,76,-82.50,-25.64,44.61,0
49,8000.00,3226.33,3,76,-72.02,-18.89,44.61,0
50,8000.00,3189.15,3,76,-83.11,-11.94,44.61,0
51,8000.00,3151.97,3,76,-79.46,-20.59,44.61,0
52,8000.00,3114.79,3,76,-66.91,7.59,44.61,0
53,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
54,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
55,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
56,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
57,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
58,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
59,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
60,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
61,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
62,8000.00,3100.00,1,76,-58.64,21.55,0.00,0
63,8000.00,3118.59,1,76,-69.89,8.75,22.31,0
64,8000.00,3155.77,1,76,-87.48,-17.34,44.61,0
65,8000.00,3192.94,1,76,-73.12,-9.69,44.61,0
66,8000.00,3230.12,1,59,-55.23,14.29,44.61,1
67,8000.00,3267.30,1,59,-48.71,14.61,44.61,0
68,8000.00,3295.52,3,59,-77.41,-1.01,44.61,0
69,8000.00,3258.35,3,59,-53.77,14.57,44.61,0
70,8000.00,3221.17,3,59,-69.62,1.18,44.61,0
71,8000.00,3183.99,3,76,-74.67,-7.76,44.61,1
72,8000.00,3146.81,3,59,-82.41,-28.01,44.61,1
73,8000.00,3109.64,3,76,-80.75,-20.74,44.61,1
74,7972.46,3100.00,2,76,-53.31,6.26,44.61,0
75,7935.28,3100.00,2,76,-60.21,14.83,44.61,0
76,7898.10,3100.00,2,76,-65.25,8.50,44.61,0
77,7860.92,3100.00,2,76,-64.19,14.84,44.61,0
78,7823.75,3100.00,2,76,-52.01,26.96,44.61,0
79,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
80,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
81,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
82,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
83,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
84,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
85,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
86,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
87,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
88,7800.00,3100.00,1,76,-56.00,3.82,0.00,0
89,7800.00,3118.59,1,76,-50.05,2.48,22.31,0
90,7800.00,3155.77,1,76,-58.15,1.15,44.61,0
