Step,x,y,direction,connected_bs,current_prx,sinr,speed,handover
91,7800.00,3192.94,1,76,-72.85,2.71,44.61,0
92,7800.00,3230.12,1,76,-72.93,1.29,44.61,0
93,7800.00,3267.30,1,76,-51.21,19.94,44.61,0
94,7800.00,3295.52,3,76,-65.74,5.46,44.61,0
95,7800.00,3258.35,3,76,-58.68,10.58,44.61,0
96,7800.00,3221.17,3,76,-90.99,-21.21,44.61,0
97,7800.00,3183.99,3,76,-87.93,-13.24,44.61,0
98,7800.00,3146.81,3,76,-71.18,4.47,44.61,0
99,7800.00,3109.64,3,76,-65.90,4.51,44.61,0
100,7772.46,3100.00,2,76,-74.39,-9.36,44.61,0
