Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
30,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
31,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
32,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
33,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
34,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
35,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
36,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
37,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
38,6800.00,7389.47,200.00,3,66,1.00,LOS,-43.87,-6.54,12.64,0,59,-42.70,67,-47.59,58,-47.68,51,-49.74,65,-51.81
39,6800.00,7368.41,200.00,3,66,1.00,LOS,-42.37,-6.50,25.28,0,59,-39.39,67,-46.03,58,-46.43,51,-50.14,65,-50.51
40,6800.00,7347.34,200.00,3,66,1.00,LOS,-42.22,-6.26,25.28,0,59,-39.67,58,-46.19,67,-46.23,51,-50.10,65,-50.35
41,6800.00,7326.28,200.00,3,66,1.00,LOS,-43.47,-6.51,25.28,0,59,-41.91,58,-46.60,67,-46.84,65,-48.91,51,-50.55
42,6800.00,7305.22,200.00,3,66,1.00,LOS,-43.35,-6.34,25.28,0,59,-42.20,58,-46.35,67,-47.03,65,-48.75,51,-50.52
43,6800.00,7284.15,200.00,3,66,1.00,LOS,-44.86,-7.11,25.28,0,59,-44.06,58,-45.49,67,-49.83,65,-50.84,51,-51.10
44,6800.00,7263.09,200.00,3,66,1.00,LOS,-44.77,-7.01,25.28,0,59,-44.35,58,-45.23,67,-50.02,65,-50.68,51,-51.08
45,6800.00,7242.03,200.00,3,66,1.00,LOS,-42.91,-5.21,25.28,0,59,-44.07,58,-46.65,51,-49.46,65,-49.59,67,-50.83
46,6800.00,7220.96,200.00,3,66,1.00,LOS,-42.85,-5.15,25.28,0,59,-44.36,58,-46.37,65,-49.42,51,-49.45,67,-51.02
47,6800.00,7200.10,200.00,1,66,1.00,LOS,-42.78,-5.39,25.28,0,59,-43.64,58,-45.09,67,-47.94,65,-51.89,51,-52.15
48,6800.00,7221.16,200.00,1,66,1.00,LOS,-42.82,-5.45,25.28,0,59,-43.35,58,-45.37,67,-47.76,65,-52.06,51,-52.15
49,6800.00,7242.23,200.00,1,66,1.00,LOS,-43.07,-5.94,25.28,0,59,-43.93,58,-43.98,51,-48.13,67,-49.78,65,-50.05
50,6800.00,7263.29,200.00,1,66,1.00,LOS,-43.14,-6.01,25.28,0,59,-43.64,58,-44.25,51,-48.15,67,-49.59,65,-50.22
51,6800.00,7284.35,200.00,1,66,1.00,LOS,-43.17,-5.72,25.28,0,59,-42.41,58,-45.96,67,-50.41,65,-51.45,51,-53.13
52,6800.00,7305.42,200.00,1,66,1.00,LOS,-43.28,-5.87,25.28,0,59,-42.12,58,-46.22,67,-50.22,65,-51.61,51,-53.16
53,6800.00,7326.48,200.00,1,66,1.00,LOS,-41.09,-3.53,25.28,0,59,-42.90,58,-46.27,67,-50.22,65,-51.23,51,-51.51
54,6800.00,7347.54,200.00,1,66,1.00,LOS,-41.22,-3.70,25.28,0,59,-42.62,58,-46.52,67,-50.02,65,-51.39,51,-51.54
55,6800.00,7368.61,200.00,1,66,1.00,LOS,-43.59,-5.65,25.28,0,59,-44.01,58,-46.84,67,-49.96,65,-50.04,51,-51.63
56,6800.00,7389.67,200.00,1,66,1.00,LOS,-43.75,-5.83,25.28,0,59,-43.74,58,-47.08,67,-49.76,65,-50.19,51,-51.67
57,6800.00,7410.73,200.00,1,59,1.00,LOS,-40.47,-2.60,25.28,1,66,-44.02,58,-46.03,67,-48.38,65,-50.77,51,-51.58
58,6800.00,7431.80,200.00,1,59,1.00,LOS,-40.24,-2.29,25.28,0,66,-44.19,58,-46.26,67,-48.18,51,-51.62,52,-52.97
59,6800.00,7452.86,200.00,1,59,1.00,LOS,-41.08,-3.94,25.28,0,66,-42.11,67,-46.86,58,-48.10,51,-49.64,52,-52.90
60,6800.00,7473.92,200.00,1,59,1.00,LOS,-40.88,-3.67,25.28,0,66,-42.29,67,-46.66,58,-48.33,51,-49.69,52,-52.82
61,6800.00,7494.99,200.00,1,59,1.00,LOS,-41.48,-3.69,25.28,0,66,-43.13,67,-46.28,58,-47.37,51,-51.54,52,-53.05
62,6800.00,7516.05,200.00,1,59,1.00,LOS,-41.34,-3.48,25.28,0,66,-43.33,67,-46.07,58,-47.58,51,-51.59,52,-52.98
63,6800.00,7537.11,200.00,1,59,1.00,LOS,-38.11,0.08,25.28,0,66,-44.71,67,-46.98,58,-48.09,51,-52.20,52,-53.02
64,6800.00,7558.18,200.00,1,59,1.00,LOS,-38.03,0.22,25.28,0,66,-44.91,67,-46.78,58,-48.30,51,-52.26,52,-52.95
65,6800.00,7579.24,200.00,1,59,1.00,LOS,-40.10,-1.99,25.28,0,67,-45.53,66,-45.95,58,-49.16,51,-50.28,52,-51.04
66,6800.00,7599.70,200.00,3,59,1.00,LOS,-40.09,-1.95,25.28,0,67,-45.33,66,-46.15,58,-49.36,51,-50.34,52,-50.97
67,6800.00,7578.63,200.00,3,59,1.00,LOS,-37.89,0.60,25.28,0,67,-45.73,66,-47.19,58,-49.93,51,-51.39,52,-51.49
68,6800.00,7557.57,200.00,3,59,1.00,LOS,-37.94,0.52,25.28,0,67,-45.94,66,-46.99,58,-49.73,51,-51.32,52,-51.55
69,6800.00,7536.51,200.00,3,59,1.00,LOS,-39.89,-1.89,25.28,0,66,-44.93,67,-45.36,58,-49.19,52,-51.07,51,-51.73
70,6800.00,7515.44,200.00,3,59,1.00,LOS,-40.01,-2.04,25.28,0,66,-44.73,67,-45.57,58,-48.97,52,-51.14,51,-51.67
71,6800.00,7494.38,200.00,3,59,1.00,LOS,-41.06,-3.22,25.28,0,66,-44.28,67,-45.82,58,-47.00,51,-50.75,52,-53.09
72,6800.00,7473.32,200.00,3,59,1.00,LOS,-41.23,-3.45,25.28,0,66,-44.08,67,-46.02,58,-46.78,51,-50.70,52,-53.16
73,6800.00,7452.25,200.00,3,59,1.00,LOS,-41.54,-3.16,25.28,0,66,-44.72,58,-47.81,67,-48.22,52,-50.94,51,-52.79
74,6800.00,7431.19,200.00,3,59,1.00,LOS,-41.75,-3.45,25.28,0,66,-44.54,58,-47.58,67,-48.42,52,-51.02,51,-52.75
75,6800.00,7410.13,200.00,3,59,1.00,LOS,-42.09,-3.94,25.28,0,66,-44.51,67,-47.79,58,-48.44,51,-50.71,65,-51.42
76,6800.00,7389.06,200.00,3,59,1.00,LOS,-42.34,-4.26,25.28,0,66,-44.35,67,-47.99,58,-48.21,51,-50.67,65,-51.27
77,6800.00,7368.00,200.00,3,59,1.00,LOS,-40.99,-3.58,25.28,0,66,-42.77,67,-48.57,58,-48.65,51,-49.07,65,-51.49
78,6800.00,7346.94,200.00,3,59,1.00,LOS,-41.26,-3.92,25.28,0,66,-42.62,58,-48.40,67,-48.77,51,-49.04,65,-51.34
79,6800.00,7325.87,200.00,3,59,1.00,LOS,-42.52,-5.37,25.28,0,66,-43.46,58,-44.74,67,-48.18,51,-50.28,65,-51.25
80,6800.00,7304.81,200.00,3,59,1.00,LOS,-42.80,-5.73,25.28,0,66,-43.34,58,-44.48,67,-48.37,51,-50.25,65,-51.09
81,6800.00,7283.75,200.00,3,59,1.00,LOS,-42.50,-5.43,25.28,0,66,-42.09,58,-45.41,67,-49.24,51,-50.24,65,-51.79
82,6800.00,7262.68,200.00,3,59,1.00,LOS,-42.79,-5.79,25.28,0,66,-42.01,58,-45.14,67,-49.43,51,-50.22,65,-51.62
83,6800.00,7241.62,200.00,3,59,1.00,LOS,-42.53,-5.43,25.28,0,66,-41.94,58,-47.37,67,-47.86,51,-50.88,65,-51.52
84,6800.00,7220.56,200.00,3,59,1.00,LOS,-42.82,-5.77,25.28,0,66,-41.89,58,-47.10,67,-48.05,51,-50.87,65,-51.35
85,6800.00,7199.50,200.00,3,59,1.00,LOS,-44.09,-6.80,25.28,0,66,-44.42,58,-45.96,67,-47.97,51,-49.08,65,-50.69
86,6800.00,7178.43,200.00,3,59,1.00,LOS,-44.38,-7.14,25.28,0,66,-44.40,58,-45.68,67,-48.15,51,-49.08,65,-50.51
87,6800.00,7157.37,200.00,3,59,1.00,LOS,-44.15,-6.94,25.28,0,66,-43.13,58,-44.38,67,-49.45,65,-50.85,51,-52.34
88,6800.00,7136.31,200.00,3,59,1.00,LOS,-44.43,-7.28,25.28,0,66,-43.15,58,-44.10,67,-49.63,65,-50.67,51,-52.34
89,6800.00,7115.24,200.00,3,59,1.00,LOS,-43.59,-7.14,25.28,0,66,-42.23,58,-42.99,65,-49.10,67,-49.39,51,-50.16
90,6800.00,7094.18,200.00,3,59,1.00,LOS,-43.87,-7.48,25.28,0,66,-42.29,58,-42.70,65,-48.91,67,-49.56,51,-50.17
91,6800.00,7073.12,200.00,3,59,1.00,LOS,-44.98,-8.63,25.28,0,66,-42.22,58,-42.37,51,-50.59,67,-51.18,65,-51.46
92,6800.00,7052.05,200.00,3,58,1.00,LOS,-42.08,-5.16,25.28,1,66,-42.30,59,-45.24,51,-50.61,65,-51.27,67,-51.35
93,6800.00,7030.99,200.00,3,58,1.00,LOS,-41.85,-4.88,25.28,0,66,-41.95,59,-46.03,65,-48.89,51,-50.10,67,-50.42
94,6800.00,7009.93,200.00,3,58,1.00,LOS,-41.57,-4.55,25.28,0,66,-42.06,59,-46.29,65,-48.70,51,-50.12,67,-50.58
95,6800.00,7000.00,200.00,0,58,1.00,LOS,-40.52,-3.27,0.00,0,66,-44.06,59,-44.60,65,-50.08,51,-51.35,67,-52.51
96,6800.00,7000.00,200.00,0,58,1.00,LOS,-40.52,-3.27,0.00,0,66,-44.06,59,-44.60,65,-50.08,51,-51.35,67,-52.51
97,6800.00,7000.00,200.00,0,58,1.00,LOS,-40.52,-3.27,0.00,0,66,-44.06,59,-44.60,65,-50.08,51,-51.35,67,-52.51
98,6800.00,7000.00,200.00,0,58,1.00,LOS,-40.52,-3.27,0.00,0,66,-44.06,59,-44.60,65,-50.08,51,-51.35,67,-52.51
99,6800.00,7000.00,200.00,0,58,1.00,LOS,-40.52,-3.27,0.00,0,66,-44.06,59,-44.60,65,-50.08,51,-51.35,67,-52.51
100,6800.00,7000.00,200.00,0,58,1.00,LOS,-40.52,-3.27,0.00,0,66,-44.06,59,-44.60,65,-50.08,51,-51.35,67,-52.51
