Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,7178.94,7200.00,200.00,2,66,1.00,LOS,-36.19,1.77,25.28,0,59,-45.54,58,-48.00,67,-48.82,74,-49.07,65,-49.35
1,7157.87,7200.00,200.00,2,66,1.00,LOS,-36.61,1.31,25.28,0,59,-45.32,58,-47.80,67,-48.84,74,-49.26,65,-49.37
2,7136.81,7200.00,200.00,2,66,1.00,LOS,-37.26,1.18,25.28,0,65,-47.75,74,-47.95,59,-49.53,58,-49.80,67,-50.73
3,7115.75,7200.00,200.00,2,66,1.00,LOS,-37.79,0.65,25.28,0,65,-47.78,74,-48.13,59,-49.31,58,-49.60,67,-50.77
4,7094.68,7200.00,200.00,2,66,1.00,LOS,-37.06,1.05,25.28,0,59,-44.97,58,-47.53,67,-49.17,74,-49.93,65,-50.14
5,7073.62,7200.00,200.00,2,66,1.00,LOS,-37.62,0.43,25.28,0,59,-44.74,58,-47.33,67,-49.21,74,-50.11,65,-50.18
6,7052.56,7200.00,200.00,2,66,1.00,LOS,-36.26,1.15,25.28,0,59,-44.56,58,-45.74,65,-48.35,67,-49.01,74,-50.41
7,7031.49,7200.00,200.00,2,66,1.00,LOS,-36.82,0.54,25.28,0,59,-44.34,58,-45.54,65,-48.40,67,-49.06,74,-50.58
8,7010.43,7200.00,200.00,2,66,1.00,LOS,-39.33,-1.64,25.28,0,58,-46.42,59,-46.43,65,-47.82,67,-48.05,74,-50.32
9,7000.00,7210.63,200.00,1,66,1.00,LOS,-39.64,-1.96,25.28,0,59,-46.23,58,-46.41,65,-47.95,67,-47.98,74,-50.37
10,7000.00,7231.70,200.00,1,66,1.00,LOS,-39.09,-1.39,25.28,0,58,-44.99,59,-46.37,67,-46.67,65,-50.52,74,-51.76
11,7000.00,7252.76,200.00,1,66,1.00,LOS,-39.25,-1.54,25.28,0,58,-45.18,59,-46.20,67,-46.45,65,-50.71,74,-51.70
12,7000.00,7273.82,200.00,1,66,1.00,LOS,-39.55,-1.30,25.28,0,59,-44.53,67,-47.56,65,-48.65,58,-50.09,74,-54.30
13,7000.00,7294.89,200.00,1,66,1.00,LOS,-39.77,-1.55,25.28,0,59,-44.37,67,-47.33,65,-48.83,58,-50.28,74,-54.24
14,7000.00,7315.95,200.00,1,66,1.00,LOS,-38.92,-0.92,25.28,0,58,-45.39,59,-45.73,67,-48.24,74,-50.19,65,-50.91
15,7000.00,7337.01,200.00,1,66,1.00,LOS,-39.19,-1.19,25.28,0,59,-45.58,58,-45.58,67,-48.00,74,-50.14,65,-51.09
16,7000.00,7358.08,200.00,1,66,1.00,LOS,-39.54,-1.22,25.28,0,67,-46.06,74,-47.40,59,-47.97,58,-50.16,65,-50.95
17,7000.00,7379.14,200.00,1,66,1.00,LOS,-39.85,-1.55,25.28,0,67,-45.81,74,-47.35,59,-47.83,58,-50.35,65,-51.13
18,6999.80,7400.00,200.00,2,66,1.00,LOS,-40.61,-2.79,25.28,0,59,-42.95,67,-47.89,74,-50.16,58,-51.94,65,-52.99
19,6978.73,7400.00,200.00,2,66,1.00,LOS,-40.95,-3.22,25.28,0,59,-42.63,67,-47.99,74,-50.35,58,-51.80,65,-53.03
20,6957.67,7400.00,200.00,2,66,1.00,LOS,-41.87,-4.17,25.28,0,59,-43.95,67,-45.84,58,-48.71,74,-50.14,65,-50.56
21,6936.61,7400.00,200.00,2,66,1.00,LOS,-42.22,-4.58,25.28,0,59,-43.62,67,-45.96,58,-48.57,74,-50.32,65,-50.61
22,6915.54,7400.00,200.00,2,66,1.00,LOS,-40.68,-2.82,25.28,0,59,-43.59,67,-47.95,58,-48.92,74,-50.67,65,-51.53
23,6894.48,7400.00,200.00,2,66,1.00,LOS,-41.02,-3.25,25.28,0,59,-43.24,67,-48.08,58,-48.79,74,-50.84,65,-51.59
24,6873.42,7400.00,200.00,2,66,1.00,LOS,-42.09,-4.78,25.28,0,59,-41.30,67,-48.33,58,-49.69,74,-49.97,51,-50.52
25,6852.36,7400.00,200.00,2,66,1.00,LOS,-42.42,-5.26,25.28,0,59,-40.94,67,-48.47,58,-49.57,74,-50.14,51,-50.35
26,6831.29,7400.00,200.00,2,66,1.00,LOS,-44.28,-6.97,25.28,0,59,-43.15,67,-46.78,58,-47.41,65,-48.45,51,-50.71
27,6810.23,7400.00,200.00,2,66,1.00,LOS,-44.60,-7.39,25.28,0,59,-42.78,67,-46.92,58,-47.30,65,-48.51,51,-50.54
28,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
29,6800.00,7400.00,200.00,3,66,1.00,LOS,-43.95,-6.64,0.00,0,59,-42.57,67,-47.49,58,-47.80,51,-49.76,65,-51.89
