Bước,ue0_x,ue0_y,ue0_huong,ue0_BS_ketnoi,ue0_prx_hientai,ue0_SINR,ue0_speed,ue0_handover
0,3000,7226.53,1,106,-42.42,16.77,31.83,0
1,3000,7253.06,1,106,-60.17,-3.82,31.83,0
2,3000,7279.58,1,106,-58.68,3.27,31.83,0
3,3000,7306.11,1,106,-51.16,10.33,31.83,0
4,3000,7332.64,1,106,-76.77,-5.06,31.83,0
5,3000,7359.17,1,106,-76.11,-6.59,31.83,0
6,3000,7385.7,1,106,-62.24,6.92,31.83,0
7,3000,7387.78,3,106,-79.88,-4.8,31.83,0
8,3000,7361.25,3,106,-82.1,-22.37,31.83,0
9,3000,7334.72,3,106,-83.35,-8.78,31.83,0
10,3000,7308.19,3,106,-75.88,-0.16,31.83,0
11,3000,7281.66,3,106,-82.2,-15.98,31.83,0
12,3000,7255.14,3,106,-85.74,-10.54,31.83,0
13,3000,7228.61,3,106,-63.29,13.79,31.83,0
14,3000,7202.08,3,106,-54.52,11.13,31.83,0
15,2975.55,7200,2,106,-67.11,-5.01,31.83,0
16,2949.02,7200,2,106,-67.91,-17.08,31.83,0
17,2922.5,7200,2,106,-82.02,-27.73,31.83,0
18,2895.97,7200,2,106,-62.98,-5.5,31.83,0
19,2869.44,7200,2,106,-60.74,-1.95,31.83,0
20,2842.91,7200,2,106,-45.3,3.31,31.83,0
21,2816.38,7200,2,106,-45.06,20.33,31.83,0
22,2789.85,7200,2,106,-48.36,5.66,31.83,0
23,2763.33,7200,2,106,-56.94,-2.26,31.83,0
24,2736.8,7200,2,106,-49.67,0.2,31.83,0
25,2710.27,7200,2,21,-79.83,-16.17,31.83,1
26,2683.74,7200,2,21,-88.75,-26.2,31.83,0
27,2657.21,7200,2,106,-74.07,-0.68,31.83,1
28,2630.69,7200,2,106,-69.49,6.9,31.83,0
29,2604.16,7200,2,106,-62.55,12.23,31.83,0
30,2600,7200,3,106,-53.2,9.39,0,0
31,2600,7200,3,106,-53.2,9.39,0,0
32,2600,7200,3,106,-53.2,9.39,0,0
33,2600,7200,3,106,-53.2,9.39,0,0
34,2600,7200,3,106,-53.2,9.39,0,0
35,2600,7200,3,106,-53.2,9.39,0,0
36,2600,7200,3,106,-53.2,9.39,0,0
37,2600,7200,3,106,-53.2,9.39,0,0
38,2600,7200,3,106,-53.2,9.39,0,0
39,2600,7200,3,106,-53.2,9.39,0,0
40,2600,7186.74,3,106,-70.83,-8.06,15.92,0
41,2600,7160.21,3,106,-75.83,-12.97,31.83,0
