Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,4065.50,4518.50,170.00,3,25,1.00,LOS,86.37,-0.69,-65.47,-37.68,4.87,26.99,0,17,-74.91,32,-77.97,18,-78.52,24,-78.96,26,-79.85,16,-81.32
1,4065.50,4511.01,170.00,3,25,1.00,LOS,86.43,-0.69,-65.53,-37.75,4.79,26.99,0,17,-74.85,32,-77.94,18,-78.58,24,-78.88,26,-79.92,16,-81.27
2,4065.50,4503.51,170.00,3,25,1.00,LOS,86.51,-0.69,-65.60,-37.82,4.70,26.99,0,17,-74.80,32,-77.92,18,-78.64,24,-78.80,26,-79.99,16,-81.22
3,4065.50,4496.01,170.00,3,25,1.00,LOS,86.59,-0.69,-65.68,-37.90,4.60,26.99,0,17,-74.74,32,-77.89,18,-78.70,24,-78.72,26,-80.06,16,-81.17
4,4065.50,4488.52,170.00,3,25,1.00,LOS,86.68,-3.04,-63.42,-35.64,6.38,26.99,0,24,-76.34,32,-76.69,18,-76.90,33,-78.13,17,-78.58,26,-79.84
5,4065.50,4481.02,170.00,3,25,1.00,LOS,86.77,-3.04,-63.51,-35.73,6.28,26.99,0,24,-76.26,32,-76.66,18,-76.96,33,-78.16,17,-78.53,26,-79.91
6,4065.50,4473.52,170.00,3,25,1.00,LOS,86.87,-3.04,-63.61,-35.83,6.17,26.99,0,24,-76.18,32,-76.64,18,-77.02,33,-78.19,17,-78.48,10,-79.94
7,4065.50,4466.03,170.00,3,25,1.00,LOS,86.98,-3.04,-63.72,-35.94,6.05,26.99,0,24,-76.09,32,-76.62,18,-77.08,33,-78.22,17,-78.42,10,-79.95
8,4065.50,4458.53,170.00,3,25,1.00,LOS,87.10,1.34,-68.21,-40.43,2.44,26.99,0,18,-76.63,17,-76.94,24,-78.78,10,-79.34,32,-79.47,33,-79.57
9,4065.50,4451.03,170.00,3,25,1.00,LOS,87.21,1.34,-68.33,-40.55,2.32,26.99,0,18,-76.69,17,-76.89,24,-78.70,10,-79.34,32,-79.45,33,-79.60
10,4065.50,4443.53,170.00,3,25,1.00,LOS,87.34,1.34,-68.46,-40.67,2.19,26.99,0,18,-76.75,17,-76.84,24,-78.61,10,-79.35,32,-79.43,33,-79.64
11,4065.50,4436.04,170.00,3,25,1.00,LOS,87.47,1.34,-68.58,-40.80,2.06,26.99,0,17,-76.79,18,-76.81,24,-78.52,10,-79.35,32,-79.40,33,-79.67
