Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_rsrp,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
246,1255.00,5566.17,23.00,1,4,0.95,LOS,80.76,-4.45,-56.09,-28.31,13.63,45.56,0,13,-72.97,12,-79.80,21,-81.38,3,-81.54,5,-104.89
247,1255.00,5578.82,23.00,1,4,0.94,LOS,81.63,-2.43,-58.98,-31.20,9.62,45.56,0,13,-73.58,3,-75.26,21,-81.45,12,-82.36,5,-104.73
248,1255.00,5591.48,23.00,1,4,0.93,LOS,82.42,-2.43,-59.78,-31.99,8.82,45.56,0,13,-73.52,3,-75.38,21,-81.46,12,-82.44,5,-104.45
249,1255.00,5604.13,23.00,1,4,0.93,LOS,83.16,2.83,-65.77,-37.99,2.39,45.56,0,13,-70.32,12,-75.71,21,-81.97,3,-83.92,14,-110.06
250,1243.71,5605.50,23.00,2,4,0.93,LOS,83.24,2.83,-65.85,-38.06,2.41,45.56,0,13,-70.44,12,-75.80,21,-82.04,3,-83.93,14,-110.12
251,1231.06,5605.50,23.00,2,4,0.93,LOS,83.29,2.83,-65.90,-38.11,2.47,45.56,0,13,-70.58,12,-75.90,21,-82.12,3,-83.93,14,-110.20
252,1218.40,5605.50,23.00,2,4,0.93,LOS,83.39,2.81,-65.98,-38.19,5.10,45.56,0,13,-76.83,3,-78.73,12,-80.98,21,-82.83,5,-104.36
253,1205.75,5605.50,23.00,2,4,0.93,LOS,83.53,2.81,-66.12,-38.34,5.02,45.56,0,13,-76.96,3,-78.74,12,-81.08,21,-82.90,5,-104.37
254,1193.09,5605.50,23.00,2,4,0.92,LOS,83.72,1.05,-64.56,-36.78,4.02,45.56,0,13,-73.61,12,-74.57,3,-74.76,6,-82.45,5,-105.53
255,1180.44,5605.50,23.00,2,4,0.92,LOS,83.95,1.05,-64.79,-37.00,3.87,45.56,0,13,-73.74,12,-74.67,3,-74.77,6,-82.45,5,-105.56
256,1167.78,5605.50,23.00,2,4,0.92,LOS,84.21,-10.45,-53.54,-25.76,14.98,45.56,0,13,-71.71,3,-77.74,6,-80.06,12,-81.00,14,-110.14
257,1155.13,5605.50,23.00,2,4,0.92,LOS,84.49,-10.45,-53.82,-26.04,14.78,45.56,0,13,-71.84,3,-77.75,6,-80.06,12,-81.09,14,-110.23
258,1142.47,5605.50,23.00,2,4,0.91,LOS,84.80,-5.28,-59.30,-31.52,11.73,45.56,0,3,-77.51,13,-77.81,12,-78.31,6,-82.21,5,-108.81
259,1129.82,5605.50,23.00,2,4,0.91,LOS,85.12,-5.28,-59.63,-31.84,11.47,45.56,0,3,-77.52,13,-77.94,12,-78.41,6,-82.22,5,-108.86
260,1117.16,5605.50,23.00,2,4,0.91,LOS,85.45,-1.48,-63.75,-35.97,6.22,45.56,0,13,-75.22,6,-76.29,12,-78.47,3,-86.09,5,-95.50
261,1104.51,5605.50,23.00,2,4,0.90,LOS,85.80,-1.48,-64.10,-36.32,5.94,45.56,0,13,-75.35,6,-76.30,12,-78.56,3,-86.11,5,-95.55
262,1091.85,5605.50,23.00,2,4,0.90,LOS,86.14,-0.86,-65.07,-37.29,3.77,45.56,0,12,-70.61,3,-78.70,6,-83.98,13,-84.69,5,-105.31
263,1079.20,5605.50,23.00,2,4,0.90,LOS,86.49,-0.86,-65.42,-37.64,3.49,45.56,0,12,-70.70,3,-78.72,6,-83.99,13,-84.81,5,-105.38
264,1066.54,5605.50,23.00,2,4,0.89,LOS,86.84,0.95,-67.58,-39.80,2.17,45.56,0,13,-73.94,3,-80.71,12,-83.44,6,-83.53,5,-100.84
265,1055.00,5606.61,23.00,1,4,0.89,LOS,87.19,0.95,-67.92,-40.14,1.89,45.56,0,13,-74.05,3,-80.74,12,-83.52,6,-83.54,5,-100.88
266,1055.00,5619.27,23.00,1,4,0.89,LOS,87.50,0.95,-68.23,-40.45,1.58,45.56,0,13,-74.01,3,-80.85,6,-83.46,12,-83.58,5,-100.61
267,1055.00,5631.92,23.00,1,4,0.88,LOS,87.81,-3.76,-63.83,-36.04,7.53,45.56,0,3,-73.87,13,-80.39,12,-82.50,6,-88.64,5,-103.08
268,1055.00,5644.58,23.00,1,4,0.88,LOS,88.12,-3.76,-64.13,-36.35,7.28,45.56,0,3,-73.98,13,-80.36,12,-82.56,6,-88.56,5,-102.80
269,1055.00,5657.23,23.00,1,4,0.87,LOS,88.43,-5.27,-62.94,-35.16,9.09,45.56,0,3,-77.47,12,-80.64,13,-83.53,6,-85.01,5,-102.37
270,1055.00,5669.89,23.00,1,4,0.87,LOS,88.73,-5.27,-63.25,-35.47,8.82,45.56,0,3,-77.58,12,-80.70,13,-83.51,6,-84.93,5,-102.08
271,1055.00,5682.54,23.00,1,4,0.87,LOS,89.03,-0.97,-67.84,-40.06,4.70,45.56,0,13,-79.75,6,-80.26,12,-81.16,3,-82.57,5,-102.63
272,1055.00,5695.20,23.00,1,4,0.86,LOS,89.33,-0.97,-68.14,-40.36,4.40,45.56,0,13,-79.72,6,-80.18,12,-81.22,3,-82.68,5,-102.33
273,1055.00,5707.85,23.00,1,4,0.86,LOS,89.63,3.88,-73.29,-45.51,-0.39,45.56,0,3,-78.93,6,-79.13,12,-80.94,13,-86.23,5,-98.45
274,1055.00,5720.51,23.00,1,4,0.85,LOS,89.92,3.88,-73.58,-45.80,-0.66,45.56,0,3,-79.04,6,-79.05,12,-81.00,13,-86.21,5,-98.14
275,1055.00,5733.16,23.00,1,4,0.85,LOS,90.20,1.90,-71.88,-44.10,1.39,45.56,0,6,-79.28,13,-79.69,3,-81.49,12,-84.42,5,-102.62
276,1055.00,5745.82,23.00,1,4,0.84,LOS,90.49,1.90,-72.16,-44.38,1.11,45.56,0,6,-79.20,13,-79.67,3,-81.59,12,-84.49,5,-102.30
277,1055.00,5758.47,23.00,1,4,0.84,LOS,90.76,4.03,-74.58,-46.79,-2.79,45.56,0,13,-74.25,3,-84.19,12,-85.51,6,-86.04,14,-105.09
278,1055.00,5771.13,23.00,1,4,0.84,LOS,91.03,4.03,-74.85,-47.07,-3.06,45.56,0,13,-74.23,3,-84.29,12,-85.58,6,-85.95,14,-104.98
279,1055.00,5783.78,23.00,1,4,0.83,LOS,91.30,-4.54,-66.54,-38.76,6.73,45.56,0,3,-79.55,12,-80.65,13,-82.58,6,-84.19,5,-101.88
280,1055.00,5796.44,23.00,1,4,0.83,LOS,91.56,-4.54,-66.80,-39.02,6.49,45.56,0,3,-79.65,12,-80.72,13,-82.57,6,-84.10,5,-101.54
281,1055.00,5809.09,23.00,1,4,0.82,LOS,91.81,1.80,-73.40,-45.61,-1.95,45.56,0,3,-76.24,12,-79.26,13,-79.72,6,-84.15,5,-114.57
282,1055.00,5821.75,23.00,1,4,0.82,LOS,92.07,1.80,-73.65,-45.86,-2.16,45.56,0,3,-76.33,12,-79.32,13,-79.71,6,-84.06,5,-114.21
283,1055.00,5834.40,23.00,1,4,0.81,LOS,92.31,3.21,-75.30,-47.52,-1.58,45.56,0,13,-80.01,12,-82.80,3,-85.97,6,-87.85,5,-98.79
284,1055.00,5847.06,23.00,1,4,0.81,LOS,92.55,3.21,-75.54,-47.76,-1.81,45.56,0,13,-80.01,12,-82.86,3,-86.06,6,-87.76,5,-98.42
285,1055.00,5859.71,23.00,1,4,0.80,LOS,92.79,-4.71,-67.86,-40.08,4.50,45.56,0,12,-75.48,13,-80.07,6,-81.28,3,-87.44,14,-100.14
286,1055.00,5872.37,23.00,1,4,0.80,LOS,93.02,-4.71,-68.10,-40.32,4.29,45.56,0,12,-75.54,13,-80.07,6,-81.19,3,-87.53,14,-100.04
287,1055.00,5885.02,23.00,1,4,0.79,LOS,93.25,-8.46,-64.57,-36.79,7.48,45.56,0,13,-76.35,12,-79.45,6,-85.82,3,-90.54,5,-98.25
288,1055.00,5897.68,23.00,1,4,0.79,LOS,93.47,-8.46,-64.79,-37.01,7.26,45.56,0,13,-76.35,12,-79.51,6,-85.73,3,-90.63,5,-97.85
289,1055.00,5910.33,23.00,1,4,0.79,LOS,93.69,-1.66,-71.81,-44.03,-1.85,45.56,0,13,-76.91,3,-78.17,12,-79.78,6,-92.22,5,-102.47
290,1055.00,5922.99,23.00,1,4,0.78,LOS,93.91,-1.66,-72.03,-44.25,-2.05,45.56,0,13,-76.92,3,-78.25,12,-79.84,6,-92.12,5,-102.05
291,1055.00,5935.64,23.00,1,4,0.78,LOS,94.12,1.46,-75.36,-47.57,-3.64,45.56,0,13,-76.57,6,-76.64,3,-84.04,12,-88.01,5,-97.41
292,1055.00,5948.30,23.00,1,4,0.77,LOS,94.33,1.46,-75.56,-47.78,-3.86,45.56,0,6,-76.55,13,-76.58,3,-84.12,12,-88.07,5,-96.98
293,1055.00,5960.95,23.00,1,4,0.77,LOS,94.53,4.24,-78.55,-50.77,-5.84,45.56,0,13,-76.22,5,-81.26,12,-82.63,3,-84.68,6,-87.78
294,1055.00,5973.61,23.00,1,4,0.76,LOS,94.73,4.24,-78.75,-50.96,-6.09,45.56,0,13,-76.24,5,-80.81,12,-82.70,3,-84.77,6,-87.68
295,1055.00,5986.26,23.00,1,4,0.76,LOS,94.92,-11.90,-62.80,-35.02,12.23,45.56,0,6,-84.00,3,-85.18,13,-86.16,12,-86.93,5,-95.03
296,1055.00,5998.92,23.00,1,4,0.75,LOS,95.12,-11.90,-62.99,-35.21,12.04,45.56,0,6,-83.90,3,-85.26,13,-86.17,12,-87.00,5,-94.57
297,1055.00,6011.57,23.00,1,6,0.57,LOS,101.52,-5.35,-75.95,-48.17,-4.26,45.56,1,13,-76.64,12,-77.56,4,-82.42,3,-83.69,5,-96.43
298,1055.00,6024.23,23.00,1,6,0.58,LOS,101.42,-5.35,-75.85,-48.06,-4.11,45.56,0,13,-76.66,12,-77.63,4,-82.61,3,-83.77,5,-95.95
299,1055.00,6036.88,23.00,1,4,0.74,LOS,95.68,0.84,-76.30,-48.51,-4.22,45.56,1,12,-76.57,13,-77.43,6,-84.68,3,-86.26,5,-97.99
300,1055.00,6049.54,23.00,1,4,0.74,LOS,95.86,0.84,-76.48,-48.69,-4.37,45.56,0,12,-76.63,13,-77.46,6,-84.58,3,-86.35,5,-97.50
