Step,x,y,direction,connected_bs,current_prx,sinr,speed,handover
0,4800.00,4739.38,1,79,-68.80,-3.40,47.26,0
1,4800.00,4778.76,1,79,-50.49,17.24,47.26,0
2,4800.00,4818.15,1,79,-46.49,17.69,47.26,0
3,4800.00,4857.53,1,79,-54.79,15.08,47.26,0
4,4800.00,4896.91,1,79,-57.75,7.47,47.26,0
5,4763.71,4900.00,2,79,-93.48,-27.31,47.26,0
6,4724.33,4900.00,2,79,-56.43,2.62,47.26,0
7,4684.94,4900.00,2,79,-79.28,-20.87,47.26,0
8,4645.56,4900.00,2,79,-72.08,-20.74,47.26,0
9,4606.18,4900.00,2,79,-61.67,1.28,47.26,0
10,4566.80,4900.00,2,79,-56.83,13.62,47.26,0
11,4527.42,4900.00,2,79,-71.10,3.01,47.26,0
12,4488.03,4900.00,2,79,-64.88,7.24,47.26,0
13,4448.65,4900.00,2,79,-103.24,-44.12,47.26,0
14,4409.27,4900.00,2,79,-74.73,-14.31,47.26,0
15,4369.89,4900.00,2,79,-70.70,-5.22,47.26,0
16,4330.51,4900.00,2,79,-70.05,-2.00,47.26,0
17,4291.13,4900.00,2,79,-83.58,-17.94,47.26,0
18,4251.74,4900.00,2,79,-80.24,-11.75,47.26,0
19,4212.36,4900.00,2,79,-75.84,0.53,47.26,0
20,4200.00,4872.98,3,79,-84.33,-23.67,47.26,0
21,4200.00,4833.60,3,79,-83.92,-29.47,47.26,0
22,4200.00,4794.22,3,79,-94.05,-22.35,47.26,0
23,4200.00,4754.83,3,79,-101.40,-41.48,47.26,0
24,4200.00,4715.45,3,79,-100.70,-36.97,47.26,0
25,4200.00,4700.00,2,79,-84.78,-20.61,0.00,0
26,4200.00,4700.00,2,78,-68.84,-2.91,0.00,1
27,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
28,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
29,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
30,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
31,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
32,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
33,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
34,4200.00,4700.00,2,78,-68.84,-2.91,0.00,0
35,4180.31,4700.00,2,78,-65.28,2.88,23.63,0
36,4140.93,4700.00,2,78,-78.01,-2.43,47.26,0
37,4101.55,4700.00,2,78,-75.49,-12.56,47.26,0
38,4062.16,4700.00,2,78,-94.87,-29.26,47.26,0
39,4022.78,4700.00,2,78,-94.81,-29.49,47.26,0
40,4000.00,4683.40,3,78,-54.26,2.25,47.26,0
41,4000.00,4644.02,3,78,-75.91,-6.04,47.26,0
42,4000.00,4604.64,3,78,-87.16,-14.43,47.26,0
43,4000.00,4565.25,3,78,-79.13,-19.55,47.26,0
44,4000.00,4525.87,3,28,-82.17,-21.40,47.26,1
45,4000.00,4486.49,3,78,-72.84,-9.68,47.26,1
46,4000.00,4447.11,3,28,-84.19,-23.74,47.26,1
47,4000.00,4407.73,3,78,-95.04,-27.14,47.26,1
48,4000.00,4368.34,3,78,-84.50,-10.40,47.26,0
49,4000.00,4328.96,3,78,-66.16,-18.35,47.26,0
50,4000.00,4310.42,1,78,-95.39,-27.81,47.26,0
51,4000.00,4349.80,1,78,-112.51,-42.17,47.26,0
52,4000.00,4389.18,1,78,-93.81,-21.61,47.26,0
53,4000.00,4428.57,1,78,-83.47,-22.08,47.26,0
54,4000.00,4467.95,1,78,-42.53,15.55,47.26,0
55,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
56,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
57,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
58,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
59,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
60,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
61,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
62,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
63,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
64,4000.00,4500.00,3,78,-84.23,-20.90,0.00,0
65,4000.00,4480.31,3,78,-81.65,-22.55,23.63,0
66,4000.00,4440.93,3,78,-66.36,2.17,47.26,0
67,4000.00,4401.55,3,78,-68.77,3.90,47.26,0
68,4000.00,4362.16,3,78,-83.28,-14.54,47.26,0
69,4000.00,4322.78,3,78,-60.86,11.98,47.26,0
70,4000.00,4316.60,1,78,-57.15,5.36,47.26,0
71,4000.00,4355.98,1,78,-67.50,-1.29,47.26,0
72,4000.00,4395.36,1,78,-77.94,-15.49,47.26,0
73,4000.00,4434.75,1,78,-72.72,-23.06,47.26,0
74,4000.00,4474.13,1,78,-59.45,7.79,47.26,0
75,4000.00,4486.49,3,78,-57.25,-1.95,47.26,0
76,4000.00,4447.11,3,78,-47.58,13.14,47.26,0
77,4000.00,4407.73,3,78,-53.66,3.33,47.26,0
78,4000.00,4368.34,3,78,-49.68,26.32,47.26,0
79,4000.00,4328.96,3,78,-79.93,-8.11,47.26,0
80,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
81,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
82,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
83,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
84,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
85,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
86,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
87,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
88,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
89,4000.00,4300.00,0,78,-52.94,14.95,0.00,0
90,4019.69,4300.00,0,78,-53.02,13.76,23.63,0
91,4059.07,4300.00,0,78,-73.55,-18.60,47.26,0
92,4098.45,4300.00,0,78,-88.39,-37.20,47.26,0
93,4137.84,4300.00,0,78,-78.06,-18.84,47.26,0
94,4177.22,4300.00,0,78,-78.84,-22.03,47.26,0
95,4183.40,4300.00,2,78,-90.65,-26.13,47.26,0
96,4144.02,4300.00,2,78,-81.15,-17.20,47.26,0
97,4104.64,4300.00,2,78,-71.37,-9.89,47.26,0
98,4065.25,4300.00,2,78,-59.91,10.45,47.26,0
99,4025.87,4300.00,2,78,-65.30,-5.20,47.26,0
100,4013.51,4300.00,0,78,-76.07,-25.62,47.26,0
