Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
38,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,1,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
39,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
40,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
41,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
42,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
43,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
44,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
45,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
46,6400.00,3800.00,50.00,0,62,0.80,LOS,-58.50,3.99,0.00,0,54,-67.28,55,-85.98,63,-86.46,48,-90.02,47,-96.18
47,6410.62,3800.00,50.00,0,62,0.81,LOS,-52.50,9.37,12.75,0,54,-70.28,48,-74.71,55,-91.19,47,-92.21,63,-98.53
48,6431.86,3800.00,50.00,0,62,0.81,LOS,-60.54,3.26,25.49,0,54,-69.00,48,-83.16,47,-89.84,55,-95.31,63,-101.86
49,6453.10,3800.00,50.00,0,62,0.82,LOS,-68.36,-4.49,25.49,0,48,-73.64,63,-79.72,54,-80.37,47,-82.28,55,-93.07
50,6474.35,3800.00,50.00,0,55,0.93,LOS,-64.63,-1.74,25.49,1,63,-68.21,62,-72.66,47,-75.62,54,-86.54,48,-94.17
51,6495.59,3800.00,50.00,0,55,0.93,LOS,-62.55,-2.95,25.49,0,63,-61.81,47,-83.03,62,-90.61,54,-90.83,48,-101.36
52,6516.83,3800.00,50.00,0,55,0.93,LOS,-73.68,-8.20,25.49,0,63,-72.28,54,-78.83,48,-79.99,47,-81.55,62,-87.24
53,6538.07,3800.00,50.00,0,55,0.93,LOS,-64.90,-2.20,25.49,0,62,-72.73,54,-74.26,47,-76.26,48,-90.94,63,-92.18
54,6559.31,3800.00,50.00,0,55,0.93,LOS,-50.51,14.95,25.49,0,54,-68.21,47,-82.79,48,-83.76,63,-84.66,62,-89.85
55,6580.56,3800.00,50.00,0,55,0.93,LOS,-52.89,15.37,25.49,0,62,-77.08,48,-78.88,54,-82.72,47,-89.29,63,-102.46
56,6601.80,3800.00,50.00,0,55,0.93,LOS,-52.19,9.23,25.49,0,47,-70.56,54,-72.27,48,-75.70,62,-88.49,63,-91.56
57,6623.04,3800.00,50.00,0,55,0.93,LOS,-64.40,2.46,25.49,0,47,-70.92,61,-78.51,63,-84.52,62,-92.45,54,-100.39
58,6644.28,3800.00,50.00,0,61,0.74,LOS,-69.07,-5.95,25.49,1,63,-70.90,62,-71.38,55,-79.34,47,-94.39,54,-97.10
59,6665.52,3800.00,50.00,0,62,0.87,LOS,-71.69,-13.11,25.49,1,63,-74.86,55,-84.70,61,-86.22,47,-92.90,54,-115.11
60,6686.76,3800.00,50.00,0,55,0.92,LOS,-70.25,-1.88,25.49,1,62,-86.12,61,-87.22,63,-88.21,54,-97.35,47,-99.39
61,6708.01,3800.00,50.00,0,55,0.92,LOS,-70.13,-4.32,25.49,0,63,-83.54,47,-86.30,54,-86.74,61,-87.47,62,-100.98
62,6729.25,3800.00,50.00,0,54,0.87,LOS,-74.61,-15.43,25.49,1,61,-78.62,55,-78.69,47,-85.32,63,-87.50,62,-96.78
63,6750.49,3800.00,50.00,0,61,0.75,LOS,-66.20,-5.17,25.49,1,55,-80.76,54,-84.12,47,-88.03,63,-101.13,62,-102.41
64,6771.73,3800.00,50.00,0,61,0.76,LOS,-74.43,-10.69,25.49,0,54,-83.75,47,-94.74,62,-103.13,55,-104.54,63,-115.99
65,6792.97,3800.00,50.00,0,61,0.76,LOS,-73.14,-10.48,25.49,0,54,-89.41,47,-94.11,55,-95.20,62,-103.88,63,-108.62
66,6800.00,3814.22,50.00,1,63,0.80,LOS,-83.69,-31.26,25.49,1,54,-74.07,55,-80.16,47,-83.62,62,-87.75,61,-102.71
67,6800.00,3835.46,50.00,1,62,0.90,LOS,-56.15,4.40,25.49,1,54,-66.94,55,-67.09,63,-69.72,61,-72.70,47,-85.64
68,6800.00,3856.70,50.00,1,55,0.91,LOS,-66.49,-1.09,25.49,1,63,-71.66,62,-73.01,61,-81.53,54,-87.75,47,-91.21
