Bước,ue0_x,ue0_y,ue0_huong,ue0_BS_ketnoi,ue0_prx_hientai,ue0_SINR,ue0_speed,ue0_handover,ue1_x,ue1_y,ue1_huong,ue1_BS_ketnoi,ue1_prx_hientai,ue1_SINR,ue1_speed,ue1_handover
55,7400,5900,0,49,-100.68,-27.57,0,0,3800,6135.77,1,70,-76.97,-5.49,26.82,0
56,7400,5900,0,49,-100.68,-27.57,0,0,3800,6158.12,1,70,-72.52,-6.21,26.82,0
57,7400,5900,0,49,-100.68,-27.57,0,0,3800,6180.46,1,70,-73.92,-17.02,26.82,0
58,7417.94,5900,0,56,-104.04,-31.96,21.53,1,3800,6202.81,1,70,-82.16,-23.41,26.82,0
59,7453.83,5900,0,56,-110.6,-46.5,43.07,0,3800,6225.16,1,24,-103.37,-34.62,26.82,1
60,7489.72,5900,0,49,-119.16,-46.57,43.07,1,3800,6247.5,1,24,-99.91,-40.07,26.82,0
61,7525.61,5900,0,49,-112.07,-54.02,43.07,0,3800,6269.85,1,70,-84.73,-17.39,26.82,1
62,7561.5,5900,0,49,-104.49,-45.54,43.07,0,3800,6292.2,1,70,-98.03,-44.45,26.82,0
63,7597.39,5900,0,50,-110.86,-40.19,43.07,1,3800,6300,2,70,-66.64,8.26,0,0
64,7600,5866.72,3,56,-102.11,-22.72,43.07,1,3800,6300,2,70,-66.64,8.26,0,0
65,7600,5830.83,3,56,-103.21,-35.15,43.07,0,3800,6300,2,70,-66.64,8.26,0,0
66,7600,5794.94,3,49,-110.07,-44.52,43.07,1,3800,6300,2,70,-66.64,8.26,0,0
67,7600,5759.05,3,56,-112.22,-43.35,43.07,1,3800,6300,2,70,-66.64,8.26,0,0
68,7600,5723.16,3,56,-109.14,-41.26,43.07,0,3800,6300,2,70,-66.64,8.26,0,0
69,7600,5712.73,1,56,-100.71,-34.12,43.07,0,3800,6300,2,70,-66.64,8.26,0,0
70,7600,5748.62,1,56,-108.14,-40.82,43.07,0,3800,6300,2,70,-66.64,8.26,0,0
71,7600,5784.51,1,56,-98.76,-23.76,43.07,0,3800,6300,2,70,-66.64,8.26,0,0
72,7600,5820.4,1,56,-100.76,-44.3,43.07,0,3800,6300,2,70,-66.64,8.26,0,0
73,7600,5856.29,1,56,-108.76,-44.49,43.07,0,3788.83,6300,2,70,-64.89,-2.03,13.41,0
74,7600,5892.18,1,56,-118.91,-44.59,43.07,0,3766.48,6300,2,70,-60.77,9.91,26.82,0
75,7600,5928.07,1,56,-121.62,-50.33,43.07,0,3744.13,6300,2,70,-64.73,-8.71,26.82,0
76,7600,5963.96,1,50,-116.12,-40.24,43.07,1,3721.79,6300,2,70,-72.79,-0.08,26.82,0
77,7600,5999.85,1,56,-109.16,-32.44,43.07,1,3699.44,6300,2,70,-68.13,-3.14,26.82,0
78,7600,6035.74,1,56,-117.16,-55.41,43.07,0,3677.09,6300,2,70,-90.08,-21.92,26.82,0
79,7600,6071.63,1,56,-106.83,-26.66,43.07,0,3654.74,6300,2,70,-94.39,-24.46,26.82,0
80,7600,6100,2,56,-132.58,-63.02,0,0,3632.4,6300,2,70,-90.31,-19.81,26.82,0
81,7600,6100,2,50,-102.8,-33.23,0,1,3610.05,6300,2,70,-80.53,-0.33,26.82,0
82,7600,6100,2,50,-102.8,-33.23,0,0,3612.3,6300,0,70,-61.59,-3.8,26.82,0
83,7600,6100,2,50,-102.8,-33.23,0,0,3634.64,6300,0,70,-68.7,3.6,26.82,0
84,7600,6100,2,50,-102.8,-33.23,0,0,3656.99,6300,0,70,-61.43,4.26,26.82,0
85,7600,6100,2,50,-102.8,-33.23,0,0,3679.34,6300,0,70,-58.2,8.38,26.82,0
86,7600,6100,2,50,-102.8,-33.23,0,0,3701.69,6300,0,70,-61.08,1.18,26.82,0
87,7600,6100,2,50,-102.8,-33.23,0,0,3724.03,6300,0,70,-56.96,8.96,26.82,0
88,7600,6100,2,50,-102.8,-33.23,0,0,3746.38,6300,0,70,-85.37,-10.61,26.82,0
89,7600,6100,2,50,-102.8,-33.23,0,0,3768.73,6300,0,70,-62.7,-2.06,26.82,0
90,7582.06,6100,2,50,-103.64,-25.64,21.53,0,3791.07,6300,0,70,-57.54,12.48,26.82,0
91,7546.17,6100,2,50,-98.92,-22.21,43.07,0,3800,6286.58,3,70,-87.19,-33.37,26.82,0
92,7510.28,6100,2,50,-104.93,-45.5,43.07,0,3800,6264.23,3,70,-75.45,-5.85,26.82,0
93,7474.39,6100,2,50,-101.69,-29.01,43.07,0,3800,6241.88,3,70,-73.77,3.8,26.82,0
94,7438.5,6100,2,50,-108.71,-37.83,43.07,0,3800,6219.54,3,70,-62.82,10.62,26.82,0
95,7402.61,6100,2,50,-110.6,-41.94,43.07,0,3800,6197.19,3,70,-54.29,12.79,26.82,0
96,7366.72,6100,2,50,-110.45,-29.01,43.07,0,3800,6174.84,3,70,-70.2,-4.09,26.82,0
97,7330.83,6100,2,50,-114.54,-38.95,43.07,0,3800,6152.5,3,70,-72.86,-15.8,26.82,0
98,7294.94,6100,2,50,-114.19,-45.1,43.07,0,3800,6130.15,3,70,-74.86,-3.83,26.82,0
99,7259.05,6100,2,50,-119.84,-56.02,43.07,0,3800,6107.8,3,70,-62.41,11.44,26.82,0
100,7223.16,6100,2,50,-108.46,-43.79,43.07,0,3800,6100,0,70,-75.73,-7.12,0,0
