Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,7362.58,4200.00,50.00,2,40,0.92,LOS,90.89,-1.89,-39.00,-2.32,44.91,0,39,-40.51,45,-44.34,34,-48.44,46,-50.92,44,-54.05
1,7325.15,4200.00,50.00,2,45,0.85,LOS,96.32,-6.98,-39.34,-1.10,44.91,1,40,-44.34,39,-44.59,35,-51.55,46,-51.80,34,-51.89
2,7287.73,4200.00,50.00,2,40,0.92,LOS,90.52,0.09,-40.61,-2.47,44.91,1,39,-42.78,34,-48.31,45,-48.68,46,-51.41,35,-52.57
3,7250.31,4200.00,50.00,2,40,0.92,LOS,90.47,0.31,-40.77,-3.60,44.91,0,45,-42.29,39,-44.33,34,-46.21,35,-54.27,46,-55.71
4,7212.88,4200.00,50.00,2,40,0.92,LOS,90.51,2.66,-43.18,-5.56,44.91,0,45,-42.88,34,-45.35,39,-47.10,35,-51.40,46,-57.99
5,7200.00,4224.54,50.00,1,40,0.93,LOS,89.91,1.15,-41.06,-3.50,44.91,0,45,-44.78,46,-45.36,39,-45.99,34,-52.85,35,-54.68
6,7200.00,4261.97,50.00,1,40,0.94,LOS,88.83,0.21,-39.04,-0.76,44.91,0,45,-44.90,34,-46.41,39,-49.85,46,-50.47,35,-53.20
7,7200.00,4299.39,50.00,1,40,0.95,LOS,87.63,3.04,-40.67,-4.31,44.91,0,39,-40.23,34,-43.93,45,-48.82,35,-49.82,46,-53.03
8,7200.00,4336.81,50.00,1,40,0.96,LOS,86.26,0.64,-36.90,1.10,44.91,0,46,-45.44,34,-46.61,45,-47.40,39,-50.95,35,-52.10
9,7200.00,4374.24,50.00,1,40,0.97,LOS,84.68,4.77,-39.44,-2.52,44.91,0,39,-43.88,45,-46.39,35,-50.01,34,-50.22,46,-50.67
10,7200.00,4388.34,50.00,3,40,0.97,LOS,84.01,4.77,-38.78,-1.85,44.91,0,39,-44.08,45,-46.44,35,-49.92,34,-50.28,46,-50.59
11,7200.00,4350.92,50.00,3,40,0.96,LOS,85.69,2.55,-38.24,-0.90,44.91,0,39,-44.69,34,-45.88,35,-48.56,46,-51.26,45,-52.50
12,7200.00,4313.49,50.00,3,40,0.95,LOS,87.13,-0.64,-36.49,2.86,44.91,0,35,-49.08,34,-49.36,39,-50.00,46,-50.50,45,-53.25
13,7200.00,4276.07,50.00,3,40,0.94,LOS,88.40,3.19,-41.59,-5.33,44.91,0,39,-40.57,45,-45.40,34,-46.50,35,-47.86,46,-49.07
14,7200.00,4238.65,50.00,3,40,0.93,LOS,89.52,0.11,-39.62,-4.17,44.91,0,34,-39.41,39,-43.81,35,-44.88,45,-48.39,46,-55.03
15,7200.00,4201.22,50.00,3,40,0.92,LOS,90.52,-0.72,-39.80,-0.95,44.91,0,34,-44.21,45,-49.06,35,-52.18,39,-52.19,46,-54.77
16,7200.00,4200.00,50.00,1,40,0.92,LOS,90.55,-0.72,-39.83,-0.98,0.00,0,34,-44.21,45,-49.06,39,-52.17,35,-52.18,46,-54.78
17,7200.00,4200.00,50.00,1,40,0.92,LOS,90.55,-0.72,-39.83,-0.98,0.00,0,34,-44.21,45,-49.06,39,-52.17,35,-52.18,46,-54.78
18,7200.00,4200.00,50.00,1,40,0.92,LOS,90.55,-0.72,-39.83,-0.98,0.00,0,34,-44.21,45,-49.06,39,-52.17,35,-52.18,46,-54.78
19,7200.00,4200.00,50.00,1,40,0.92,LOS,90.55,-0.72,-39.83,-0.98,0.00,0,34,-44.21,45,-49.06,39,-52.17,35,-52.18,46,-54.78
