Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,6600.00,2840.74,1,54,-94.91,4.30,48.89,0,53.00,-107.03,,,,,,
1,6600.00,2881.49,1,53,-102.17,-2.17,48.89,1,54.00,-110.65,,,,,,
2,6600.00,2922.23,1,53,-121.96,-21.96,48.89,0,54.00,-126.90,,,,,,
3,6600.00,2962.97,1,54,-108.21,-8.21,48.89,1,53.00,-127.33,,,,,,
4,6596.29,3000.00,2,54,-92.85,7.15,48.89,0,,,,,,,,
5,6555.54,3000.00,2,54,-94.68,5.32,48.89,0,,,,,,,,
6,6514.80,3000.00,2,54,-100.28,-0.28,48.89,0,53.00,-116.43,,,,,,
7,6474.06,3000.00,2,54,-106.06,-7.11,48.89,0,53.00,-124.67,,,,,,
8,6433.31,3000.00,2,54,-85.64,14.36,48.89,0,,,,,,,,
9,6407.43,3000.00,0,54,-113.86,-16.14,48.89,0,,,,,,,,
10,6448.17,3000.00,0,54,-95.82,4.18,48.89,0,,,,,,,,
11,6488.91,3000.00,0,54,-94.23,5.77,48.89,0,53.00,-127.44,,,,,,
12,6529.66,3000.00,0,54,-111.75,-11.75,48.89,0,53.00,-113.27,,,,,,
13,6570.40,3000.00,0,54,-103.67,-7.03,48.89,0,,,,,,,,
14,6611.14,3000.00,0,54,-115.74,-15.74,48.89,0,,,,,,,,
15,6651.89,3000.00,0,54,-120.82,-27.96,48.89,0,,,,,,,,
16,6692.63,3000.00,0,54,-106.61,-8.35,48.89,0,61.00,-107.22,,,,,,
17,6733.37,3000.00,0,54,-104.88,-12.28,48.89,0,61.00,-113.39,,,,,,
18,6774.12,3000.00,0,61,-98.04,0.10,48.89,1,54.00,-109.34,,,,,,
19,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-111.16,,,,,,
20,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
21,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
22,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
23,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
24,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
25,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
26,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
27,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
28,6800.00,3000.00,2,61,-103.57,-3.57,0.00,0,54.00,-120.92,,,,,,
29,6779.63,3000.00,2,61,-115.21,-15.21,24.45,0,54.00,-124.63,,,,,,
30,6738.89,3000.00,2,61,-124.83,-24.83,48.89,0,54.00,-128.40,,,,,,
31,6698.14,3000.00,2,61,-116.90,-16.90,48.89,0,54.00,-120.82,,,,,,
32,6657.40,3000.00,2,54,-99.33,-0.76,48.89,1,61.00,-128.02,,,,,,
33,6616.66,3000.00,2,54,-116.28,-16.28,48.89,0,,,,,,,,
34,6575.91,3000.00,2,54,-113.93,-13.93,48.89,0,,,,,,,,
35,6535.17,3000.00,2,54,-111.65,-11.65,48.89,0,53.00,-119.26,,,,,,
36,6494.43,3000.00,2,54,-89.81,8.88,48.89,0,53.00,-118.91,,,,,,
37,6453.69,3000.00,2,54,-99.73,0.27,48.89,0,53.00,-126.84,,,,,,
38,6412.94,3000.00,2,54,-94.25,5.75,48.89,0,,,,,,,,
39,6400.00,3027.80,1,54,-112.98,-12.98,48.89,0,,,,,,,,
40,6400.00,3068.54,1,54,-106.37,-6.37,48.89,0,,,,,,,,
