Step,connected_gnb,gnb0_rsrp,gnb1_rsrp,gnb2_rsrp,gnb3_rsrp,gnb4_rsrp,gnb5_rsrp,gnb6_rsrp,gnb7_rsrp
69,000006,-97.63,-90.48,-98.28,-92.91,-109.36,-83.89,-77.63,-38.97
70,000006,-110.75,-100.38,-98.10,-75.06,-88.17,-93.51,-66.28,-38.19
71,000006,-93.10,-115.51,-97.50,-92.90,-94.32,-90.89,-86.30,-44.35
72,000006,-101.24,-106.43,-99.42,-95.40,-91.86,-87.54,-79.52,-19.91
73,000006,-110.58,-109.82,-110.69,-83.67,-98.58,-91.37,-79.90,-76.56
74,000006,-92.82,-98.69,-98.64,-91.10,-85.98,-96.98,-84.92,-45.96
75,000006,-114.45,-96.65,-103.41,-89.58,-84.90,-84.02,-63.24,-31.50
76,000006,-114.89,-103.76,-97.20,-97.46,-80.03,-97.73,-70.47,-21.78
77,000006,-94.81,-108.66,-104.89,-104.98,-102.40,-100.98,-73.33,-51.02
78,000004,-99.22,-107.34,-125.62,-80.29,-76.37,-100.98,-87.95,-34.38
79,000004,-115.39,-93.31,-94.00,-90.35,-78.13,-99.84,-86.52,-48.51
80,000004,-110.77,-96.88,-118.52,-89.71,-84.69,-93.01,-88.07,-29.69
81,000004,-96.49,-105.81,-95.94,-86.78,-86.72,-91.76,-84.96,-14.67
82,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
83,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
84,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
85,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
86,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
87,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
88,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
89,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
90,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
91,000004,-104.58,-95.62,-108.74,-103.48,-76.76,-105.64,-89.57,-51.56
92,000004,-99.72,-92.87,-96.17,-98.93,-75.40,-95.65,-91.09,-40.47
93,000004,-111.54,-87.98,-94.54,-93.50,-71.73,-88.96,-84.02,-40.27
94,000006,-106.44,-97.93,-103.09,-92.67,-95.08,-100.57,-76.44,-28.51
95,000006,-93.81,-99.60,-98.56,-85.90,-69.47,-106.81,-89.28,-53.71
96,000004,-82.76,-96.58,-117.30,-100.36,-86.19,-93.99,-98.55,-62.95
97,000004,-93.80,-91.52,-97.42,-75.12,-91.20,-89.18,-96.49,-29.25
98,000003,-102.78,-95.71,-103.71,-85.99,-97.39,-90.98,-106.01,-53.49
99,000003,-101.57,-87.52,-110.50,-76.63,-84.67,-106.51,-94.17,-36.18
100,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
101,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
102,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
103,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
104,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
105,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
106,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
107,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
108,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
109,000003,-94.01,-100.96,-106.08,-76.25,-81.29,-76.93,-106.76,-51.93
110,000003,-108.56,-88.29,-106.93,-84.21,-85.24,-103.76,-84.91,-28.48
111,000006,-91.66,-111.23,-106.26,-86.73,-91.05,-98.66,-81.55,-27.77
112,000004,-98.48,-96.62,-109.06,-82.41,-75.79,-95.86,-87.48,-54.45
113,000003,-111.86,-106.92,-95.80,-87.65,-94.28,-108.67,-79.89,-42.89
114,000003,-104.20,-105.96,-105.66,-86.59,-113.32,-90.50,-84.40,-44.54
115,000003,-105.60,-96.52,-98.83,-93.88,-95.71,-89.94,-86.58,-33.93
116,000003,-89.88,-98.46,-104.04,-70.05,-83.90,-98.33,-78.08,-27.87
117,000006,-103.27,-94.45,-107.54,-89.65,-91.30,-97.67,-77.28,-29.55
118,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
119,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
120,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
121,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
122,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
123,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
124,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
125,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
126,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
127,000006,-96.44,-96.39,-117.68,-94.79,-96.42,-89.78,-93.96,-39.26
128,000003,-116.45,-95.18,-85.25,-74.98,-78.33,-74.77,-82.86,-70.13
129,000003,-90.37,-107.75,-101.32,-72.11,-106.72,-98.42,-99.27,-42.47
130,000003,-110.21,-106.71,-95.63,-82.41,-97.67,-87.19,-89.76,-57.64
131,000003,-87.71,-113.72,-88.52,-81.19,-92.69,-76.13,-89.52,-11.75
132,000003,-118.17,-99.01,-102.53,-74.05,-94.60,-81.88,-90.44,-29.11
133,000003,-110.17,-91.31,-112.79,-83.15,-100.18,-79.66,-78.79,-29.61
134,000006,-118.49,-110.24,-115.12,-89.35,-99.34,-107.61,-80.28,-68.34
135,000006,-107.68,-102.33,-87.85,-87.48,-107.32,-89.97,-88.00,-46.42
136,000005,-96.62,-90.70,-100.00,-89.93,-94.68,-82.84,-104.43,-47.66
137,000005,-96.34,-94.67,-94.14,-78.45,-95.62,-74.42,-85.18,-38.24
138,000005,-108.18,-98.45,-108.51,-85.73,-100.68,-88.61,-87.07,-40.23
139,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
140,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
141,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
142,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
143,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
144,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
145,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
146,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
147,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
148,000005,-114.63,-111.66,-99.82,-88.32,-96.99,-88.68,-93.17,-31.83
149,000005,-89.88,-112.41,-102.82,-73.75,-109.57,-72.46,-100.90,-13.88
150,000003,-104.64,-117.93,-100.63,-83.81,-87.14,-87.68,-76.65,-59.84
151,000003,-99.51,-99.62,-94.85,-86.88,-109.74,-90.17,-90.26,-28.02
152,000003,-87.31,-114.81,-87.88,-78.13,-109.92,-87.72,-92.31,-34.04
153,000005,-120.15,-96.45,-93.79,-84.87,-92.15,-71.60,-91.58,-44.16
154,000006,-100.37,-103.90,-105.36,-90.79,-86.81,-92.07,-80.56,-46.59
155,000006,-110.05,-101.36,-93.18,-81.81,-95.91,-101.26,-70.05,-47.51
156,000003,-105.68,-107.45,-92.63,-83.49,-90.11,-91.48,-93.26,-42.18
157,000003,-85.22,-92.16,-88.50,-79.85,-86.37,-103.29,-89.50,-36.39
158,000003,-99.19,-104.02,-81.39,-75.56,-107.57,-95.74,-89.90,-77.48
159,000003,-87.21,-101.06,-97.40,-68.76,-82.63,-98.45,-77.65,-43.58
160,000003,-101.33,-96.89,-88.11,-65.69,-93.70,-106.44,-87.33,-43.49
161,000003,-107.59,-88.98,-112.09,-58.42,-87.02,-96.41,-85.56,-33.43
162,000007,-96.97,-99.08,-94.23,-74.65,-80.69,-83.96,-91.81,-51.23
163,000007,-96.58,-101.84,-103.35,-82.86,-90.36,-106.72,-91.90,-62.99
164,000007,-101.35,-98.99,-109.30,-79.24,-77.64,-101.43,-85.20,-40.08
165,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
166,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
167,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
168,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
169,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
170,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
171,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
172,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
173,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
174,000007,-92.64,-102.74,-102.43,-85.10,-93.05,-96.62,-95.71,-46.94
175,000007,-93.40,-83.69,-114.11,-101.61,-83.63,-108.88,-105.88,-17.93
176,000007,-116.13,-98.01,-82.04,-74.06,-84.89,-93.23,-93.04,-35.12
177,000007,-99.95,-102.65,-84.23,-70.70,-93.83,-93.95,-86.41,-38.50
178,000007,-97.55,-100.11,-112.02,-83.47,-105.43,-99.02,-88.30,-41.63
179,000007,-111.76,-91.23,-95.85,-87.85,-72.57,-104.26,-107.44,-61.45
180,000007,-97.51,-102.15,-102.79,-78.56,-102.06,-87.84,-76.34,-27.90
181,000007,-113.53,-95.59,-96.57,-78.89,-75.36,-88.55,-84.66,-45.46
182,000007,-92.87,-83.44,-113.80,-91.83,-94.86,-98.65,-89.24,-48.68
183,000007,-100.43,-90.54,-101.12,-73.98,-73.10,-94.25,-97.37,-11.68
184,000007,-89.32,-90.18,-101.24,-91.09,-93.26,-109.57,-96.03,-49.78
185,000007,-100.72,-90.84,-84.01,-77.67,-87.16,-86.64,-78.79,-53.08
186,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
187,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
188,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
189,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
190,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
191,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
192,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
193,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
194,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
195,000007,-120.32,-101.46,-106.44,-83.28,-87.53,-89.74,-72.72,-60.48
196,000007,-108.03,-101.85,-111.06,-83.93,-89.82,-101.83,-77.87,-31.26
197,000007,-103.22,-86.54,-98.25,-98.38,-78.52,-100.08,-90.94,-52.17
198,000007,-105.53,-99.07,-105.32,-69.88,-99.61,-92.10,-92.47,-54.06
199,000007,-99.96,-96.31,-104.21,-92.34,-90.46,-99.82,-92.49,-48.69
200,000007,-97.51,-96.50,-96.41,-101.01,-89.72,-111.62,-91.90,-40.15
201,000007,-114.74,-99.20,-96.43,-94.88,-94.93,-92.07,-89.16,-59.64
202,000007,-105.12,-110.05,-92.59,-66.97,-78.83,-98.51,-89.47,-52.36
203,000007,-96.38,-93.94,-93.67,-72.61,-87.99,-112.18,-76.03,-14.19
204,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
205,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
206,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
207,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
208,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
209,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
210,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
211,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
212,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
213,000007,-100.42,-94.42,-83.54,-90.16,-93.20,-95.35,-99.23,-27.11
214,000007,-101.77,-108.50,-90.81,-77.82,-98.94,-93.72,-77.15,-41.24
215,000007,-94.48,-91.40,-93.55,-79.39,-96.32,-85.76,-79.38,-50.38
216,000007,-94.99,-89.72,-111.72,-69.85,-87.63,-93.52,-95.59,-39.33
217,000007,-105.00,-109.90,-107.99,-74.63,-112.40,-104.67,-98.40,-51.13
218,000007,-83.51,-94.86,-87.45,-76.05,-69.47,-94.66,-84.85,-67.95
219,000007,-108.00,-104.80,-93.32,-83.61,-98.44,-108.25,-98.08,-29.35
220,000007,-103.73,-96.27,-89.47,-98.94,-80.90,-95.28,-82.93,-49.17
221,000007,-106.46,-101.65,-112.31,-76.54,-84.36,-98.00,-88.83,-26.29
222,000007,-109.73,-94.54,-103.18,-104.57,-71.82,-116.92,-81.71,-51.40
223,000007,-109.14,-93.00,-104.87,-95.96,-62.16,-96.96,-82.76,-31.51
224,000007,-102.24,-82.53,-94.32,-83.34,-81.36,-113.08,-103.02,-34.04
225,000007,-91.25,-94.59,-98.48,-85.44,-81.90,-111.03,-91.51,-26.71
226,000007,-105.54,-81.75,-107.79,-84.65,-90.72,-96.19,-107.87,-60.99
227,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
228,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
229,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
230,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
231,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
232,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
233,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
234,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
235,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
236,000007,-98.32,-92.26,-114.12,-84.86,-96.31,-112.16,-97.64,-43.47
237,000007,-82.84,-81.68,-106.01,-82.97,-90.79,-100.47,-103.45,-53.42
238,000007,-93.20,-84.38,-123.62,-90.99,-76.61,-97.00,-110.45,-26.37
239,000007,-107.76,-99.93,-105.47,-94.96,-70.50,-108.30,-104.12,-59.46
240,000007,-105.78,-94.47,-99.46,-89.34,-82.36,-119.39,-94.02,-17.37
241,000007,-110.99,-90.97,-114.42,-92.85,-91.60,-107.82,-93.37,-48.84
242,000007,-104.22,-93.14,-109.77,-91.30,-80.90,-109.67,-100.93,-59.58
243,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
244,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
245,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
246,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
247,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
248,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
249,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
250,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
251,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
252,000007,-99.44,-81.83,-102.59,-93.93,-88.57,-102.40,-103.93,-52.86
253,000007,-99.40,-81.88,-116.18,-98.68,-107.63,-96.86,-109.82,-58.76
254,000007,-98.15,-85.19,-90.17,-92.61,-91.07,-108.51,-98.42,-25.92
255,000007,-116.98,-78.58,-117.02,-109.05,-93.61,-106.66,-99.36,-38.08
256,000007,-92.71,-73.85,-116.40,-91.19,-92.76,-103.14,-93.13,-60.64
257,000007,-103.17,-91.10,-108.89,-102.44,-72.34,-99.50,-117.77,-63.56
258,000007,-85.90,-74.01,-118.25,-91.72,-84.64,-105.06,-102.79,-56.38
259,000007,-90.33,-101.42,-109.47,-91.10,-64.16,-112.35,-103.61,-23.40
260,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
261,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
262,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
263,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
264,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
265,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
266,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
267,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
268,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
269,000004,-108.31,-98.63,-114.84,-106.27,-61.71,-104.43,-97.03,-45.46
270,000004,-106.74,-100.98,-102.53,-99.57,-60.09,-108.70,-99.01,-24.91
271,000004,-107.59,-95.81,-105.30,-96.94,-69.11,-107.43,-96.32,-41.99
272,000004,-103.64,-81.15,-110.06,-81.69,-78.18,-96.83,-108.01,-57.88
273,000004,-106.62,-89.77,-104.18,-96.41,-65.82,-103.40,-92.09,-24.80
274,000004,-103.41,-81.00,-105.01,-94.07,-59.76,-116.79,-107.52,-58.45
275,000004,-90.41,-93.61,-106.15,-88.30,-56.69,-95.18,-86.05,-32.91
276,000004,-105.66,-88.62,-105.40,-96.72,-69.78,-112.14,-103.44,-47.15
277,000004,-104.49,-102.75,-114.12,-98.98,-77.82,-106.34,-97.04,-49.52
278,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
279,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
280,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
281,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
282,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
283,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
284,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
285,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
286,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
287,000004,-104.39,-92.48,-94.92,-80.97,-76.18,-102.01,-103.66,-42.47
