Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
29,7823.00,5772.12,261.50,3,79,1.00,LOS,88.83,-0.12,-68.49,-40.71,2.98,158.61,0,71,-77.71,72,-78.57,78,-78.61,80,-79.93,87,-80.50,86,-81.18
30,7823.00,5728.07,261.50,3,79,1.00,LOS,89.31,-1.14,-67.95,-40.17,3.18,158.61,0,71,-76.59,78,-78.30,72,-78.74,86,-79.25,87,-80.66,80,-81.88
31,7823.00,5684.01,261.50,3,79,1.00,LOS,89.91,-0.06,-69.63,-41.85,0.77,158.61,0,71,-75.63,78,-77.18,72,-77.75,86,-79.03,80,-80.93,87,-81.38
32,7841.55,5658.50,261.50,0,79,1.00,LOS,90.05,-1.06,-68.77,-40.99,1.67,158.61,0,71,-76.50,78,-77.26,72,-77.86,86,-78.36,80,-79.97,87,-80.94
33,7885.61,5658.50,261.50,0,79,1.00,LOS,89.57,0.37,-69.72,-41.94,0.85,158.61,0,78,-75.45,71,-76.64,72,-79.54,86,-79.69,80,-80.66,87,-81.47
34,7929.67,5658.50,261.50,0,79,1.00,LOS,89.21,-0.29,-68.70,-40.92,1.95,158.61,0,78,-76.53,71,-77.48,86,-77.95,80,-79.55,72,-79.88,87,-80.64
35,7973.72,5658.50,261.50,0,79,1.00,LOS,89.01,-0.25,-68.54,-40.76,2.19,158.61,0,78,-75.75,86,-77.65,87,-79.21,71,-79.52,72,-80.53,80,-80.58
36,8017.78,5658.50,261.50,0,79,1.00,LOS,88.99,-0.05,-68.72,-40.94,2.25,158.61,0,78,-76.39,86,-76.46,71,-79.73,87,-80.02,80,-81.52,72,-81.75
37,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
38,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
39,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
40,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
41,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
42,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
43,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
44,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
45,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
46,8023.00,5658.50,261.50,1,79,1.00,LOS,89.00,-0.05,-68.73,-40.95,2.23,0.00,0,78,-76.39,86,-76.40,71,-79.78,87,-79.98,80,-81.52,72,-81.78
47,8023.00,5680.53,261.50,1,79,1.00,LOS,88.56,0.41,-68.76,-40.98,1.68,79.30,0,78,-76.65,86,-77.67,71,-78.25,80,-78.98,72,-79.17,87,-79.25
48,8023.00,5724.59,261.50,1,79,1.00,LOS,87.74,-2.01,-65.51,-37.73,5.16,158.61,0,78,-75.65,71,-77.49,86,-78.52,80,-79.90,72,-80.67,87,-81.10
49,8023.00,5768.64,261.50,1,79,1.00,LOS,87.03,0.11,-66.92,-39.14,4.21,158.61,0,87,-78.28,86,-78.34,71,-78.73,78,-78.87,80,-79.64,72,-79.87
50,8023.00,5812.70,261.50,1,79,1.00,LOS,86.52,0.74,-67.04,-39.26,3.78,158.61,0,78,-77.72,87,-77.82,72,-78.41,86,-78.73,71,-79.59,80,-79.76
51,8023.00,5856.76,261.50,1,79,1.00,LOS,86.30,-1.47,-64.61,-36.83,6.24,158.61,0,86,-77.92,78,-78.03,87,-78.22,72,-79.00,80,-79.35,71,-79.54
52,8065.32,5858.50,261.50,0,79,1.00,LOS,86.60,0.18,-66.56,-38.78,4.74,158.61,0,87,-78.46,78,-78.60,80,-78.61,86,-79.22,72,-79.84,71,-80.04
53,8109.38,5858.50,261.50,0,79,1.00,LOS,87.17,-0.85,-66.10,-38.32,5.32,158.61,0,78,-78.09,80,-78.55,87,-78.89,71,-79.70,86,-79.76,72,-80.82
54,8153.43,5858.50,261.50,0,79,1.00,LOS,87.93,-1.04,-66.67,-38.89,4.54,158.61,0,87,-76.79,86,-77.20,72,-79.51,78,-79.73,80,-81.23,71,-81.98
55,8197.49,5858.50,261.50,0,79,1.00,LOS,88.78,-0.73,-67.83,-40.05,2.57,158.61,0,87,-76.22,86,-76.41,78,-79.04,80,-79.07,72,-79.93,71,-80.22
56,8223.00,5839.95,261.50,3,79,1.00,LOS,89.31,0.88,-69.98,-42.20,0.94,158.61,0,86,-76.68,78,-78.22,87,-78.71,72,-79.54,80,-79.79,71,-80.27
57,8223.00,5795.89,261.50,3,79,1.00,LOS,89.50,0.73,-70.01,-42.23,0.61,158.61,0,86,-75.31,87,-77.69,78,-78.54,80,-80.43,71,-80.53,72,-80.83
58,8223.00,5751.83,261.50,3,79,1.00,LOS,89.84,-0.78,-68.85,-41.06,1.63,158.61,0,86,-75.25,87,-77.61,78,-77.66,80,-80.07,72,-80.82,71,-81.40
59,8223.00,5707.78,261.50,3,79,1.00,LOS,90.30,0.58,-70.66,-42.88,-0.34,158.61,0,86,-74.90,87,-77.55,78,-78.37,80,-79.16,72,-80.61,71,-81.16
60,8223.00,5663.72,261.50,3,79,1.00,LOS,90.85,0.28,-70.91,-43.13,-0.95,158.61,0,86,-74.28,78,-76.49,87,-78.09,71,-79.30,80,-80.89,94,-81.84
61,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
62,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
63,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
64,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
65,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
66,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
67,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
68,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
69,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
70,8223.00,5658.50,261.50,2,79,1.00,LOS,90.92,0.28,-70.98,-43.20,-1.03,0.00,0,86,-74.25,78,-76.43,87,-78.13,71,-79.29,80,-80.93,94,-81.85
71,8200.97,5658.50,261.50,2,79,1.00,LOS,90.61,0.49,-70.88,-43.09,-0.55,79.30,0,86,-75.22,78,-76.47,87,-77.79,71,-80.28,80,-81.10,85,-81.30
72,8156.91,5658.50,261.50,2,79,1.00,LOS,90.03,0.05,-69.87,-42.08,1.43,158.61,0,86,-76.94,78,-77.27,87,-79.88,71,-79.97,72,-81.27,80,-81.33
73,8112.86,5658.50,261.50,2,79,1.00,LOS,89.55,0.79,-70.13,-42.34,0.40,158.61,0,78,-75.99,86,-76.36,87,-79.49,80,-79.98,72,-80.08,71,-80.39
74,8068.80,5658.50,261.50,2,79,1.00,LOS,89.20,0.12,-69.10,-41.32,1.55,158.61,0,78,-76.33,86,-77.94,87,-78.32,71,-78.76,72,-79.50,80,-81.25
75,8024.74,5658.50,261.50,2,79,1.00,LOS,89.00,-0.22,-68.56,-40.78,1.65,158.61,0,78,-75.16,86,-77.43,71,-77.83,72,-79.02,87,-79.79,80,-81.42
76,7980.68,5658.50,261.50,2,79,1.00,LOS,88.99,0.25,-69.02,-41.24,1.11,158.61,0,78,-76.48,86,-76.86,71,-77.05,72,-79.17,87,-79.37,80,-79.70
77,7936.62,5658.50,261.50,2,79,1.00,LOS,89.16,0.53,-69.48,-41.69,1.55,158.61,0,71,-76.71,78,-77.50,86,-79.22,72,-79.62,80,-80.02,87,-81.52
78,7892.57,5658.50,261.50,2,79,1.00,LOS,89.50,-0.13,-69.15,-41.37,1.90,158.61,0,71,-77.01,78,-77.43,72,-79.12,86,-79.67,80,-80.10,87,-81.05
79,7848.51,5658.50,261.50,2,79,1.00,LOS,89.97,-0.62,-69.13,-41.35,1.66,158.61,0,78,-76.94,71,-77.20,72,-77.95,86,-78.96,80,-80.74,70,-80.94
80,7841.55,5658.50,261.50,0,79,1.00,LOS,90.05,-0.62,-69.21,-41.43,1.56,158.61,0,78,-76.96,71,-77.11,72,-77.90,86,-79.03,80,-80.75,70,-80.92
81,7885.61,5658.50,261.50,0,79,1.00,LOS,89.57,-0.38,-68.97,-41.19,1.32,158.61,0,78,-75.33,71,-77.32,86,-78.62,72,-78.89,87,-79.85,80,-80.67
82,7929.67,5658.50,261.50,0,79,1.00,LOS,89.21,0.36,-69.34,-41.56,1.35,158.61,0,78,-76.44,71,-77.33,86,-78.32,72,-79.41,80,-80.36,87,-80.66
83,7973.72,5658.50,261.50,0,79,1.00,LOS,89.01,0.60,-69.38,-41.60,1.52,158.61,0,78,-77.49,71,-77.57,86,-78.24,80,-79.55,72,-79.93,87,-80.19
84,8017.78,5658.50,261.50,0,79,1.00,LOS,88.99,-0.01,-68.76,-40.98,1.76,158.61,0,78,-76.14,86,-77.21,71,-77.85,87,-79.67,72,-80.10,80,-80.71
85,7984.16,5658.50,261.50,2,79,1.00,LOS,88.98,1.01,-69.78,-41.99,0.77,158.61,0,78,-76.39,86,-76.88,71,-77.43,72,-79.92,87,-80.75,80,-80.93
86,7940.10,5658.50,261.50,2,79,1.00,LOS,89.14,-1.10,-67.83,-40.04,3.09,158.61,0,78,-76.51,71,-77.65,86,-79.56,80,-79.70,72,-79.78,87,-80.37
87,7896.04,5658.50,261.50,2,79,1.00,LOS,89.47,0.22,-69.46,-41.68,1.55,158.61,0,78,-76.41,71,-77.14,86,-78.57,72,-80.15,87,-81.23,85,-81.96
88,7851.99,5658.50,261.50,2,79,1.00,LOS,89.93,0.07,-69.78,-42.00,1.06,158.61,0,78,-76.28,71,-77.26,72,-78.80,86,-79.61,80,-80.52,87,-81.54
89,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
90,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
91,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
92,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
93,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
94,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
95,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
96,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
97,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
98,7823.00,5658.50,261.50,3,79,1.00,LOS,90.29,0.19,-70.25,-42.47,-0.01,0.00,0,71,-74.73,78,-76.60,72,-79.00,86,-79.08,70,-80.84,87,-81.35
99,7823.00,5636.47,261.50,3,79,1.00,LOS,90.63,0.19,-70.59,-42.81,-0.42,79.30,0,71,-74.63,78,-76.34,86,-79.03,72,-79.17,70,-80.69,87,-81.45
100,7823.00,5592.41,261.50,3,79,1.00,LOS,91.33,0.88,-71.99,-44.21,-2.17,158.61,0,71,-74.64,78,-75.14,72,-79.04,86,-79.76,87,-80.57,70,-80.99
101,7823.00,5548.36,261.50,3,79,1.00,LOS,92.04,-0.86,-70.97,-43.18,-1.47,158.61,0,71,-73.71,78,-75.23,72,-79.21,86,-79.54,87,-79.85,63,-80.88
102,7823.00,5504.30,261.50,3,79,1.00,LOS,92.75,-1.01,-71.52,-43.73,-1.25,158.61,0,71,-75.47,78,-75.69,86,-78.78,72,-79.06,70,-79.60,87,-81.38
103,7823.00,5460.24,261.50,3,79,1.00,LOS,93.43,-0.67,-72.55,-44.77,-3.48,158.61,0,78,-73.06,71,-74.47,86,-78.72,72,-78.84,70,-80.57,80,-82.14
104,7823.00,5416.18,261.50,3,79,1.00,LOS,94.10,-0.46,-73.42,-45.64,-3.69,158.61,0,78,-73.46,71,-75.43,70,-78.83,86,-79.40,72,-80.08,85,-81.80
105,7823.00,5372.12,261.50,3,79,1.00,LOS,94.74,0.09,-74.61,-46.83,-5.41,158.61,0,78,-72.12,71,-76.23,86,-77.80,70,-80.07,72,-80.84,77,-81.78
